Centaur Zendo round 4 (training)
round_id : c3d1bf5b59bf436da02410c7b0a036f4
written  : 2026-09-02 11:32:06Z
presented=438  answered=438  correct=19  skipped=0
client answer latency: mean 0.110 ms  median 0.102 ms  max 1.208 ms  (n=438)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  quilm         025/3                                     332                                       0
   1  quilm         639/1                                     629                                       1
   2  quilm         470370/3                                  966370                                    0
   3  quilm         1766/4                                    8577                                      0
   4  quilm         469/1                                     449                                       0
   5  quilm         67514/2                                   68714                                     0
   6  quilm         69665/3                                   72265                                     0
   7  quilm         609/3                                     550                                       0
   8  quilm         026577/3                                  026102                                    0
   9  quilm         95658/2                                   92558                                     0
  10  quilm         5370/1                                    2370                                      0
  11  quilm         776/1                                     773                                       0
  12  quilm         43233/2                                   47033                                     0
  13  quilm         3057/2                                    3507                                      0
  14  quilm         6887/3                                    6285                                      1
  15  quilm         162052/1                                  162055                                    0
  16  quilm         6505/2                                    6566                                      0
  17  quilm         31971/2                                   31421                                     0
  18  quilm         242/4                                     332                                       0
  19  quilm         614016/3                                  619876                                    0
  20  quilm         71208/3                                   77178                                     0
  21  quilm         847/2                                     829                                       0
  22  quilm         67625/2                                   64725                                     0
  23  quilm         6794/3                                    6116                                      0
  24  quilm         633007/2                                  633777                                    0
  25  quilm         4788/4                                    3468                                      0
  26  quilm         5796/2                                    7396                                      0
  27  quilm         375/3                                     332                                       0
  28  quilm         569/2                                     979                                       0
  29  quilm         7248/2                                    7868                                      0
  30  quilm         856/1                                     356                                       0
  31  quilm         7608/3                                    7386                                      0
  32  quilm         0303/2                                    4003                                      0
  33  quilm         1156/4                                    8577                                      0
  34  quilm         0018/1                                    0118                                      0
  35  quilm         19164/2                                   19100                                     0
  36  quilm         2111/3                                    2993                                      0
  37  quilm         79940/1                                   79640                                     1
  38  quilm         4924/3                                    4365                                      0
  39  quilm         2507/3                                    2687                                      0
  40  quilm         84855/1                                   84855                                     0
  41  quilm         2563/3                                    2179                                      0
  42  quilm         3633/1                                    3733                                      0
  43  quilm         096578/2                                  094178                                    0
  44  quilm         4963/3                                    0023                                      0
  45  quilm         3229/4                                    8577                                      0
  46  quilm         2965/2                                    8765                                      0
  47  quilm         32862/1                                   33862                                     1
  48  quilm         5049/2                                    5549                                      0
  49  quilm         104/3                                     550                                       0
  50  quilm         3583/1                                    3583                                      0
  51  quilm         4252/3                                    3772                                      0
  52  quilm         84215/4                                   44355                                     0
  53  quilm         36157/1                                   26157                                     1
  54  quilm         5569/3                                    2129                                      0
  55  quilm         8472/2                                    9572                                      1
  56  quilm         639/2                                     079                                       0
  57  quilm         177052/1                                  147052                                    0
  58  quilm         248/3                                     550                                       0
  59  quilm         3750/3                                    3382                                      0
  60  quilm         3365/2                                    8965                                      0
  61  quilm         4018/2                                    4628                                      0
  62  quilm         5142/3                                    5113                                      0
  63  quilm         6796/2                                    6866                                      0
  64  quilm         97734/3                                   97046                                     0
  65  quilm         69967/2                                   69924                                     0
  66  quilm         583027/1                                  503027                                    0
  67  quilm         90393/2                                   90305                                     1
  68  quilm         84297/4                                   88622                                     0
  69  quilm         874379/1                                  854379                                    0
  70  quilm         7833/3                                    7335                                      0
  71  quilm         70721/2                                   70714                                     0
  72  quilm         8948/2                                    8933                                      0
  73  quilm         7344/2                                    7344                                      0
  74  quilm         3565/3                                    2715                                      0
  75  quilm         814454/2                                  814624                                    0
  76  quilm         17706/3                                   17511                                     0
  77  quilm         041610/2                                  013610                                    0
  78  quilm         6758/2                                    2958                                      0
  79  quilm         76390/3                                   59990                                     0
  80  quilm         2664/2                                    2064                                      0
  81  quilm         9383/2                                    9283                                      0
  82  quilm         2411/4                                    5196                                      0
  83  quilm         79519/2                                   79809                                     0
  84  quilm         380/3                                     332                                       0
  85  quilm         9205/3                                    9871                                      0
  86  quilm         444/2                                     274                                       0
  87  quilm         3244/1                                    3444                                      0
  88  quilm         0325/2                                    0435                                      0
  89  quilm         6884/3                                    6648                                      0
  90  quilm         5772/3                                    3462                                      0
  91  quilm         72585/3                                   72197                                     0
  92  quilm         140/3                                     767                                       0
  93  quilm         82428/2                                   82405                                     0
  94  quilm         19784/3                                   44384                                     0
  95  quilm         737/1                                     777                                       0
  96  quilm         046014/2                                  046054                                    0
  97  quilm         608854/3                                  608575                                    0
  98  quilm         7564/2                                    2164                                      0
  99  quilm         6372/4                                    8577                                      0
 100  quilm         42808/1                                   42908                                     0
 101  quilm         581264/2                                  587064                                    0
 102  quilm         80752/1                                   40752                                     0
 103  quilm         455/2                                     615                                       0
 104  quilm         473/3                                     767                                       0
 105  quilm         512/3                                     332                                       0
 106  quilm         8952/1                                    8452                                      0
 107  quilm         809603/2                                  809629                                    1
 108  quilm         60073/3                                   60211                                     0
 109  quilm         83318/3                                   48418                                     0
 110  quilm         037605/4                                  030187                                    0
 111  quilm         21296/2                                   21218                                     0
