Centaur Zendo round 5 (training)
round_id : 40ea83cdef3240c4918c8db38b74c4d6
written  : 2026-09-02 11:35:09Z
presented=495  answered=495  correct=490  skipped=0
client answer latency: mean 0.128 ms  median 0.120 ms  max 1.254 ms  (n=495)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  quilm         689/1                                     089                                       1
   1  quilm         80248/4                                   00030                                     1
   2  quilm         877/3                                     012                                       1
   3  quilm         847651/2                                  847621                                    1
   4  quilm         280159/3                                  000139                                    1
   5  quilm         309/2                                     003                                       1
   6  quilm         33535/2                                   33235                                     1
   7  quilm         6868/2                                    0088                                      1
   8  quilm         3061/2                                    0051                                      1
   9  quilm         786726/2                                  786756                                    1
  10  quilm         992/2                                     995                                       1
  11  quilm         913167/1                                  013167                                    1
  12  quilm         4490/3                                    0190                                      1
  13  quilm         28350/2                                   58350                                     1
  14  quilm         1637/3                                    1001                                      1
  15  quilm         175/2                                     172                                       1
  16  quilm         6881/4                                    0023                                      1
  17  quilm         6890/2                                    0080                                      1
  18  quilm         02975/3                                   00015                                     1
  19  quilm         618/3                                     042                                       1
  20  quilm         3857/3                                    0037                                      1
  21  quilm         99708/3                                   00188                                     1
  22  quilm         000/1                                     600                                       1
  23  quilm         501431/1                                  301431                                    1
  24  quilm         4096/2                                    1088                                      1
  25  quilm         304/2                                     264                                       1
  26  quilm         903/3                                     029                                       1
  27  quilm         646711/2                                  040711                                    1
  28  quilm         8027/2                                    8057                                      1
  29  quilm         4985/2                                    4982                                      1
  30  quilm         71338/2                                   11038                                     1
  31  quilm         969/2                                     009                                       1
  32  quilm         2636/2                                    5636                                      1
  33  quilm         8497/2                                    0397                                      1
  34  quilm         7430/3                                    0410                                      1
  35  quilm         793/2                                     109                                       1
  36  quilm         825289/3                                  003289                                    1
  37  quilm         2679/3                                    0019                                      1
  38  quilm         42622/1                                   43622                                     1
  39  quilm         36209/4                                   00202                                     1
  40  quilm         72623/1                                   73623                                     1
  41  quilm         6630/2                                    0030                                      1
  42  quilm         338/4                                     002                                       1
