Centaur Zendo round 6 (training)
round_id : 28f1c2893c63432ebe07285369fed23c
written  : 2026-09-02 11:37:26Z
presented=465  answered=465  correct=465  skipped=0
client answer latency: mean 0.140 ms  median 0.127 ms  max 1.099 ms  (n=465)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  quilm         42998/2                                   45998                                     1
   1  quilm         95106/3                                   00105                                     1
   2  quilm         7186/2                                    1406                                      1
   3  quilm         102/2                                     105                                       1
   4  quilm         7490/3                                    0130                                      1
   5  quilm         7262/3                                    1002                                      1
   6  quilm         41157/2                                   41127                                     1
   7  quilm         0913/2                                    0012                                      1
   8  quilm         00105/2                                   00102                                     1
   9  quilm         3263/2                                    3563                                      1
  10  quilm         4061/3                                    1004                                      1
  11  quilm         524/3                                     027                                       1
  12  quilm         394/2                                     034                                       1
  13  quilm         4892/2                                    4895                                      1
  14  quilm         1906/1                                    1006                                      1
  15  quilm         589/3                                     000                                       1
  16  quilm         66306/1                                   96306                                     1
  17  quilm         7806/1                                    7896                                      1
  18  quilm         4729/2                                    4759                                      1
  19  quilm         485909/3                                  005309                                    1
  20  quilm         051/3                                     074                                       1
  21  quilm         92891/1                                   02891                                     1
  22  quilm         428/2                                     458                                       1
  23  quilm         62630/3                                   00530                                     1
  24  quilm         5301/4                                    0104                                      1
  25  quilm         65728/3                                   00128                                     1
  26  quilm         3632/4                                    0042                                      1
  27  quilm         69632/2                                   69635                                     1
  28  quilm         9711/2                                    0117                                      1
  29  quilm         973/2                                     019                                       1
  30  quilm         6333/2                                    0233                                      1
  31  quilm         977791/3                                  011391                                    1
  32  quilm         501/2                                     201                                       1
  33  quilm         1323/2                                    1353                                      1
  34  quilm         442134/3                                  012134                                    1
  35  quilm         65954/2                                   62954                                     1
  36  quilm         115571/2                                  112571                                    1
  37  quilm         4372/3                                    0772                                      1
  38  quilm         5110/3                                    0112                                      1
  39  quilm         426/2                                     456                                       1
  40  quilm         02701/2                                   05701                                     1
  41  quilm         134442/3                                  104472                                    1
  42  quilm         4383/2                                    1388                                      1
  43  quilm         18758/2                                   18728                                     1
  44  quilm         12277/2                                   15277                                     1
  45  quilm         3592/2                                    3292                                      1
  46  quilm         115292/3                                  110222                                    1
  47  quilm         488/3                                     000                                       1
  48  quilm         9966/2                                    0066                                      1
  49  quilm         690/2                                     000                                       1
  50  quilm         175632/2                                  172632                                    1
  51  quilm         7263/2                                    7563                                      1
  52  quilm         743464/2                                  133464                                    1
  53  quilm         428/2                                     458                                       1
  54  quilm         390/2                                     030                                       1
  55  quilm         511348/3                                  011240                                    1
  56  quilm         567648/2                                  267648                                    1
  57  quilm         5740/3                                    0146                                      1
  58  quilm         98879/2                                   00878                                     1
  59  quilm         247360/2                                  547360                                    1
  60  quilm         7755/2                                    7725                                      1
  61  quilm         04466/2                                   01488                                     1
  62  quilm         44130/3                                   01130                                     1
  63  quilm         6361/3                                    0051                                      1
  64  quilm         9603/3                                    0002                                      1
  65  quilm         419/4                                     077                                       1
  66  quilm         0198/3                                    0332                                      1
  67  quilm         309/2                                     003                                       1
  68  quilm         817/1                                     077                                       1
  69  quilm         682171/2                                  685171                                    1
  70  quilm         2507/3                                    0301                                      1
  71  quilm         12590/3                                   10330                                     1
  72  quilm         7390/4                                    0100                                      1
  73  quilm         04185/2                                   04182                                     1
  74  quilm         35873/1                                   25873                                     1
  75  quilm         134/3                                     107                                       1
  76  quilm         67408/3                                   01308                                     1
  77  quilm         9237/3                                    0031                                      1
  78  quilm         077/1                                     677                                       1
  79  quilm         7281/4                                    0181                                      1
  80  quilm         1144/2                                    1119                                      1
  81  quilm         40003/1                                   46003                                     1
  82  quilm         25470/2                                   55470                                     1
  83  quilm         09282/2                                   09582                                     1
  84  quilm         16856/4                                   05255                                     1
  85  quilm         867/4                                     022                                       1
  86  quilm         6676/2                                    0076                                      1
  87  quilm         8210/1                                    8310                                      1
  88  quilm         0837/2                                    0007                                      1
  89  quilm         35570/2                                   32570                                     1
  90  quilm         76102/2                                   76105                                     1
  91  quilm         00106/2                                   00128                                     1
  92  quilm         811123/2                                  811153                                    1
  93  quilm         67079/1                                   07079                                     1
  94  quilm         007940/2                                  001048                                    1
  95  quilm         0170/2                                    0716                                      1
  96  quilm         6084/3                                    0003                                      1
  97  quilm         554/4                                     001                                       1
  98  quilm         893539/3                                  000539                                    1
  99  quilm         267/2                                     567                                       1
 100  quilm         2047/2                                    5047                                      1
 101  quilm         4700/2                                    1300                                      1
 102  quilm         4414/3                                    0114                                      1
 103  quilm         22016/3                                   02012                                     1
 104  quilm         281/2                                     581                                       1
 105  quilm         831952/2                                  831922                                    1
 106  quilm         8275/3                                    0016                                      1
 107  quilm         7954/2                                    7924                                      1
 108  quilm         31355/2                                   31325                                     1
 109  quilm         674/2                                     519                                       1
 110  quilm         223922/2                                  523922                                    1
 111  quilm         612/2                                     615                                       1
 112  quilm         3231/2                                    3531                                      1
 113  quilm         5218/2                                    2218                                      1
 114  quilm         5943/2                                    2943                                      1
 115  quilm         47544/2                                   47244                                     1
 116  quilm         136/2                                     105                                       1
 117  quilm         437/4                                     041                                       1
 118  quilm         785/1                                     783                                       1
 119  quilm         054/2                                     024                                       1
 120  quilm         1044/4                                    0011                                      1
 121  quilm         2144/2                                    5144                                      1
 122  quilm         4803/2                                    1808                                      1
 123  quilm         11236/2                                   11536                                     1
 124  quilm         74758/2                                   74728                                     1
 125  quilm         2390/1                                    2590                                      1
 126  quilm         0524/2                                    0224                                      1
 127  quilm         7034/2                                    1004                                      1
 128  quilm         372/2                                     375                                       1
 129  quilm         69579/3                                   00379                                     1
 130  quilm         148/3                                     102                                       1
 131  quilm         8428/1                                    8438                                      1
 132  quilm         6606/2                                    0006                                      1
 133  quilm         41326/1                                   41526                                     1
 134  quilm         0518/3                                    0072                                      1
 135  quilm         0564/2                                    0264                                      1
 136  quilm         53607/3                                   02507                                     1
 137  quilm         452934/2                                  422934                                    1
 138  quilm         3045/3                                    0016                                      1
 139  quilm         338/1                                     238                                       1
 140  quilm         7834/3                                    0031                                      1
 141  quilm         469/3                                     053                                       1
 142  quilm         61826/2                                   61856                                     1
 143  quilm         422925/3                                  022425                                    1
 144  quilm         149350/3                                  104350                                    1
 145  quilm         187/3                                     122                                       1
 146  quilm         226/1                                     326                                       1
 147  quilm         263392/3                                  003332                                    1
 148  quilm         6488/3                                    0308                                      1
 149  quilm         307/2                                     001                                       1
 150  quilm         1450/2                                    1420                                      1
 151  quilm         555650/3                                  035550                                    1
 152  quilm         6029/3                                    0003                                      1
 153  quilm         035/2                                     032                                       1
 154  quilm         9618/2                                    0018                                      1
 155  quilm         1587/1                                    1387                                      1
 156  quilm         71233/2                                   71533                                     1
 157  quilm         568984/2                                  268984                                    1
 158  quilm         8488/2                                    0388                                      1
 159  quilm         505657/2                                  205657                                    1
 160  quilm         997025/2                                  997055                                    1
 161  quilm         5506/1                                    3506                                      1
 162  quilm         995122/1                                  095122                                    1
 163  quilm         86874/3                                   00034                                     1
 164  quilm         00536/2                                   00236                                     1
 165  quilm         115/3                                     147                                       1
 166  quilm         3360/4                                    0188                                      1
 167  quilm         9090/2                                    0000                                      1
 168  quilm         07019/2                                   01043                                     1
 169  quilm         265700/4                                  003100                                    1
 170  quilm         69845/1                                   09845                                     1
 171  quilm         0444/2                                    0149                                      1
 172  quilm         0219/3                                    0012                                      1
 173  quilm         702/2                                     705                                       1
 174  quilm         075144/2                                  072144                                    1
 175  quilm         07428/1                                   67428                                     1
 176  quilm         29822/1                                   39822                                     1
 177  quilm         1145/3                                    1134                                      1
 178  quilm         66524/3                                   00324                                     1
 179  quilm         317/4                                     101                                       1
 180  quilm         8670/2                                    0078                                      1
 181  quilm         545057/2                                  245057                                    1
 182  quilm         09804/2                                   00084                                     1
 183  quilm         96541/2                                   96241                                     1
 184  quilm         506/1                                     306                                       1
 185  quilm         8863/2                                    0068                                      1
 186  quilm         785/2                                     782                                       1
 187  quilm         547/3                                     077                                       1
 188  quilm         218/2                                     518                                       1
 189  quilm         0016/2                                    0072                                      1
 190  quilm         22139/2                                   52139                                     1
 191  quilm         765/1                                     705                                       1
 192  quilm         814/2                                     013                                       1
 193  quilm         020/2                                     050                                       1
 194  quilm         75413/3                                   05411                                     1
 195  quilm         600221/1                                  900221                                    1
 196  quilm         983934/2                                  003834                                    1
 197  quilm         211/2                                     511                                       1
 198  quilm         7053/2                                    7023                                      1
 199  quilm         50810/3                                   00016                                     1
 200  quilm         858/2                                     828                                       1
 201  quilm         42537/2                                   45537                                     1
 202  quilm         5667/1                                    3667                                      1
 203  quilm         7899/3                                    0033                                      1
 204  quilm         6029/2                                    6059                                      1
 205  quilm         768252/2                                  768552                                    1
 206  quilm         25200/2                                   55200                                     1
 207  quilm         224/2                                     524                                       1
 208  quilm         5239/2                                    2239                                      1
 209  quilm         0388/2                                    0008                                      1
 210  quilm         7356/4                                    0136                                      1
 211  quilm         640428/3                                  010488                                    1
 212  quilm         2874/2                                    5874                                      1
 213  quilm         6586/4                                    0000                                      1
 214  quilm         128905/4                                  020705                                    1
 215  quilm         4638/2                                    1688                                      1
 216  quilm         266/4                                     002                                       1
 217  quilm         70204/2                                   70504                                     1
 218  quilm         60366/2                                   00266                                     1
 219  quilm         4671/1                                    4071                                      1
 220  quilm         9062/4                                    0005                                      1
 221  quilm         88094/2                                   00099                                     1
 222  quilm         66146/2                                   00146                                     1
 223  quilm         17273/3                                   10217                                     1
 224  quilm         57073/2                                   27073                                     1
 225  quilm         13734/3                                   10124                                     1
 226  quilm         60595/3                                   00035                                     1
 227  quilm         9668/2                                    0068                                      1
 228  quilm         6200/3                                    0228                                      1
 229  quilm         539/2                                     239                                       1
 230  quilm         109/3                                     307                                       1
 231  quilm         070/3                                     097                                       1
 232  quilm         941205/2                                  941505                                    1
 233  quilm         6435/2                                    6432                                      1
 234  quilm         6558/4                                    0030                                      1
 235  quilm         5157/2                                    2157                                      1
 236  quilm         9656/2                                    9626                                      1
 237  quilm         374521/2                                  374221                                    1
 238  quilm         952/2                                     922                                       1
 239  quilm         030/3                                     002                                       1
 240  quilm         505/2                                     205                                       1
 241  quilm         71162/4                                   01157                                     1
 242  quilm         62971/4                                   00011                                     1
 243  quilm         434/3                                     031                                       1
 244  quilm         6090/2                                    0000                                      1
 245  quilm         442/3                                     012                                       1
 246  quilm         45780/3                                   05100                                     1
 247  quilm         2706/2                                    5706                                      1
 248  quilm         2823/2                                    5823                                      1
 249  quilm         205/2                                     505                                       1
 250  quilm         8403/3                                    0188                                      1
 251  quilm         1213/4                                    1041                                      1
 252  quilm         3484/2                                    0404                                      1
 253  quilm         5000/2                                    2000                                      1
 254  quilm         840/4                                     002                                       1
 255  quilm         001/1                                     601                                       1
 256  quilm         66483/2                                   00483                                     1
 257  quilm         4079/2                                    1039                                      1
