Centaur Zendo round final (final)
round_id : cbea59bea68d4d6a8d61088f8b5df75c
written  : 2026-09-02 11:37:37Z
presented=2698  answered=2698  correct=2698  skipped=0
client answer latency: mean 0.142 ms  median 0.131 ms  max 1.195 ms  (n=2699)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  quilm         4907/1                                    4607                                      1
   1  quilm         0281/3                                    0027                                      1
   2  quilm         802814/1                                  862814                                    1
   3  quilm         43431/2                                   47434                                     1
   4  quilm         7142/2                                    7145                                      1
   5  quilm         761595/3                                  051545                                    1
   6  quilm         52394/4                                   00344                                     1
   7  quilm         37156/2                                   37126                                     1
   8  quilm         25103/2                                   55103                                     1
   9  quilm         3913/2                                    0313                                      1
  10  quilm         6861/2                                    0067                                      1
  11  quilm         47697/3                                   01597                                     1
  12  quilm         2599/4                                    0033                                      1
  13  quilm         9862/4                                    0000                                      1
  14  quilm         8767/3                                    0051                                      1
  15  quilm         95716/2                                   92716                                     1
  16  quilm         815400/2                                  812400                                    1
  17  quilm         5412/3                                    0172                                      1
  18  quilm         19389/4                                   01389                                     1
  19  quilm         75454/1                                   73454                                     1
  20  quilm         850/1                                     830                                       1
  21  quilm         030929/3                                  000023                                    1
  22  quilm         1429/3                                    1024                                      1
  23  quilm         62263/2                                   65263                                     1
  24  quilm         149/2                                     133                                       1
  25  quilm         6588/2                                    6288                                      1
  26  quilm         324/3                                     027                                       1
  27  quilm         54696/3                                   01686                                     1
  28  quilm         162/3                                     105                                       1
  29  quilm         2154/4                                    0101                                      1
  30  quilm         54823/3                                   01829                                     1
  31  quilm         3684/3                                    0004                                      1
  32  quilm         5834/4                                    0079                                      1
  33  quilm         4717/2                                    1317                                      1
  34  quilm         957/2                                     927                                       1
  35  quilm         57399/2                                   27399                                     1
  36  quilm         3084/2                                    0004                                      1
  37  quilm         7420/1                                    7430                                      1
  38  quilm         3893/3                                    0003                                      1
  39  quilm         303/2                                     202                                       1
  40  quilm         69394/2                                   00394                                     1
  41  quilm         175/2                                     172                                       1
  42  quilm         02817/2                                   05817                                     1
  43  quilm         9264/3                                    0054                                      1
  44  quilm         27383/3                                   01283                                     1
  45  quilm         592063/2                                  292063                                    1
  46  quilm         5114/3                                    0117                                      1
  47  quilm         85726/2                                   82726                                     1
  48  quilm         813/3                                     037                                       1
  49  quilm         202542/3                                  002442                                    1
  50  quilm         346/2                                     045                                       1
  51  quilm         7930/3                                    0370                                      1
  52  quilm         3876/2                                    0076                                      1
  53  quilm         14845/2                                   14842                                     1
  54  quilm         3810/4                                    0072                                      1
  55  quilm         1385/2                                    1382                                      1
  56  quilm         7608/2                                    1088                                      1
  57  quilm         41495/3                                   01195                                     1
  58  quilm         322720/4                                  022136                                    1
  59  quilm         529529/2                                  229529                                    1
  60  quilm         770/3                                     977                                       1
  61  quilm         463503/2                                  463203                                    1
  62  quilm         55635/2                                   25635                                     1
  63  quilm         55189/3                                   03109                                     1
  64  quilm         608/2                                     968                                       1
  65  quilm         5662/2                                    2662                                      1
  66  quilm         82744/3                                   02014                                     1
  67  quilm         511/2                                     211                                       1
  68  quilm         787/3                                     021                                       1
  69  quilm         07299/2                                   07599                                     1
  70  quilm         70942/2                                   70945                                     1
  71  quilm         48120/2                                   48150                                     1
  72  quilm         4349/3                                    0319                                      1
  73  quilm         607/3                                     204                                       1
  74  quilm         3832/2                                    3835                                      1
  75  quilm         613/4                                     031                                       1
  76  quilm         372672/2                                  375672                                    1
  77  quilm         7710/2                                    1140                                      1
  78  quilm         279972/2                                  579972                                    1
  79  quilm         894/2                                     039                                       1
  80  quilm         782/2                                     785                                       1
  81  quilm         01789/4                                   00104                                     1
