Centaur Zendo round 1 (training)
round_id : 6a9f14b159e24613a7319e766020fc9f
written  : 2026-09-02 11:11:29Z
presented=770  answered=0  correct=0  skipped=771
client answer latency: mean 0.074 ms  median 0.060 ms  max 1.238 ms  (n=771)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  quilm         62447/1                                   None                                      0
   1  quilm         510/2                                     None                                      0
   2  quilm         2601/4                                    None                                      0
   3  quilm         867/2                                     None                                      0
   4  quilm         5963/2                                    None                                      0
   5  quilm         940/2                                     None                                      0
   6  quilm         6810/2                                    None                                      0
   7  quilm         850004/2                                  None                                      0
   8  quilm         0942/4                                    None                                      0
   9  quilm         5654/1                                    None                                      0
  10  quilm         72879/2                                   None                                      0
  11  quilm         9610/2                                    None                                      0
  12  quilm         72497/3                                   None                                      0
  13  quilm         0366/3                                    None                                      0
  14  quilm         321051/4                                  None                                      0
  15  quilm         5640/2                                    None                                      0
  16  quilm         5220/2                                    None                                      0
  17  quilm         80319/2                                   None                                      0
  18  quilm         4083/1                                    None                                      0
  19  quilm         7999/2                                    None                                      0
  20  quilm         034718/2                                  None                                      0
  21  quilm         138/1                                     None                                      0
  22  quilm         7594/3                                    None                                      0
  23  quilm         5616/2                                    None                                      0
  24  quilm         6616/3                                    None                                      0
  25  quilm         4993/3                                    None                                      0
  26  quilm         73990/4                                   None                                      0
  27  quilm         5986/4                                    None                                      0
  28  quilm         444422/3                                  None                                      0
  29  quilm         2812/4                                    None                                      0
  30  quilm         9019/1                                    None                                      0
  31  quilm         10384/2                                   None                                      0
  32  quilm         427330/3                                  None                                      0
  33  quilm         8033/4                                    None                                      0
  34  quilm         53972/2                                   None                                      0
  35  quilm         406203/2                                  None                                      0
  36  quilm         683/3                                     None                                      0
  37  quilm         9127/2                                    None                                      0
  38  quilm         686437/2                                  None                                      0
  39  quilm         23080/2                                   None                                      0
  40  quilm         80363/4                                   None                                      0
  41  quilm         5764/2                                    None                                      0
  42  quilm         3334/2                                    None                                      0
  43  quilm         357/3                                     None                                      0
  44  quilm         86704/2                                   None                                      0
  45  quilm         641/2                                     None                                      0
  46  quilm         8340/2                                    None                                      0
  47  quilm         360/4                                     None                                      0
  48  quilm         28526/2                                   None                                      0
  49  quilm         4689/1                                    None                                      0
  50  quilm         326670/2                                  None                                      0
  51  quilm         0800/3                                    None                                      0
  52  quilm         868333/2                                  None                                      0
  53  quilm         102/1                                     None                                      0
  54  quilm         6845/4                                    None                                      0
  55  quilm         55952/4                                   None                                      0
  56  quilm         7129/4                                    None                                      0
  57  quilm         514/2                                     None                                      0
  58  quilm         87063/2                                   None                                      0
  59  quilm         603/2                                     None                                      0
  60  quilm         540/4                                     None                                      0
  61  quilm         400/3                                     None                                      0
  62  quilm         81569/4                                   None                                      0
  63  quilm         7681/4                                    None                                      0
  64  quilm         406/4                                     None                                      0
  65  quilm         145/3                                     None                                      0
  66  quilm         0320/1                                    None                                      0
  67  quilm         742/4                                     None                                      0
  68  quilm         402/4                                     None                                      0
  69  quilm         786/2                                     None                                      0
  70  quilm         30282/2                                   None                                      0
  71  quilm         8424/4                                    None                                      0
  72  quilm         171531/4                                  None                                      0
  73  quilm         577/2                                     None                                      0
  74  quilm         8717/2                                    None                                      0
  75  quilm         89363/4                                   None                                      0
  76  quilm         9490/2                                    None                                      0
  77  quilm         860316/2                                  None                                      0
  78  quilm         982832/2                                  None                                      0
  79  quilm         414271/2                                  None                                      0
  80  quilm         6130/3                                    None                                      0
  81  quilm         150636/1                                  None                                      0
  82  quilm         46032/2                                   None                                      0
  83  quilm         36319/2                                   None                                      0
  84  quilm         220/1                                     None                                      0
  85  quilm         584558/2                                  None                                      0
  86  quilm         92831/2                                   None                                      0
  87  quilm         59759/2                                   None                                      0
  88  quilm         945/2                                     None                                      0
  89  quilm         659/1                                     None                                      0
  90  quilm         829/2                                     None                                      0
  91  quilm         347614/3                                  None                                      0
  92  quilm         4412/2                                    None                                      0
  93  quilm         644736/3                                  None                                      0
  94  quilm         6679/4                                    None                                      0
  95  quilm         73716/3                                   None                                      0
  96  quilm         425/1                                     None                                      0
  97  quilm         441/2                                     None                                      0
  98  quilm         083/2                                     None                                      0
  99  quilm         33132/3                                   None                                      0
 100  quilm         231252/2                                  None                                      0
 101  quilm         130033/3                                  None                                      0
 102  quilm         6813/4                                    None                                      0
 103  quilm         021/1                                     None                                      0
 104  quilm         248/2                                     None                                      0
 105  quilm         8045/2                                    None                                      0
 106  quilm         546384/4                                  None                                      0
 107  quilm         1793/2                                    None                                      0
 108  quilm         5632/3                                    None                                      0
 109  quilm         7421/1                                    None                                      0
 110  quilm         63573/3                                   None                                      0
 111  quilm         03643/1                                   None                                      0
 112  quilm         862569/2                                  None                                      0
 113  quilm         53248/2                                   None                                      0
 114  quilm         376/2                                     None                                      0
 115  quilm         3819/1                                    None                                      0
 116  quilm         53675/3                                   None                                      0
 117  quilm         743/1                                     None                                      0
 118  quilm         63143/2                                   None                                      0
 119  quilm         092/2                                     None                                      0
 120  quilm         4529/3                                    None                                      0
 121  quilm         185/2                                     None                                      0
 122  quilm         66978/3                                   None                                      0
 123  quilm         2256/3                                    None                                      0
 124  quilm         0122/2                                    None                                      0
 125  quilm         866/1                                     None                                      0
 126  quilm         0312/3                                    None                                      0
 127  quilm         52179/2                                   None                                      0
 128  quilm         447/2                                     None                                      0
 129  quilm         0044/3                                    None                                      0
 130  quilm         349/3                                     None                                      0
 131  quilm         318/3                                     None                                      0
 132  quilm         8786/3                                    None                                      0
 133  quilm         453/4                                     None                                      0
 134  quilm         6357/2                                    None                                      0
 135  quilm         7390/2                                    None                                      0
 136  quilm         6510/2                                    None                                      0
 137  quilm         172/2                                     None                                      0
 138  quilm         4162/2                                    None                                      0
 139  quilm         6858/3                                    None                                      0
 140  quilm         2923/4                                    None                                      0
 141  quilm         58267/2                                   None                                      0
 142  quilm         4553/2                                    None                                      0
 143  quilm         5772/2                                    None                                      0
 144  quilm         544014/2                                  None                                      0
 145  quilm         840/2                                     None                                      0
 146  quilm         7940/2                                    None                                      0
 147  quilm         93600/2                                   None                                      0
 148  quilm         831416/3                                  None                                      0
 149  quilm         753/2                                     None                                      0
 150  quilm         0717/2                                    None                                      0
 151  quilm         578/4                                     None                                      0
 152  quilm         8525/2                                    None                                      0
 153  quilm         7152/2                                    None                                      0
 154  quilm         0428/4                                    None                                      0
 155  quilm         7360/3                                    None                                      0
 156  quilm         28932/4                                   None                                      0
 157  quilm         29002/3                                   None                                      0
 158  quilm         30259/1                                   None                                      0
 159  quilm         8373/2                                    None                                      0
 160  quilm         29803/2                                   None                                      0
 161  quilm         906298/2                                  None                                      0
 162  quilm         348336/3                                  None                                      0
 163  quilm         15062/2                                   None                                      0
 164  quilm         648808/3                                  None                                      0
 165  quilm         054/4                                     None                                      0
 166  quilm         77665/4                                   None                                      0
 167  quilm         665/3                                     None                                      0
 168  quilm         4741/2                                    None                                      0
 169  quilm         6394/3                                    None                                      0
 170  quilm         875/3                                     None                                      0
 171  quilm         75255/2                                   None                                      0
 172  quilm         9576/2                                    None                                      0
 173  quilm         44767/2                                   None                                      0
 174  quilm         3170/3                                    None                                      0
