Centaur Zendo round 2 (training)
round_id : a66cd023e3524f5197fe6b9285088ca7
written  : 2026-09-02 11:13:49Z
presented=485  answered=485  correct=25  skipped=0
client answer latency: mean 0.100 ms  median 0.093 ms  max 1.154 ms  (n=485)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  quilm         933911/1                                  033911                                    1
   1  quilm         14500/1                                   44500                                     0
   2  quilm         601/2                                     612                                       0
   3  quilm         40140/2                                   45640                                     0
   4  quilm         2938/3                                    1828                                      0
   5  quilm         1091/3                                    2191                                      0
   6  quilm         92984/3                                   03094                                     0
   7  quilm         000/3                                     000                                       0
   8  quilm         7689/2                                    8789                                      0
   9  quilm         833/2                                     136                                       0
  10  quilm         998/2                                     909                                       0
  11  quilm         0957/2                                    0407                                      0
  12  quilm         4991/4                                    3880                                      0
  13  quilm         715934/3                                  825934                                    0
  14  quilm         20040/1                                   31040                                     0
  15  quilm         586/3                                     586                                       0
  16  quilm         4267/3                                    5377                                      0
  17  quilm         11348/4                                   44641                                     0
  18  quilm         76418/4                                   77529                                     0
  19  quilm         0488/2                                    0938                                      1
  20  quilm         75580/1                                   65580                                     0
  21  quilm         0168/2                                    1168                                      0
  22  quilm         7151/2                                    8261                                      0
  23  quilm         744/2                                     744                                       0
  24  quilm         031684/4                                  142784                                    0
  25  quilm         416/2                                     719                                       0
  26  quilm         01573/2                                   01584                                     0
  27  quilm         96470/2                                   91970                                     0
  28  quilm         58554/1                                   48554                                     0
  29  quilm         465/2                                     565                                       0
  30  quilm         2610/2                                    3720                                      0
  31  quilm         9286/1                                    9286                                      0
  32  quilm         076000/1                                  176000                                    0
  33  quilm         738/1                                     038                                       0
  34  quilm         056/3                                     167                                       0
  35  quilm         726/3                                     271                                       0
  36  quilm         283385/3                                  172385                                    0
  37  quilm         24829/4                                   35929                                     0
  38  quilm         6325/4                                    7436                                      0
  39  quilm         5223/2                                    5223                                      0
  40  quilm         93013/2                                   04013                                     0
  41  quilm         42783/4                                   75086                                     0
  42  quilm         68995/2                                   68906                                     0
  43  quilm         25817/2                                   20317                                     0
  44  quilm         57439/2                                   46439                                     0
  45  quilm         91743/3                                   02743                                     0
  46  quilm         19009/4                                   20110                                     0
  47  quilm         52673/2                                   52673                                     0
  48  quilm         9344/2                                    0444                                      0
  49  quilm         65489/3                                   95782                                     0
  50  quilm         795/1                                     796                                       0
  51  quilm         895712/1                                  890712                                    0
  52  quilm         5990/2                                    4890                                      1
  53  quilm         26300/3                                   37300                                     0
  54  quilm         81246/4                                   92357                                     0
  55  quilm         8774/2                                    8774                                      0
  56  quilm         636/3                                     747                                       0
  57  quilm         7101/3                                    0431                                      0
  58  quilm         26140/3                                   26251                                     0
  59  quilm         6945/4                                    1490                                      0
  60  quilm         00228/1                                   00128                                     0
  61  quilm         9245/4                                    0355                                      0
  62  quilm         1747/3                                    2858                                      0
  63  quilm         14776/2                                   14776                                     0
  64  quilm         162/4                                     273                                       0
  65  quilm         86800/3                                   16103                                     0
  66  quilm         1968/2                                    1979                                      0
  67  quilm         617343/2                                  612843                                    0
  68  quilm         25940/2                                   14940                                     0
  69  quilm         9607/2                                    0607                                      0
  70  quilm         5264/3                                    6375                                      0
  71  quilm         065206/2                                  065206                                    0
  72  quilm         44751/3                                   55851                                     0
  73  quilm         29560/4                                   52863                                     0
  74  quilm         0715/1                                    0716                                      0
  75  quilm         599/4                                     044                                       0
  76  quilm         1511/2                                    0411                                      0
  77  quilm         357932/2                                  457932                                    0
  78  quilm         654306/3                                  765406                                    0
  79  quilm         2207/3                                    2207                                      0
  80  quilm         573394/2                                  683394                                    0
  81  quilm         721/2                                     024                                       0
  82  quilm         9171/3                                    9282                                      0
  83  quilm         8101/2                                    8651                                      0
  84  quilm         79537/2                                   68537                                     0
  85  quilm         84327/2                                   94327                                     0
  86  quilm         216/4                                     327                                       0
  87  quilm         079390/3                                  079390                                    0
  88  quilm         4872/2                                    5972                                      1
  89  quilm         285900/4                                  518930                                    0
  90  quilm         5345/3                                    5456                                      0
  91  quilm         19065/4                                   64515                                     0
  92  quilm         80497/2                                   70397                                     0
  93  quilm         63256/1                                   63256                                     0
  94  quilm         91650/4                                   02761                                     0
  95  quilm         70027/4                                   70027                                     0
  96  quilm         5912/2                                    6012                                      0
  97  quilm         7363/3                                    0693                                      0
  98  quilm         8559/1                                    8550                                      1
  99  quilm         70260/2                                   75760                                     0
 100  quilm         13474/4                                   02364                                     0
 101  quilm         862/1                                     862                                       0
 102  quilm         544246/1                                  654246                                    0
 103  quilm         0920/4                                    0920                                      0
 104  quilm         6016/2                                    7116                                      0
 105  quilm         5940/2                                    8970                                      0
 106  quilm         522/4                                     633                                       0
 107  quilm         8508/2                                    8058                                      0
 108  quilm         9465/2                                    8365                                      0
 109  quilm         5355/3                                    6455                                      0
 110  quilm         1246/2                                    2356                                      0
 111  quilm         726/1                                     726                                       0
 112  quilm         0395/2                                    1495                                      0
 113  quilm         38725/4                                   61028                                     0
 114  quilm         30613/1                                   30614                                     0
 115  quilm         11206/2                                   16706                                     0
 116  quilm         927405/4                                  816305                                    0
 117  quilm         98290/2                                   08290                                     0
 118  quilm         0067/4                                    1178                                      0
 119  quilm         444/3                                     444                                       0
 120  quilm         124/2                                     234                                       0
 121  quilm         4917/2                                    7947                                      0
 122  quilm         0579/4                                    1680                                      0
 123  quilm         4026/4                                    9571                                      0
 124  quilm         05769/2                                   04669                                     0
 125  quilm         68947/2                                   78947                                     0
 126  quilm         271/4                                     382                                       0
 127  quilm         904/3                                     904                                       0
 128  quilm         281656/1                                  381656                                    1
 129  quilm         2368/3                                    5698                                      0
 130  quilm         2511/1                                    2512                                      0
 131  quilm         1385/2                                    1835                                      0
 132  quilm         33545/4                                   22435                                     0
 133  quilm         045/2                                     145                                       0
 134  quilm         27985/2                                   38085                                     0
 135  quilm         89235/2                                   89235                                     0
 136  quilm         43682/2                                   54682                                     0
 137  quilm         6417/2                                    9447                                      0
 138  quilm         38985/2                                   38996                                     0
 139  quilm         64797/1                                   64297                                     0
 140  quilm         426/4                                     315                                       0
 141  quilm         345/1                                     345                                       0
 142  quilm         203184/2                                  314184                                    0
 143  quilm         5265/2                                    5265                                      0
 144  quilm         819/4                                     920                                       0
 145  quilm         045/1                                     345                                       0
 146  quilm         8223/3                                    8334                                      0
 147  quilm         7896/3                                    2346                                      0
 148  quilm         196614/1                                  096614                                    0
 149  quilm         64051/4                                   75151                                     0
 150  quilm         837/2                                     948                                       0
 151  quilm         357234/2                                  357234                                    0
 152  quilm         2572/2                                    3672                                      0
 153  quilm         36771/3                                   66074                                     0
 154  quilm         317795/2                                  317706                                    0
 155  quilm         4107/4                                    9652                                      0
 156  quilm         29093/1                                   19093                                     0
 157  quilm         80359/3                                   91359                                     0
 158  quilm         54220/2                                   65320                                     0
 159  quilm         0271/3                                    0271                                      0
 160  quilm         505/3                                     616                                       0
 161  quilm         903/2                                     206                                       0
 162  quilm         163/2                                     174                                       0
 163  quilm         44800/3                                   49350                                     0
 164  quilm         13903/2                                   02903                                     0
 165  quilm         67737/3                                   78737                                     0
 166  quilm         8225/3                                    9336                                      1
 167  quilm         357/4                                     357                                       0
 168  quilm         1965/2                                    2065                                      0
 169  quilm         487/4                                     710                                       0
 170  quilm         97942/2                                   97953                                     0
 171  quilm         30413/3                                   35963                                     0
 172  quilm         102/2                                     001                                       0
 173  quilm         7918/4                                    8028                                      0
 174  quilm         519/2                                     620                                       0
 175  quilm         76224/2                                   76224                                     0
 176  quilm         1664/2                                    2764                                      0
 177  quilm         1041/2                                    4071                                      0
 178  quilm         25453/2                                   25464                                     1
 179  quilm         3186/4                                    8631                                      0
 180  quilm         8932/3                                    7822                                      0
 181  quilm         50337/2                                   60337                                     0
 182  quilm         324/4                                     435                                       1
 183  quilm         3506/3                                    3506                                      0
 184  quilm         317/2                                     427                                       0
 185  quilm         46232/1                                   76232                                     0
 186  quilm         0305/1                                    0306                                      0
 187  quilm         89071/2                                   84571                                     0
 188  quilm         78493/4                                   67383                                     0
 189  quilm         430/2                                     530                                       0
 190  quilm         344/4                                     455                                       0
 191  quilm         7489/3                                    7489                                      0
 192  quilm         580872/2                                  690872                                    0
 193  quilm         7383/3                                    0613                                      0
 194  quilm         1553/4                                    2664                                      0
 195  quilm         3564/2                                    3014                                      0
 196  quilm         276/3                                     165                                       0
 197  quilm         46097/1                                   46097                                     0
 198  quilm         6812/2                                    7922                                      0
 199  quilm         30656/1                                   30656                                     0
 200  quilm         8748/3                                    9858                                      0
 201  quilm         946/3                                     279                                       0
 202  quilm         1523/3                                    1634                                      1
 203  quilm         1015/3                                    6565                                      0
 204  quilm         5829/3                                    4719                                      0
 205  quilm         307/2                                     407                                       0
 206  quilm         83222/1                                   94222                                     0
 207  quilm         052282/2                                  052282                                    0
 208  quilm         151/2                                     261                                       0
 209  quilm         1869/2                                    4899                                      0
 210  quilm         72319/3                                   72420                                     0
 211  quilm         70597/3                                   75047                                     0
 212  quilm         497608/4                                  386508                                    0
 213  quilm         5317/4                                    6427                                      0
 214  quilm         108/2                                     219                                       0
 215  quilm         95610/1                                   95610                                     0
 216  quilm         2988/2                                    3088                                      1
 217  quilm         6340/2                                    9370                                      0
 218  quilm         751584/3                                  751695                                    0
 219  quilm         993256/1                                  998256                                    0
 220  quilm         8292/1                                    7292                                      0
 221  quilm         3807/3                                    4907                                      0
 222  quilm         8621/3                                    9732                                      0
 223  quilm         0642/2                                    0642                                      0
 224  quilm         9304/4                                    0415                                      0
 225  quilm         4541/3                                    7871                                      0
 226  quilm         29118/2                                   29129                                     0
 227  quilm         09724/1                                   09224                                     0
 228  quilm         367/3                                     256                                       0
 229  quilm         7765/1                                    7765                                      0
 230  quilm         7983/2                                    8093                                      0
 231  quilm         348/4                                     348                                       0
 232  quilm         905/2                                     015                                       0
 233  quilm         346/2                                     649                                       0
 234  quilm         414/2                                     425                                       0
 235  quilm         0589/3                                    5039                                      0
 236  quilm         327/3                                     216                                       0
 237  quilm         5447/2                                    6447                                      0
 238  quilm         305/2                                     416                                       0
 239  quilm         00067/2                                   00067                                     0
 240  quilm         301674/4                                  412774                                    0
 241  quilm         950169/1                                  250169                                    0
 242  quilm         748/2                                     759                                       1
 243  quilm         6659/2                                    6109                                      0
 244  quilm         336/1                                     236                                       1
 245  quilm         07989/4                                   18089                                     0
 246  quilm         21915/2                                   32015                                     0
 247  quilm         369850/2                                  369850                                    0
 248  quilm         375747/2                                  485747                                    0
 249  quilm         9387/2                                    2317                                      0
 250  quilm         9549/2                                    9550                                      0
 251  quilm         4821/3                                    9371                                      0
 252  quilm         8735/3                                    7625                                      0
 253  quilm         548/2                                     648                                       0
 254  quilm         534807/2                                  645807                                    0
