Centaur Zendo round 3 (training)
round_id : 2e919f72fa0c49d983c941dad0d8d139
written  : 2026-09-02 11:26:51Z
presented=496  answered=496  correct=496  skipped=0
client answer latency: mean 0.110 ms  median 0.103 ms  max 1.204 ms  (n=496)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  quilm         352/4                                     054                                       1
   1  quilm         23262/1                                   33262                                     1
   2  quilm         0903/2                                    8203                                      1
   3  quilm         390/2                                     920                                       1
   4  quilm         66331/2                                   82331                                     1
   5  quilm         537/3                                     047                                       1
   6  quilm         7442/1                                    7443                                      1
   7  quilm         84304/4                                   82404                                     1
   8  quilm         305/3                                     845                                       1
   9  quilm         5421/2                                    2421                                      1
  10  quilm         6823/3                                    8843                                      1
  11  quilm         34451/2                                   34421                                     1
  12  quilm         760/3                                     340                                       1
  13  quilm         643/3                                     523                                       1
  14  quilm         237375/2                                  537375                                    1
  15  quilm         379505/1                                  279505                                    1
  16  quilm         068554/2                                  068254                                    1
  17  quilm         450/1                                     430                                       1
  18  quilm         8974/1                                    8074                                      1
  19  quilm         5035/2                                    2035                                      1
  20  quilm         783/4                                     643                                       1
  21  quilm         7342/3                                    0142                                      1
  22  quilm         5714/4                                    7214                                      1
  23  quilm         8940/3                                    0920                                      1
  24  quilm         004/2                                     824                                       1
  25  quilm         4168/1                                    4108                                      1
  26  quilm         884/2                                     083                                       1
  27  quilm         9868/2                                    8828                                      1
  28  quilm         6391/2                                    5091                                      1
  29  quilm         6756/4                                    4256                                      1
  30  quilm         0268/2                                    0568                                      1
  31  quilm         475544/4                                  871544                                    1
  32  quilm         66180/4                                   76380                                     1
  33  quilm         1350/1                                    1250                                      1
  34  quilm         3272/3                                    9472                                      1
  35  quilm         395/1                                     295                                       1
  36  quilm         96835/3                                   26805                                     1
  37  quilm         28246/4                                   08446                                     1
  38  quilm         15993/2                                   12993                                     1
  39  quilm         1787/2                                    4727                                      1
  40  quilm         97408/2                                   34408                                     1
  41  quilm         1392/1                                    1292                                      1
  42  quilm         64482/1                                   04482                                     1
  43  quilm         5881/3                                    7884                                      1
  44  quilm         5180/2                                    2180                                      1
  45  quilm         946397/4                                  226397                                    1
  46  quilm         3104/1                                    2104                                      1
  47  quilm         570/3                                     440                                       1
  48  quilm         606/2                                     826                                       1
  49  quilm         89186/2                                   29486                                     1
  50  quilm         825/3                                     832                                       1
  51  quilm         9144/1                                    0144                                      1
  52  quilm         4556/4                                    8156                                      1
  53  quilm         0180/2                                    2780                                      1
  54  quilm         511320/4                                  131320                                    1
  55  quilm         4405/1                                    4465                                      1
  56  quilm         447391/2                                  197391                                    1
  57  quilm         84180/3                                   02180                                     1
  58  quilm         54465/2                                   24465                                     1
  59  quilm         828/2                                     858                                       1
  60  quilm         00735/2                                   00732                                     1
  61  quilm         827/2                                     857                                       1
  62  quilm         9944/3                                    3924                                      1
  63  quilm         810/1                                     816                                       1
  64  quilm         1251/2                                    1551                                      1
  65  quilm         8566/1                                    8366                                      1
  66  quilm         701/4                                     241                                       1
  67  quilm         4073/3                                    9473                                      1
  68  quilm         2476/3                                    0776                                      1
  69  quilm         114/2                                     717                                       1
  70  quilm         476336/4                                  877336                                    1
  71  quilm         69935/3                                   29905                                     1
  72  quilm         90038/2                                   82038                                     1
  73  quilm         932108/4                                  732208                                    1
  74  quilm         4995/3                                    3295                                      1
  75  quilm         6379/2                                    5079                                      1
  76  quilm         29716/2                                   59716                                     1
  77  quilm         0606/2                                    8206                                      1
  78  quilm         7224/2                                    7524                                      1
  79  quilm         929111/2                                  959111                                    1
  80  quilm         52120/3                                   64120                                     1
  81  quilm         3916/3                                    0216                                      1
  82  quilm         143/1                                     142                                       1
  83  quilm         69246/2                                   69546                                     1
  84  quilm         1125/1                                    1135                                      1
  85  quilm         484/3                                     024                                       1
  86  quilm         110569/1                                  116569                                    1
  87  quilm         25104/2                                   55104                                     1
  88  quilm         3905/2                                    3902                                      1
  89  quilm         43528/2                                   43228                                     1
  90  quilm         182/3                                     342                                       1
  91  quilm         22125/2                                   52125                                     1
  92  quilm         730/2                                     100                                       1
  93  quilm         2378/2                                    5378                                      1
  94  quilm         186/3                                     346                                       1
  95  quilm         307/1                                     207                                       1
  96  quilm         74789/3                                   12789                                     1
  97  quilm         0588/2                                    0288                                      1
  98  quilm         6716/3                                    2416                                      1
  99  quilm         33353/2                                   33323                                     1
 100  quilm         0622/2                                    0652                                      1
 101  quilm         499/4                                     229                                       1
 102  quilm         9124/4                                    7224                                      1
