Centaur Zendo round 4 (training)
round_id : f69249419fab482e896243f719ecd8bd
written  : 2026-09-02 11:27:47Z
presented=544  answered=544  correct=544  skipped=0
client answer latency: mean 0.102 ms  median 0.094 ms  max 1.261 ms  (n=544)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  quilm         52757/2                                   22757                                     1
   1  quilm         095711/2                                  092711                                    1
   2  quilm         84685/3                                   02685                                     1
   3  quilm         4476/3                                    1076                                      1
   4  quilm         449806/1                                  440806                                    1
   5  quilm         03853/3                                   20853                                     1
   6  quilm         2678/2                                    5678                                      1
   7  quilm         0852/2                                    0822                                      1
   8  quilm         421576/1                                  431576                                    1
   9  quilm         65747/1                                   05747                                     1
  10  quilm         5926/3                                    0226                                      1
  11  quilm         547/4                                     427                                       1
  12  quilm         1511/2                                    1211                                      1
  13  quilm         525/1                                     325                                       1
  14  quilm         395/4                                     922                                       1
  15  quilm         8613/2                                    2643                                      1
  16  quilm         29749/3                                   02749                                     1
  17  quilm         4424/2                                    4454                                      1
  18  quilm         7748/2                                    1448                                      1
  19  quilm         64855/2                                   64825                                     1
  20  quilm         598614/3                                  028614                                    1
  21  quilm         099056/1                                  699056                                    1
  22  quilm         88831/2                                   08801                                     1
  23  quilm         45461/2                                   42461                                     1
  24  quilm         92081/2                                   95081                                     1
  25  quilm         77581/4                                   07181                                     1
  26  quilm         11101/2                                   71121                                     1
  27  quilm         0672/4                                    7662                                      1
  28  quilm         41676/3                                   91476                                     1
  29  quilm         011/4                                     721                                       1
  30  quilm         860521/2                                  860221                                    1
  31  quilm         4968/4                                    2268                                      1
  32  quilm         5213/3                                    6413                                      1
  33  quilm         91188/2                                   44188                                     1
  34  quilm         9424/2                                    9454                                      1
  35  quilm         7186/2                                    3126                                      1
  36  quilm         79210/3                                   07210                                     1
  37  quilm         606/2                                     826                                       1
  38  quilm         5182/2                                    2182                                      1
  39  quilm         12001/3                                   74001                                     1
  40  quilm         19587/2                                   19287                                     1
  41  quilm         7273/3                                    3773                                      1
  42  quilm         012/3                                     732                                       1
  43  quilm         1935/3                                    3735                                      1
  44  quilm         43612/2                                   43615                                     1
  45  quilm         407060/3                                  947060                                    1
  46  quilm         87471/2                                   04471                                     1
  47  quilm         477018/2                                  137018                                    1
  48  quilm         55484/2                                   25484                                     1
  49  quilm         96964/1                                   06964                                     1
  50  quilm         38642/3                                   88442                                     1
  51  quilm         6436/2                                    5336                                      1
  52  quilm         9306/2                                    3006                                      1
  53  quilm         689/2                                     882                                       1
  54  quilm         2018/2                                    5018                                      1
  55  quilm         279489/2                                  579489                                    1
  56  quilm         1271/3                                    7471                                      1
  57  quilm         37079/3                                   72079                                     1
  58  quilm         490/2                                     330                                       1
  59  quilm         640/2                                     530                                       1
  60  quilm         2883/3                                    0884                                      1
  61  quilm         49085/3                                   32085                                     1
  62  quilm         083263/3                                  280263                                    1
  63  quilm         7809/2                                    3209                                      1
  64  quilm         60897/3                                   20894                                     1
  65  quilm         9588/2                                    9288                                      1
  66  quilm         25671/2                                   55671                                     1
  67  quilm         774/4                                     127                                       1
  68  quilm         40464/2                                   78464                                     1
  69  quilm         12330/4                                   31330                                     1
  70  quilm         61042/2                                   61045                                     1
  71  quilm         92851/4                                   72852                                     1
  72  quilm         922938/1                                  022938                                    1
  73  quilm         0157/4                                    7257                                      1
  74  quilm         929223/2                                  959223                                    1
  75  quilm         7620/1                                    7020                                      1
  76  quilm         1883/2                                    4283                                      1
  77  quilm         235/2                                     535                                       1
  78  quilm         4344/1                                    4244                                      1
  79  quilm         5901/2                                    2901                                      1
  80  quilm         990/2                                     820                                       1
  81  quilm         4086/2                                    7886                                      1
  82  quilm         95283/2                                   92283                                     1
  83  quilm         568758/4                                  768258                                    1
  84  quilm         415/1                                     413                                       1
  85  quilm         8823/3                                    8804                                      1
  86  quilm         036151/2                                  036121                                    1
  87  quilm         5456/2                                    2456                                      1
  88  quilm         5921/2                                    2921                                      1
  89  quilm         46282/4                                   87282                                     1
  90  quilm         6569/3                                    0269                                      1
  91  quilm         27108/3                                   73108                                     1
  92  quilm         825/3                                     832                                       1
  93  quilm         65814/3                                   02814                                     1
  94  quilm         65726/1                                   05726                                     1
  95  quilm         79289/2                                   79589                                     1
  96  quilm         602/4                                     864                                       1
  97  quilm         41233/2                                   41533                                     1
  98  quilm         073815/2                                  073812                                    1
  99  quilm         921/2                                     951                                       1
 100  quilm         1790/3                                    3770                                      1
 101  quilm         37793/3                                   72793                                     1
 102  quilm         4783/3                                    1283                                      1
 103  quilm         562259/2                                  262259                                    1
 104  quilm         813/1                                     812                                       1
 105  quilm         16950/3                                   44950                                     1
 106  quilm         743/2                                     133                                       1
 107  quilm         95744/3                                   02744                                     1
 108  quilm         1593/2                                    1293                                      1
 109  quilm         5544/2                                    2544                                      1
 110  quilm         6533/1                                    0533                                      1
 111  quilm         0543/1                                    6543                                      1
 112  quilm         4523/2                                    4223                                      1
 113  quilm         851/2                                     821                                       1
 114  quilm         0624/3                                    8644                                      1
 115  quilm         10174/4                                   91174                                     1
 116  quilm         654/2                                     624                                       1
 117  quilm         364416/2                                  924416                                    1
 118  quilm         21567/3                                   74567                                     1
 119  quilm         033/4                                     604                                       1
 120  quilm         42266/3                                   97266                                     1
 121  quilm         99040/3                                   39020                                     1
 122  quilm         3671/3                                    8471                                      1
 123  quilm         21690/3                                   74690                                     1
 124  quilm         3388/2                                    9488                                      1
 125  quilm         5955/2                                    2955                                      1
 126  quilm         06725/2                                   06755                                     1
 127  quilm         21384/1                                   31384                                     1
 128  quilm         6682/3                                    8684                                      1
 129  quilm         6910/2                                    8210                                      1
 130  quilm         3946/2                                    9246                                      1
 131  quilm         640/2                                     530                                       1
 132  quilm         7875/4                                    6475                                      1
 133  quilm         158255/4                                  318255                                    1
 134  quilm         75324/2                                   72324                                     1
 135  quilm         96135/1                                   06135                                     1
 136  quilm         63050/2                                   63020                                     1
 137  quilm         2297/2                                    5297                                      1
 138  quilm         370/2                                     010                                       1
 139  quilm         6454/2                                    6424                                      1
 140  quilm         05770/3                                   62770                                     1
 141  quilm         26834/3                                   84834                                     1
 142  quilm         303/2                                     923                                       1
 143  quilm         1215/2                                    1515                                      1
 144  quilm         9287/1                                    0287                                      1
 145  quilm         302/3                                     842                                       1
 146  quilm         602/3                                     804                                       1
 147  quilm         15305/4                                   31305                                     1
 148  quilm         0558/2                                    0258                                      1
 149  quilm         83964/3                                   03962                                     1
 150  quilm         9437/3                                    3237                                      1
 151  quilm         4955/3                                    3255                                      1
 152  quilm         4107/2                                    7707                                      1
 153  quilm         1496/3                                    3476                                      1
 154  quilm         4519/2                                    4219                                      1
 155  quilm         9428/4                                    2228                                      1
 156  quilm         90548/3                                   00248                                     1
 157  quilm         82646/2                                   85646                                     1
 158  quilm         6631/3                                    2601                                      1
 159  quilm         959/2                                     929                                       1
 160  quilm         38314/2                                   82314                                     1
 161  quilm         8165/1                                    8105                                      1
 162  quilm         76549/3                                   34549                                     1
 163  quilm         510/3                                     740                                       1
 164  quilm         3179/3                                    7129                                      1
 165  quilm         562/1                                     362                                       1
 166  quilm         3013/3                                    8413                                      1
 167  quilm         587/3                                     484                                       1
 168  quilm         1391/2                                    7491                                      1
 169  quilm         585/1                                     385                                       1
 170  quilm         21825/3                                   74825                                     1
 171  quilm         03261/4                                   73262                                     1
 172  quilm         1723/2                                    1753                                      1
 173  quilm         40988/4                                   64988                                     1
 174  quilm         97935/2                                   97932                                     1
 175  quilm         732/2                                     735                                       1
 176  quilm         3730/1                                    2730                                      1
 177  quilm         2598/2                                    5598                                      1
 178  quilm         464733/1                                  404733                                    1
 179  quilm         4367/3                                    5467                                      1
 180  quilm         278882/1                                  378882                                    1
 181  quilm         6409/4                                    2209                                      1
 182  quilm         90798/2                                   82798                                     1
 183  quilm         044/3                                     234                                       1
 184  quilm         399/3                                     029                                       1
 185  quilm         84635/1                                   84035                                     1
 186  quilm         725/2                                     755                                       1
 187  quilm         7560/3                                    3760                                      1
 188  quilm         922989/1                                  022989                                    1
 189  quilm         06966/2                                   82966                                     1
 190  quilm         130/2                                     740                                       1
 191  quilm         3941/3                                    0241                                      1
 192  quilm         61446/2                                   27446                                     1
 193  quilm         2829/3                                    3859                                      1
 194  quilm         8383/4                                    8840                                      1
 195  quilm         7816/3                                    0416                                      1
 196  quilm         342337/2                                  345337                                    1
 197  quilm         9151/2                                    9121                                      1
 198  quilm         4173/3                                    1123                                      1
 199  quilm         9050/3                                    0020                                      1
 200  quilm         1684/2                                    7284                                      1
 201  quilm         41294/2                                   41594                                     1
 202  quilm         693/3                                     290                                       1
 203  quilm         9274/3                                    8474                                      1
 204  quilm         7904/3                                    0704                                      1
 205  quilm         0875/3                                    2845                                      1
 206  quilm         9077/1                                    0077                                      1
 207  quilm         57049/3                                   44049                                     1
 208  quilm         782/2                                     785                                       1
 209  quilm         0442/3                                    2342                                      1
 210  quilm         345/2                                     342                                       1
 211  quilm         0886/2                                    8882                                      1
 212  quilm         6075/1                                    0075                                      1
 213  quilm         95121/2                                   92121                                     1
 214  quilm         25803/3                                   32803                                     1
 215  quilm         1105/1                                    1165                                      1
 216  quilm         83208/3                                   89408                                     1
 217  quilm         329/4                                     049                                       1
 218  quilm         649/3                                     529                                       1
 219  quilm         2220/3                                    3520                                      1
 220  quilm         63353/2                                   63323                                     1
 221  quilm         0044/3                                    2034                                      1
 222  quilm         9550/2                                    9250                                      1
 223  quilm         69050/2                                   69020                                     1
 224  quilm         59780/2                                   29780                                     1
 225  quilm         0686/2                                    8286                                      1
 226  quilm         74158/2                                   74128                                     1
 227  quilm         75357/2                                   72357                                     1
 228  quilm         383/1                                     283                                       1
 229  quilm         348/1                                     248                                       1
 230  quilm         6665/3                                    0662                                      1
 231  quilm         669/3                                     802                                       1
 232  quilm         5045/1                                    3045                                      1
 233  quilm         63817/2                                   50817                                     1
 234  quilm         478/2                                     138                                       1
 235  quilm         4085/3                                    9485                                      1
 236  quilm         51978/3                                   74978                                     1
 237  quilm         03935/2                                   03932                                     1
 238  quilm         30966/1                                   20966                                     1
 239  quilm         189/2                                     429                                       1
 240  quilm         987/2                                     384                                       1
 241  quilm         01117/2                                   27117                                     1
 242  quilm         4560/1                                    4360                                      1
 243  quilm         029/2                                     059                                       1
 244  quilm         5392/4                                    0394                                      1
 245  quilm         08194/3                                   78394                                     1
 246  quilm         864/4                                     822                                       1
 247  quilm         1051/2                                    1021                                      1
 248  quilm         180849/2                                  420849                                    1
 249  quilm         99504/1                                   09504                                     1
 250  quilm         30847/3                                   84847                                     1
 251  quilm         843034/1                                  842034                                    1
 252  quilm         5877/2                                    2877                                      1
 253  quilm         75691/4                                   01691                                     1
 254  quilm         4460/4                                    7260                                      1
 255  quilm         768/2                                     458                                       1
 256  quilm         9078/4                                    7068                                      1
 257  quilm         6314/2                                    5014                                      1
 258  quilm         636/2                                     506                                       1
 259  quilm         6217/4                                    7237                                      1
 260  quilm         9622/4                                    9604                                      1
 261  quilm         1555/3                                    4755                                      1
 262  quilm         79281/3                                   07281                                     1
 263  quilm         2756/2                                    5756                                      1
 264  quilm         341142/3                                  701142                                    1
 265  quilm         156/2                                     126                                       1
 266  quilm         18974/2                                   42974                                     1
 267  quilm         607/2                                     827                                       1
 268  quilm         8081/3                                    4083                                      1
 269  quilm         678969/2                                  548969                                    1
 270  quilm         08817/3                                   78837                                     1
 271  quilm         04706/3                                   23706                                     1
 272  quilm         350/3                                     220                                       1
 273  quilm         39145/2                                   39142                                     1
 274  quilm         2785/3                                    7385                                      1
 275  quilm         08165/4                                   78265                                     1
 276  quilm         555/3                                     325                                       1
 277  quilm         0603/4                                    0840                                      1
 278  quilm         8412/3                                    0212                                      1
 279  quilm         6391/1                                    0391                                      1
 280  quilm         9397/3                                    2097                                      1
 281  quilm         9720/2                                    9750                                      1
 282  quilm         8360/4                                    8804                                      1
 283  quilm         2705/3                                    7305                                      1
 284  quilm         0558/2                                    0258                                      1
 285  quilm         27097/4                                   10097                                     1
 286  quilm         1234/2                                    1534                                      1
 287  quilm         17525/2                                   17225                                     1
 288  quilm         934147/2                                  304147                                    1
 289  quilm         6026/2                                    6056                                      1
 290  quilm         970/2                                     340                                       1
 291  quilm         307/1                                     207                                       1
 292  quilm         65888/2                                   62888                                     1
 293  quilm         5854/2                                    2854                                      1
 294  quilm         259/4                                     409                                       1
 295  quilm         07800/2                                   87820                                     1
 296  quilm         3177/4                                    1277                                      1
 297  quilm         4030/4                                    6430                                      1
 298  quilm         58746/2                                   28746                                     1
 299  quilm         376127/2                                  376157                                    1
 300  quilm         9097/3                                    4092                                      1
 301  quilm         64706/2                                   53706                                     1
 302  quilm         68185/4                                   78385                                     1
 303  quilm         671713/1                                  071713                                    1
 304  quilm         446/4                                     726                                       1
 305  quilm         33024/3                                   04024                                     1
 306  quilm         88709/1                                   88769                                     1
 307  quilm         781073/4                                  641073                                    1
 308  quilm         17736/4                                   27716                                     1
 309  quilm         460/1                                     400                                       1
 310  quilm         4862/3                                    0262                                      1
 311  quilm         28164/3                                   78464                                     1
 312  quilm         664/2                                     824                                       1
 313  quilm         4128/3                                    9178                                      1
 314  quilm         0916/2                                    8216                                      1
 315  quilm         359/4                                     922                                       1
 316  quilm         066561/2                                  066261                                    1
 317  quilm         187124/1                                  187134                                    1
 318  quilm         7886/4                                    6486                                      1
 319  quilm         1642/3                                    4442                                      1
 320  quilm         7330/2                                    1030                                      1
 321  quilm         85667/2                                   82667                                     1
 322  quilm         647684/4                                  227684                                    1
 323  quilm         580/2                                     280                                       1
 324  quilm         65176/2                                   62176                                     1
 325  quilm         248436/2                                  548436                                    1
 326  quilm         321/2                                     351                                       1
 327  quilm         548010/3                                  078010                                    1
 328  quilm         9180/1                                    0180                                      1
 329  quilm         02904/3                                   84904                                     1
 330  quilm         5829/1                                    3829                                      1
 331  quilm         946/3                                     326                                       1
 332  quilm         171451/2                                  171421                                    1
 333  quilm         0257/2                                    0557                                      1
 334  quilm         9315/2                                    9312                                      1
 335  quilm         9913/3                                    7933                                      1
 336  quilm         6091/1                                    0091                                      1
 337  quilm         191/2                                     721                                       1
 338  quilm         6044/3                                    5024                                      1
 339  quilm         546/1                                     346                                       1
 340  quilm         935/2                                     932                                       1
