Centaur Zendo round 5 (training)
round_id : 2f4436fcc8824bf2a69a574953c60264
written  : 2026-09-02 11:27:52Z
presented=522  answered=522  correct=522  skipped=0
client answer latency: mean 0.083 ms  median 0.077 ms  max 0.260 ms  (n=523)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  quilm         59072/2                                   29072                                     1
   1  quilm         217/2                                     517                                       1
   2  quilm         133/2                                     743                                       1
   3  quilm         88719/2                                   08419                                     1
   4  quilm         37121/4                                   16121                                     1
   5  quilm         7240/4                                    0140                                      1
   6  quilm         50084/2                                   20084                                     1
   7  quilm         0828/1                                    6828                                      1
   8  quilm         3372/3                                    0472                                      1
   9  quilm         4123/3                                    9173                                      1
  10  quilm         165/3                                     445                                       1
  11  quilm         800/2                                     882                                       1
  12  quilm         6120/1                                    0120                                      1
  13  quilm         15028/1                                   13028                                     1
  14  quilm         1838/4                                    0738                                      1
  15  quilm         077/4                                     767                                       1
  16  quilm         6194/2                                    2794                                      1
  17  quilm         895263/1                                  805263                                    1
  18  quilm         11089/2                                   71289                                     1
  19  quilm         33469/2                                   94469                                     1
  20  quilm         41447/2                                   77447                                     1
  21  quilm         372445/2                                  375445                                    1
  22  quilm         71498/2                                   11398                                     1
  23  quilm         62551/4                                   72553                                     1
  24  quilm         35736/3                                   22736                                     1
  25  quilm         4283/2                                    4583                                      1
  26  quilm         96729/2                                   96759                                     1
  27  quilm         85699/3                                   88499                                     1
  28  quilm         97760/2                                   34760                                     1
  29  quilm         146/2                                     776                                       1
  30  quilm         579619/4                                  729619                                    1
  31  quilm         00730/3                                   20430                                     1
  32  quilm         75080/2                                   72080                                     1
  33  quilm         4293/1                                    4393                                      1
  34  quilm         64924/1                                   04924                                     1
  35  quilm         620/1                                     020                                       1
  36  quilm         5543/2                                    2543                                      1
  37  quilm         50227/3                                   84227                                     1
  38  quilm         0768/4                                    7668                                      1
  39  quilm         875/2                                     872                                       1
  40  quilm         6606/2                                    8206                                      1
  41  quilm         3291/3                                    9491                                      1
  42  quilm         130208/1                                  120208                                    1
  43  quilm         274/3                                     734                                       1
  44  quilm         058/1                                     658                                       1
  45  quilm         9342/4                                    2322                                      1
  46  quilm         6711/1                                    0711                                      1
  47  quilm         011225/2                                  011525                                    1
  48  quilm         687174/2                                  584174                                    1
  49  quilm         07252/1                                   67252                                     1
  50  quilm         6389/2                                    5089                                      1
  51  quilm         586435/3                                  884435                                    1
  52  quilm         956907/3                                  026907                                    1
  53  quilm         66251/3                                   86451                                     1
  54  quilm         9279/1                                    0279                                      1
  55  quilm         491/3                                     321                                       1
  56  quilm         6176/1                                    0176                                      1
  57  quilm         2853/3                                    3823                                      1
  58  quilm         646234/2                                  646534                                    1
  59  quilm         69953/2                                   69923                                     1
  60  quilm         5303/2                                    2303                                      1
  61  quilm         31639/2                                   74639                                     1
  62  quilm         244/2                                     544                                       1
  63  quilm         7994/4                                    8194                                      1
  64  quilm         6092/3                                    8094                                      1
  65  quilm         9073/3                                    4023                                      1
  66  quilm         28497/4                                   78097                                     1
  67  quilm         1348/2                                    7448                                      1
  68  quilm         86866/3                                   88884                                     1
  69  quilm         609552/3                                  009252                                    1
  70  quilm         473/1                                     472                                       1
  71  quilm         94247/3                                   32247                                     1
  72  quilm         08843/3                                   28833                                     1
  73  quilm         59487/3                                   02487                                     1
  74  quilm         21807/2                                   51807                                     1
  75  quilm         4761/2                                    1361                                      1
  76  quilm         895/2                                     892                                       1
  77  quilm         78601/2                                   32601                                     1
  78  quilm         341/2                                     971                                       1
  79  quilm         5080/2                                    2080                                      1
  80  quilm         629/1                                     029                                       1
  81  quilm         1921/2                                    1951                                      1
  82  quilm         9448/2                                    3348                                      1
  83  quilm         365367/2                                  362367                                    1
  84  quilm         812/2                                     815                                       1
  85  quilm         8788/2                                    0488                                      1
  86  quilm         20645/2                                   50645                                     1
  87  quilm         780741/1                                  786741                                    1
  88  quilm         11621/1                                   11021                                     1
  89  quilm         76735/1                                   70735                                     1
  90  quilm         83348/2                                   00348                                     1
  91  quilm         912186/2                                  915186                                    1
  92  quilm         77487/4                                   67447                                     1
  93  quilm         271/2                                     571                                       1
  94  quilm         4576/4                                    8176                                      1
  95  quilm         125442/3                                  745442                                    1
  96  quilm         35041/4                                   45021                                     1
  97  quilm         438562/2                                  438262                                    1
  98  quilm         808/1                                     868                                       1
  99  quilm         73779/1                                   72779                                     1
 100  quilm         19713/2                                   72713                                     1
 101  quilm         3882/1                                    2882                                      1
 102  quilm         874/2                                     044                                       1
