Centaur Zendo round final (final)
round_id : 61a13c52e50440b1aeb78106969e067c
written  : 2026-09-02 11:28:07Z
presented=2817  answered=2817  correct=2817  skipped=0
client answer latency: mean 0.102 ms  median 0.096 ms  max 1.090 ms  (n=2817)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  quilm         4907/1                                    4007                                      1
   1  quilm         0281/3                                    8481                                      1
   2  quilm         802814/1                                  862814                                    1
   3  quilm         43431/2                                   18431                                     1
   4  quilm         7142/2                                    7145                                      1
   5  quilm         761595/3                                  341595                                    1
   6  quilm         52394/4                                   04394                                     1
   7  quilm         37156/2                                   37126                                     1
   8  quilm         25103/2                                   55103                                     1
   9  quilm         3913/2                                    9213                                      1
  10  quilm         6861/2                                    8821                                      1
  11  quilm         47697/3                                   12697                                     1
  12  quilm         2599/4                                    4099                                      1
  13  quilm         9862/4                                    8804                                      1
  14  quilm         8767/3                                    2267                                      1
  15  quilm         95716/2                                   92716                                     1
  16  quilm         815400/2                                  812400                                    1
  17  quilm         5412/3                                    0712                                      1
  18  quilm         19389/4                                   01389                                     1
  19  quilm         75454/1                                   73454                                     1
  20  quilm         850/1                                     830                                       1
  21  quilm         030929/3                                  200929                                    1
  22  quilm         1429/3                                    7449                                      1
  23  quilm         62263/2                                   65263                                     1
  24  quilm         149/2                                     779                                       1
  25  quilm         6588/2                                    6288                                      1
  26  quilm         324/3                                     944                                       1
  27  quilm         54696/3                                   07696                                     1
  28  quilm         162/3                                     442                                       1
  29  quilm         2154/4                                    1354                                      1
  30  quilm         54823/3                                   07823                                     1
  31  quilm         3684/3                                    8484                                      1
  32  quilm         5834/4                                    4832                                      1
  33  quilm         4717/2                                    1317                                      1
  34  quilm         957/2                                     927                                       1
  35  quilm         57399/2                                   27399                                     1
  36  quilm         3084/2                                    9284                                      1
  37  quilm         7420/1                                    7430                                      1
  38  quilm         3893/3                                    0823                                      1
  39  quilm         303/2                                     923                                       1
  40  quilm         69394/2                                   82394                                     1
  41  quilm         175/2                                     172                                       1
  42  quilm         02817/2                                   05817                                     1
  43  quilm         9264/3                                    8464                                      1
  44  quilm         27383/3                                   73383                                     1
  45  quilm         592063/2                                  292063                                    1
  46  quilm         5114/3                                    7414                                      1
  47  quilm         85726/2                                   82726                                     1
  48  quilm         813/3                                     433                                       1
  49  quilm         202542/3                                  842542                                    1
  50  quilm         346/2                                     976                                       1
  51  quilm         7930/3                                    0730                                      1
  52  quilm         3876/2                                    8276                                      1
  53  quilm         14845/2                                   14842                                     1
  54  quilm         3810/4                                    1820                                      1
  55  quilm         1385/2                                    1382                                      1
  56  quilm         7608/2                                    4508                                      1
  57  quilm         41495/3                                   11095                                     1
  58  quilm         322720/4                                  042720                                    1
  59  quilm         529529/2                                  229529                                    1
  60  quilm         770/3                                     374                                       1
  61  quilm         463503/2                                  463203                                    1
  62  quilm         55635/2                                   25635                                     1
  63  quilm         55189/3                                   32189                                     1
  64  quilm         608/2                                     828                                       1
  65  quilm         5662/2                                    2662                                      1
  66  quilm         82744/3                                   22244                                     1
  67  quilm         511/2                                     211                                       1
  68  quilm         787/3                                     047                                       1
  69  quilm         07299/2                                   07599                                     1
  70  quilm         70942/2                                   70945                                     1
  71  quilm         48120/2                                   48150                                     1
  72  quilm         4349/3                                    5449                                      1
  73  quilm         607/3                                     204                                       1
  74  quilm         3832/2                                    3835                                      1
  75  quilm         613/4                                     733                                       1
  76  quilm         372672/2                                  375672                                    1
  77  quilm         7710/2                                    1410                                      1
  78  quilm         279972/2                                  579972                                    1
  79  quilm         894/2                                     093                                       1
  80  quilm         782/2                                     785                                       1
  81  quilm         01789/4                                   72789                                     1
  82  quilm         5567/2                                    2567                                      1
  83  quilm         4234/3                                    9734                                      1
  84  quilm         27334/2                                   57334                                     1
  85  quilm         700919/2                                  300419                                    1
  86  quilm         09066/1                                   69066                                     1
  87  quilm         364464/2                                  924464                                    1
  88  quilm         29318/1                                   39318                                     1
  89  quilm         521/1                                     321                                       1
  90  quilm         95065/4                                   92062                                     1
  91  quilm         544/3                                     074                                       1
  92  quilm         44075/2                                   44072                                     1
  93  quilm         644/3                                     524                                       1
  94  quilm         91820/2                                   91850                                     1
  95  quilm         3144/4                                    1244                                      1
  96  quilm         746188/2                                  136188                                    1
  97  quilm         7326/2                                    7356                                      1
  98  quilm         04700/3                                   23700                                     1
  99  quilm         3496/1                                    2496                                      1
 100  quilm         6784/1                                    0784                                      1
 101  quilm         8590/3                                    8020                                      1
 102  quilm         2696/3                                    8496                                      1
 103  quilm         692/3                                     894                                       1
 104  quilm         3038/2                                    9238                                      1
 105  quilm         653/2                                     623                                       1
 106  quilm         502/1                                     302                                       1
 107  quilm         937/2                                     307                                       1
 108  quilm         397/3                                     027                                       1
 109  quilm         994276/2                                  994576                                    1
 110  quilm         61486/2                                   27486                                     1
 111  quilm         5954/4                                    2924                                      1
 112  quilm         527/3                                     647                                       1
 113  quilm         34464/2                                   97464                                     1
 114  quilm         292/4                                     094                                       1
 115  quilm         3928/2                                    3958                                      1
 116  quilm         70700/2                                   10400                                     1
 117  quilm         854/2                                     824                                       1
 118  quilm         288872/4                                  188802                                    1
 119  quilm         96264/2                                   96564                                     1
 120  quilm         2744/2                                    5744                                      1
 121  quilm         28376/3                                   08476                                     1
 122  quilm         527714/1                                  327714                                    1
 123  quilm         4389/1                                    4289                                      1
 124  quilm         9582/4                                    9084                                      1
 125  quilm         2235/2                                    5235                                      1
 126  quilm         25286/3                                   32286                                     1
 127  quilm         1450/2                                    1420                                      1
 128  quilm         121/2                                     151                                       1
 129  quilm         995/2                                     992                                       1
 130  quilm         93796/3                                   20796                                     1
 131  quilm         2290/2                                    5290                                      1
 132  quilm         9161/3                                    7361                                      1
 133  quilm         4112/2                                    4115                                      1
 134  quilm         27668/1                                   37668                                     1
 135  quilm         2700/2                                    5700                                      1
 136  quilm         27448/2                                   57448                                     1
 137  quilm         3658/2                                    3628                                      1
 138  quilm         227/2                                     527                                       1
 139  quilm         6367/1                                    0367                                      1
 140  quilm         374781/3                                  724781                                    1
 141  quilm         4572/1                                    4372                                      1
 142  quilm         128/3                                     748                                       1
 143  quilm         643/2                                     533                                       1
 144  quilm         0679/1                                    6679                                      1
 145  quilm         5768/2                                    2768                                      1
 146  quilm         844/2                                     034                                       1
 147  quilm         1554/2                                    1254                                      1
 148  quilm         42498/2                                   45498                                     1
 149  quilm         373404/3                                  723404                                    1
 150  quilm         276450/2                                  576450                                    1
 151  quilm         788/2                                     328                                       1
 152  quilm         37611/3                                   72611                                     1
 153  quilm         534/2                                     234                                       1
 154  quilm         3593/2                                    3293                                      1
 155  quilm         69323/2                                   69353                                     1
 156  quilm         632/2                                     635                                       1
 157  quilm         1385/2                                    1382                                      1
 158  quilm         6770/2                                    5470                                      1
 159  quilm         7661/4                                    0761                                      1
 160  quilm         1663/1                                    1063                                      1
 161  quilm         841/2                                     031                                       1
 162  quilm         3512/2                                    3212                                      1
 163  quilm         90328/1                                   00328                                     1
 164  quilm         00672/2                                   00675                                     1
 165  quilm         7680/3                                    3480                                      1
 166  quilm         81498/3                                   43498                                     1
 167  quilm         6140/2                                    2740                                      1
 168  quilm         5609/4                                    6822                                      1
 169  quilm         617167/2                                  277167                                    1
 170  quilm         203906/2                                  503906                                    1
 171  quilm         118481/4                                  017481                                    1
 172  quilm         3904/2                                    9204                                      1
 173  quilm         593/2                                     293                                       1
 174  quilm         280/2                                     580                                       1
 175  quilm         8336/1                                    8236                                      1
 176  quilm         9065/2                                    9062                                      1
 177  quilm         11832/1                                   11822                                     1
 178  quilm         87708/2                                   04708                                     1
 179  quilm         923260/2                                  953260                                    1
 180  quilm         411/2                                     771                                       1
 181  quilm         8181/3                                    4381                                      1
 182  quilm         5851/3                                    3821                                      1
 183  quilm         530679/2                                  230679                                    1
 184  quilm         814/3                                     434                                       1
