Centaur Zendo round 2 (training)
round_id : 23b3c8035e874f69b289ac017402cfd9
written  : 2026-09-04 13:37:57Z
presented=435  answered=435  correct=9  skipped=0
client answer latency: mean 0.135 ms  median 0.124 ms  max 1.423 ms  (n=436)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  LegoZendo     B2                                        BBB~BBB~QQQ~~~~~~~~~~~~~~~~~~~~~\nBBB~B…  0
   1  LegoZendo     J8                                        JJJ~JJJ~JJJ~JJJ~JJJ~JJJ~JJJ~JJJ~\nJJJ~J…  0
   2  LegoZendo     T11                                       TTT~TTT~TTT~TTT~TTT~TTT~TTT~TTT~\nTTT~T…  0
   3  LegoZendo     L9                                        LLL~LLL~LLL~LLL~LLL~LLL~LLL~LLL~\nLLL~L…  0
   4  LegoZendo     B0                                        QQQ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nQQQ~~…  0
   5  LegoZendo     T3                                        TTT~TTT~TTT~TTT~TTT~TTT~TTT~TTT~\nTTT~T…  0
   6  LegoZendo     J12                                       JJJ~JJJ~JJJ~JJJ~JJJ~JJJ~JJJ~JJJ~\nJJJ~J…  0
   7  LegoZendo     Q0                                        ZZZ~ZZZ~ZZZ~ZZZ~ZZZ~ZZZ~ZZZ~ZZZ~\nZZZ~Z…  0
   8  LegoZendo     Z11                                       ZZZ~ZZZ~ZZZ~ZZZ~ZZZ~ZZZ~ZZZ~ZZZ~\nZZZ~Z…  0
   9  LegoZendo     Q2                                        QQQ~QQQ~QQQ~QQQ~QQQ~QQQ~QQQ~QQQ~\nQQQ~Q…  0
  10  LegoZendo     T4                                        TTT~TTT~TTT~TTT~~~~~~~~~~~~~~~~~\nTTT~T…  0
  11  LegoZendo     D8                                        DDD~DDD~DDD~DDD~DDD~DDD~DDD~DDD~\nDDD~D…  0
  12  LegoZendo     O8                                        OOO~OOO~OOO~OOO~OOO~OOO~OOO~OOO~\nOOO~O…  0
  13  LegoZendo     R3                                        RRR~RRR~RRR~RRR~RRR~RRR~RRR~RRR~\nRRR~R…  0
  14  LegoZendo     P8                                        PPP~PPP~PPP~PPP~PPP~PPP~PPP~PPP~\nPPP~P…  0
  15  LegoZendo     F10                                       FFF~FFF~FFF~FFF~FFF~FFF~FFF~FFF~\nFFF~F…  0
  16  LegoZendo     D7                                        DDD~DDD~DDD~DDD~DDD~DDD~DDD~QQQ~\nDDD~D…  0
  17  LegoZendo     W3                                        WWW~WWW~WWW~WWW~WWW~WWW~WWW~WWW~\nWWW~W…  0
