Centaur Zendo round 3 (training)
round_id : 241cbf1c09c94bc7a39192875c04a0d1
written  : 2026-09-04 13:44:50Z
presented=491  answered=491  correct=0  skipped=0
client answer latency: mean 0.098 ms  median 0.092 ms  max 1.138 ms  (n=491)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  LegoZendo     T5                                        AAA~~~~BBBB~~~CCCCCC~DDDDDD~EEE~~~~FFFF…  0
   1  LegoZendo     H9                                        AAA~~~~BBBB~~~CCCCCC~DDDDDD~EEE~~~~FFFF…  0
   2  LegoZendo     Q2                                        AAA~~~~BBBB~~~CCCCCC~DDDDDD~EEE~~~~FFFF…  0
   3  LegoZendo     V2                                        AAA~~~~BBBB~~~CCCCCC~DDDDDD~EEE~~~~FFFF…  0
   4  LegoZendo     V7                                        AAA~~~~BBBB~~~CCCCCC~DDDDDD~EEE~~~~FFFF…  0
   5  LegoZendo     N12                                       AAA~~~~BBBB~~~CCCCCC~DDDDDD~EEE~~~~FFFF…  0
   6  LegoZendo     H10                                       AAA~~~~BBBB~~~CCCCCC~DDDDDD~EEE~~~~FFFF…  0
   7  LegoZendo     Y3                                        AAA~~~~BBBB~~~CCCCCC~DDDDDD~EEE~~~~FFFF…  0
   8  LegoZendo     F12                                       AAA~~~~BBBB~~~CCCCCC~DDDDDD~EEE~~~~FFFF…  0
   9  LegoZendo     R12                                       AAA~~~~BBBB~~~CCCCCC~DDDDDD~EEE~~~~FFFF…  0
  10  LegoZendo     D10                                       AAA~~~~BBBB~~~CCCCCC~DDDDDD~EEE~~~~FFFF…  0
  11  LegoZendo     V3                                        AAA~~~~BBBB~~~CCCCCC~DDDDDD~EEE~~~~FFFF…  0
  12  LegoZendo     M7                                        AAA~~~~BBBB~~~CCCCCC~DDDDDD~EEE~~~~FFFF…  0
  13  LegoZendo     J3                                        AAA~~~~BBBB~~~CCCCCC~DDDDDD~EEE~~~~FFFF…  0
  14  LegoZendo     R11                                       AAA~~~~BBBB~~~CCCCCC~DDDDDD~EEE~~~~FFFF…  0
  15  LegoZendo     O2                                        AAA~~~~BBBB~~~CCCCCC~DDDDDD~EEE~~~~FFFF…  0
  16  LegoZendo     E0                                        AAA~~~~BBBB~~~CCCCCC~DDDDDD~EEE~~~~FFFF…  0
  17  LegoZendo     K3                                        AAA~~~~BBBB~~~CCCCCC~DDDDDD~EEE~~~~FFFF…  0
  18  LegoZendo     F11                                       AAA~~~~BBBB~~~CCCCCC~DDDDDD~EEE~~~~FFFF…  0
