Centaur Zendo round 4 (training)
round_id : 4d1e2abd98aa4b5fbccca8ef8a83bfbe
written  : 2026-09-04 13:51:55Z
presented=408  answered=408  correct=32  skipped=0
client answer latency: mean 0.126 ms  median 0.120 ms  max 1.163 ms  (n=408)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  LegoZendo     P0                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nPPP~P…  1
   1  LegoZendo     T9                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n~TTT~…  0
   2  LegoZendo     R8                                        RRR~RRR~RRR~RRR~RRR~RRR~RRR~RRR~\nRRR~R…  0
   3  LegoZendo     I0                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nIII~I…  1
   4  LegoZendo     O2                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nOOO~O…  0
   5  LegoZendo     W8                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n~WWW~…  0
   6  LegoZendo     J4                                        JJJ~JJJ~JJJ~JJJ~JJJ~JJJ~JJJ~JJJ~\nJJJ~J…  0
   7  LegoZendo     Q9                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nQQQ~Q…  0
   8  LegoZendo     H9                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nHHH~H…  0
   9  LegoZendo     P4                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n~PPP~…  0
  10  LegoZendo     N10                                       ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nNNN~N…  0
  11  LegoZendo     E3                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nEE~~E…  0
  12  LegoZendo     L8                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nLLL~L…  0
  13  LegoZendo     N0                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nNNN~~…  1
  14  LegoZendo     N1                                        NNN~NNN~NNN~NNN~NNN~NNN~NNN~NNN~\nNNN~N…  0
  15  LegoZendo     V5                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nVV~~V…  0
  16  LegoZendo     E9                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nEEE~E…  0
  17  LegoZendo     W8                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n~WWW~…  0
  18  LegoZendo     O12                                       ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nOOO~O…  0
  19  LegoZendo     U8                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nUU~~U…  0
  20  LegoZendo     L8                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nLLL~L…  0
  21  LegoZendo     G12                                       ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n~GGG~…  0
  22  LegoZendo     Z11                                       ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nZZZ~Z…  0
  23  LegoZendo     C10                                       ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nCCC~C…  0
  24  LegoZendo     U11                                       ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nUUU~U…  0
  25  LegoZendo     B11                                       ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n~BBB~…  0
  26  LegoZendo     K12                                       ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nKKK~K…  0
  27  LegoZendo     D5                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nDD~~D…  0
  28  LegoZendo     L12                                       ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nLLL~L…  0
  29  LegoZendo     J1                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n~JJJ~…  0
  30  LegoZendo     V12                                       ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nVVV~V…  0
  31  LegoZendo     F2                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nFF~~F…  0
  32  LegoZendo     U5                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nUUU~U…  0
  33  LegoZendo     A7                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n~AAA~…  0
  34  LegoZendo     B7                                        BBB~BBB~BBB~BBB~BBB~BBB~BBB~BBB~\nBBB~B…  0
  35  LegoZendo     X9                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nXXX~X…  0
  36  LegoZendo     P8                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nPPP~P…  0
  37  LegoZendo     K7                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n~KKK~…  0
  38  LegoZendo     R3                                        RRR~RRR~RRR~RRR~RRR~RRR~RRR~RRR~\nRRR~R…  0
  39  LegoZendo     J4                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nJJ~~J…  0
  40  LegoZendo     D9                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nDDD~D…  0
  41  LegoZendo     A9                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n~AAA~…  0
  42  LegoZendo     G6                                        GGG~GGG~GGG~GGG~GGG~GGG~GGG~GGG~\nGGG~G…  0
  43  LegoZendo     A9                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nAAA~A…  0
  44  LegoZendo     Q7                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nQQQ~Q…  0
  45  LegoZendo     O8                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n~OOO~…  0
  46  LegoZendo     C4                                        CCC~CCC~CCC~CCC~CCC~CCC~CCC~CCC~\nCCC~C…  0
  47  LegoZendo     X10                                       ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nXXX~X…  0
  48  LegoZendo     E0                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nEEE~E…  1
  49  LegoZendo     F7                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n~FFF~…  0
  50  LegoZendo     Z8                                        ZZZ~ZZZ~ZZZ~ZZZ~ZZZ~ZZZ~ZZZ~ZZZ~\nZZZ~Z…  0
  51  LegoZendo     V4                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nVV~~V…  0
  52  LegoZendo     B11                                       ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nBBB~B…  0
  53  LegoZendo     M8                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n~MMM~…  0
  54  LegoZendo     M8                                        MMM~MMM~MMM~MMM~MMM~MMM~MMM~MMM~\nMMM~M…  0
  55  LegoZendo     A12                                       ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nAAA~A…  0
  56  LegoZendo     M5                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nMMM~M…  0
  57  LegoZendo     B7                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n~BBB~…  0
  58  LegoZendo     E6                                        EEE~EEE~EEE~EEE~EEE~EEE~EEE~EEE~\nEEE~E…  0
  59  LegoZendo     X10                                       ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nXXX~X…  0
  60  LegoZendo     K1                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nKKK~K…  0
  61  LegoZendo     M3                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n~MMM~…  0
  62  LegoZendo     S8                                        SSS~SSS~SSS~SSS~SSS~SSS~SSS~SSS~\nSSS~S…  0
  63  LegoZendo     D7                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nDD~~D…  0
  64  LegoZendo     F4                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nFFF~F…  0
  65  LegoZendo     X7                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n~XXX~…  0
  66  LegoZendo     V9                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nVVV~V…  0
  67  LegoZendo     R8                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nRR~~R…  0
  68  LegoZendo     T6                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nTTT~T…  0
  69  LegoZendo     A5                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n~AAA~…  0
  70  LegoZendo     I1                                        III~III~III~III~III~III~III~III~\nIII~I…  0
