Centaur Zendo round 6 (training)
round_id : 1f6ef1848ee149c199b75fd8de89e2d7
written  : 2026-09-04 14:02:43Z
presented=353  answered=353  correct=233  skipped=0
client answer latency: mean 0.225 ms  median 0.218 ms  max 1.192 ms  (n=353)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  LegoZendo     P1                                        ~~~BB~~~CCC~~~~DDDFFF~~~~~~~~~~~\nPPPBB…  0
   1  LegoZendo     K1                                        ~~~BB~~~CCC~~~~DDDFFF~~~~~~KK~~~\nKKKBB…  1
   2  LegoZendo     O1                                        ~~~BB~~~CCC~~~~DDDFFF~~~~~~OO~~~\nOOOBB…  1
   3  LegoZendo     Z3                                        ........................ZZZ...\n.ZZZ.BB…  1
   4  LegoZendo     A0                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nAAA~A…  1
   5  LegoZendo     C2                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~CC~~~\nCCC~~…  1
   6  LegoZendo     C0                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nCCC~C…  1
   7  LegoZendo     J0                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nJJJ~J…  1
   8  LegoZendo     V6                                        .......................VVV.............…  1
   9  LegoZendo     C7                                        *****BBB**CC*******CCDDFF*CC****FFF***C…  0
  10  LegoZendo     L8                                        *****BBB**LL*******LLCCDD*LL****DDD***L…  0
  11  LegoZendo     V1                                        ~~~BB~~~CCC~~~~DDDFFF~~~~~~VV~~~\nVVVBB…  0
  12  LegoZendo     A5                                        ~~~BB~~~CCC~~~~DDDFFF~~~~~~AA~~~~~~~~~~…  1
  13  LegoZendo     R4                                        ~~~BB~~~CCC~~~~DDDFFF~~~~~~RR~~~\nRRRBB…  1
  14  LegoZendo     K11                                       BB-------------------CC---------DD-----…  1
  15  LegoZendo     K0                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nKKK~K…  1
  16  LegoZendo     X8                                        *****BBB**XX*******XXCCDD*XX****DDD***X…  0
  17  LegoZendo     N6                                        .......................NNN.............…  1
  18  LegoZendo     M2                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~MM~~~\nMMM~~…  1
  19  LegoZendo     Y1                                        ~~~BB~~~CCC~~~~DDDFFF~~~~~~YY~~~\nYYYBB…  1
  20  LegoZendo     K9                                        *****BBB**KK*******KKCCDD*KK****DDD****…  0
  21  LegoZendo     S8                                        *****BBB**SS*******SSCCDD*SS****DDD***S…  0
  22  LegoZendo     T2                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~TT~~~\nTTT~~…  1
  23  LegoZendo     S6                                        .......................SSS.............…  1
  24  LegoZendo     E11                                       BB-------------------CC---------DD-----…  1
  25  LegoZendo     L8                                        *****BBB**LL*******LLCCDD*LL****DDD***L…  0
  26  LegoZendo     U0                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nUUU~U…  1
  27  LegoZendo     I10                                       **********II*******II*****II**********I…  1
  28  LegoZendo     I3                                        ........................III...\n.III...…  1
  29  LegoZendo     H8                                        *****BBB**HH*******HHCCDD*HH****DDD***H…  0
  30  LegoZendo     M7                                        *****BBB***********MMCCDD*MM****DDD***M…  0
  31  LegoZendo     B4                                        ~~~CC~~~DDD~~~~FFFHHH~~~~~~BB~~~\nBBBCC…  1
  32  LegoZendo     R10                                       *****BBB**RR*******RRCCDD*RR****DDD***R…  1
  33  LegoZendo     W5                                        ~~~BB~~~CCC~~~~DDDFFF~~~~~~WW~~~~~~~~~~…  1
  34  LegoZendo     Q6                                        ........................QQQ...\n.QQQ.BB…  1
  35  LegoZendo     X5                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~XX~~~~~~~~~~…  1
  36  LegoZendo     E0                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nEEE~E…  1
  37  LegoZendo     G0                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nGGG~G…  1
  38  LegoZendo     V11                                       BB-------------------CC---------DD-----…  0
  39  LegoZendo     J6                                        ........................JJJ............…  1
  40  LegoZendo     Y3                                        ........................YYY...\n.YYY...…  1
  41  LegoZendo     T2                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~TT~~~\nTTT~~…  1
  42  LegoZendo     H6                                        ........................HHH............…  1
  43  LegoZendo     W8                                        *****BBB***********WWCCDD*WW****DDD***W…  0
  44  LegoZendo     M12                                       BB-------------------CC---------DD-----…  1
  45  LegoZendo     X9                                        *****BBB**XX*******XXCCDD*******DDD***X…  0
  46  LegoZendo     K10                                       *****BBB**KK*******KKCCDD*KK****DDD***K…  1
  47  LegoZendo     Z5                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~ZZ~~~~~~~~~~…  1
  48  LegoZendo     E0                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nEEE~E…  1
  49  LegoZendo     T1                                        ~~~BB~~~CCC~~~~DDDFFF~~~~~~TT~~~\nTTTBB…  1
  50  LegoZendo     A6                                        .......................AAA.............…  1
  51  LegoZendo     P11                                       BB-------------------CC---------DD-----…  1
  52  LegoZendo     V12                                       BB-------------------CC---------DD-----…  1
  53  LegoZendo     K12                                       BB-------------------CC---------DD-----…  1
