Centaur Zendo round final (final)
round_id : 9c734310e1ac42a0849ab54cb709927e
written  : 2026-09-04 14:07:39Z
presented=1972  answered=1972  correct=1972  skipped=0
client answer latency: mean 0.137 ms  median 0.132 ms  max 1.778 ms  (n=1972)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  LegoZendo     Q4                                        ~~~BB~~~CCC~~~~DDDFFF~~~~~~QQ~~~~~~~~ZZ…  1
   1  LegoZendo     H10                                       *****BBB**HH*******HHCCDD*HH****DDD***H…  1
   2  LegoZendo     P1                                        ~~~BB~~~CCC~~~~DDDFFF~~~~~~PP~~~\nPPPBB…  1
   3  LegoZendo     L2                                        ~~~BB~~~CCC~~~~DDDFFF~~~~~~LL~~~\nLLLBB…  1
   4  LegoZendo     H3                                        ........................HHH...\n.HHH.BB…  1
   5  LegoZendo     Y7                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nYYY~~…  1
   6  LegoZendo     Z5                                        ~~~BB~~~CCC~~~~DDDFFF~~~~~~ZZ~~~~~~~~~~…  1
   7  LegoZendo     S5                                        ~~~BB~~~CCC~~~~DDDFFF~~~~~~SS~~~~~~~~~~…  1
   8  LegoZendo     N6                                        ........................NNN...\n.NNN.BB…  1
   9  LegoZendo     W12                                       BB-------------------CC---------DD-----…  1
  10  LegoZendo     I7                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nIII~~…  1
  11  LegoZendo     K11                                       BB-------------------CC---------DD-----…  1
  12  LegoZendo     I12                                       BB-------------------CC---------DD-----…  1
  13  LegoZendo     J12                                       BB-------------------CC---------DD-----…  1
  14  LegoZendo     H11                                       BB-------------------CC---------DD-----…  1
  15  LegoZendo     L5                                        ~~~BB~~~CCC~~~~DDDFFF~~~~~~LL~~~~~~~~~~…  1
  16  LegoZendo     O5                                        ~~~BB~~~CCC~~~~DDDFFF~~~~~~OO~~~~~~~~~~…  1
  17  LegoZendo     J10                                       *****BBB**JJ*******JJCCDD*JJ****DDD***J…  1
  18  LegoZendo     T5                                        ~~~BB~~~CCC~~~~DDDFFF~~~~~~TT~~~~~~~~~~…  1
  19  LegoZendo     L1                                        ~~~BB~~~CCC~~~~DDDFFF~~~~~~LL~~~\nLLLBB…  1
  20  LegoZendo     B0                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nBBB~B…  1
  21  LegoZendo     O10                                       *****BBB**OO*******OOCCDD*OO****DDD***O…  1
  22  LegoZendo     Q4                                        ~~~BB~~~CCC~~~~DDDFFF~~~~~~QQ~~~~~~~~ZZ…  1
  23  LegoZendo     R6                                        ........................RRR...\n.RRR.BB…  1
  24  LegoZendo     S10                                       *****BBB**SS*******SSCCDD*SS****DDD***S…  1
  25  LegoZendo     I4                                        ~~~BB~~~CCC~~~~DDDFFF~~~~~~II~~~~~~~~ZZ…  1
  26  LegoZendo     S9                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\nSSS~~…  1
  27  LegoZendo     Y5                                        ~~~BB~~~CCC~~~~DDDFFF~~~~~~YY~~~~~~~~~~…  1
  28  LegoZendo     D10                                       *****BBB**DD*******DDCCFF*DD****FFF***D…  1
