Centaur Zendo round 1 (training)
round_id : 22931db68fb84e69ad68a5aa90346901
written  : 2026-09-04 13:29:40Z
presented=294  answered=294  correct=23  skipped=0
client answer latency: mean 0.102 ms  median 0.097 ms  max 0.197 ms  (n=294)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  LegoZendo     J10                                       ::::::::::::::::::::::::::::::::::::RRR…  0
   1  LegoZendo     D4                                        ::::::::::::::::::::::::::::::::::::RRR…  0
   2  LegoZendo     O1                                        ::::::::::::::::::::::::::::::::::::RRR…  0
   3  LegoZendo     P12                                       ::::::::::::::::::::::::::::::::::::RRR…  0
   4  LegoZendo     B12                                       ::::::::::::::::::::::::::::::::::::RRR…  0
   5  LegoZendo     G2                                        ::::::::::::::::::::::::::::::::::::RRR…  0
   6  LegoZendo     J10                                       ::::::::::::::::::::::::::::::::::::RRR…  0
   7  LegoZendo     D6                                        ::::::::::::::::::::::::::::::::::::RRR…  0
   8  LegoZendo     B4                                        ::::::::::::::::::::::::::::::::::::RRR…  0
   9  LegoZendo     Y10                                       ::::::::::::::::::::::::::::::::::::RRR…  0
  10  LegoZendo     T5                                        ::::::::::::::::::::::::::::::::::::RRR…  0
  11  LegoZendo     H1                                        ::::::::::::::::::::::::::::::::::::RRR…  0
  12  LegoZendo     E3                                        ::::::::::::::::::::::::::::::::::::RRR…  0
  13  LegoZendo     R6                                        ::::::::::::::::::::::::::::::::::::RRR…  0
  14  LegoZendo     K9                                        ::::::::::::::::::::::::::::::::::::RRR…  0
  15  LegoZendo     U0                                        ::::::::::::::::::::::::::::::::::::RRR…  1
  16  LegoZendo     S10                                       ::::::::::::::::::::::::::::::::::::RRR…  0
  17  LegoZendo     D12                                       ::::::::::::::::::::::::::::::::::::RRR…  0
  18  LegoZendo     X10                                       ::::::::::::::::::::::::::::::::::::RRR…  0
  19  LegoZendo     B6                                        ::::::::::::::::::::::::::::::::::::RRR…  0
  20  LegoZendo     T12                                       ::::::::::::::::::::::::::::::::::::RRR…  0
  21  LegoZendo     B5                                        ::::::::::::::::::::::::::::::::::::RRR…  0
  22  LegoZendo     S0                                        ::::::::::::::::::::::::::::::::::::RRR…  1
  23  LegoZendo     O10                                       ::::::::::::::::::::::::::::::::::::RRR…  0
  24  LegoZendo     J12                                       ::::::::::::::::::::::::::::::::::::RRR…  0
  25  LegoZendo     P9                                        ::::::::::::::::::::::::::::::::::::RRR…  0
  26  LegoZendo     S6                                        ::::::::::::::::::::::::::::::::::::RRR…  0
  27  LegoZendo     R1                                        ::::::::::::::::::::::::::::::::::::RRR…  0
  28  LegoZendo     Q5                                        ::::::::::::::::::::::::::::::::::::RRR…  0
  29  LegoZendo     J3                                        ::::::::::::::::::::::::::::::::::::RRR…  0
  30  LegoZendo     Q4                                        ::::::::::::::::::::::::::::::::::::RRR…  0
  31  LegoZendo     S2                                        ::::::::::::::::::::::::::::::::::::RRR…  0
  32  LegoZendo     K3                                        ::::::::::::::::::::::::::::::::::::RRR…  0
  33  LegoZendo     J11                                       ::::::::::::::::::::::::::::::::::::RRR…  0
  34  LegoZendo     U1                                        ::::::::::::::::::::::::::::::::::::RRR…  0
  35  LegoZendo     R12                                       ::::::::::::::::::::::::::::::::::::RRR…  0
  36  LegoZendo     O9                                        ::::::::::::::::::::::::::::::::::::RRR…  0
  37  LegoZendo     W5                                        ::::::::::::::::::::::::::::::::::::RRR…  0
  38  LegoZendo     K0                                        ::::::::::::::::::::::::::::::::::::RRR…  1
  39  LegoZendo     I8                                        ::::::::::::::::::::::::::::::::::::RRR…  0
  40  LegoZendo     U7                                        ::::::::::::::::::::::::::::::::::::RRR…  0
  41  LegoZendo     Q4                                        ::::::::::::::::::::::::::::::::::::RRR…  0
  42  LegoZendo     V0                                        ::::::::::::::::::::::::::::::::::::RRR…  1
  43  LegoZendo     K10                                       ::::::::::::::::::::::::::::::::::::RRR…  0
  44  LegoZendo     K9                                        ::::::::::::::::::::::::::::::::::::RRR…  0
  45  LegoZendo     T6                                        ::::::::::::::::::::::::::::::::::::RRR…  0
  46  LegoZendo     G12                                       ::::::::::::::::::::::::::::::::::::RRR…  0
  47  LegoZendo     L6                                        ::::::::::::::::::::::::::::::::::::RRR…  0
  48  LegoZendo     C10                                       ::::::::::::::::::::::::::::::::::::RRR…  0
  49  LegoZendo     C7                                        ::::::::::::::::::::::::::::::::::::RRR…  0
  50  LegoZendo     U2                                        ::::::::::::::::::::::::::::::::::::RRR…  0
  51  LegoZendo     K1                                        ::::::::::::::::::::::::::::::::::::RRR…  0
  52  LegoZendo     P7                                        ::::::::::::::::::::::::::::::::::::RRR…  0
