Centaur Zendo round 2 (training)
round_id : cd13927d67644fe5aa481709bfd60b58
written  : 2026-09-04 13:42:17Z
presented=490  answered=490  correct=41  skipped=0
client answer latency: mean 0.094 ms  median 0.088 ms  max 1.254 ms  (n=490)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  LegoZendo     R5                                        :::::::::::::::::::::::::::::::::::::::…  0
   1  LegoZendo     N1                                        :::::::::::::::::::::::::::::::::::::::…  0
   2  LegoZendo     I4                                        III:::III:::III:::III:::III:::III:III::…  0
   3  LegoZendo     Q0                                        :::::::::::::::::::::::::::::::::::::::…  1
   4  LegoZendo     J6                                        JJJ:::JJJ:::JJJ:::JJJ:::JJJ:::JJJ:JJJ::…  0
   5  LegoZendo     X12                                       :::::::::::::::::::::::::::::::::::::::…  0
   6  LegoZendo     B0                                        :::::::::::::::::::::::::::::::::::::::…  1
   7  LegoZendo     D5                                        DDD:::DDD::::::::::::::::::::::::::::::…  0
   8  LegoZendo     Q11                                       :::::::::::::::::::::::::::::::::::::::…  0
   9  LegoZendo     T6                                        :::::::::::::::::::::::::::::::::::::::…  0
  10  LegoZendo     G9                                        GGG:::GGG:::GGG:::GGG:::GGG::::::::::::…  0
  11  LegoZendo     Z7                                        :::::::::::::::::::::::::::::::::::::::…  0
  12  LegoZendo     J11                                       JJJ:::JJJ:::JJJ:::JJJ:::JJJ:::JJJ:JJJ::…  0
  13  LegoZendo     F7                                        FFF:::FFF:::FFF:::FFF::::::::::::::::::…  0
  14  LegoZendo     E9                                        EEE:::EEE:::EEE::::::::::::::::::::::::…  0
  15  LegoZendo     F5                                        FFF:::FFF:::FFF:::FFF::::::::::::::::::…  0
  16  LegoZendo     F3                                        FFF:::FFF:::FFF:::FFF::::::::::::::::::…  0
  17  LegoZendo     D4                                        DDD:::DDD::::::::::::::::::::::::::::::…  0
  18  LegoZendo     J1                                        JJJ:::JJJ:::JJJ:::JJJ:::JJJ:::JJJ:JJJ::…  0
  19  LegoZendo     Y9                                        :::::::::::::::::::::::::::::::::::::::…  0
  20  LegoZendo     Z2                                        :::::::::::::::::::::::::::::::::::::::…  0
  21  LegoZendo     S6                                        :::::::::::::::::::::::::::::::::::::::…  0
  22  LegoZendo     G0                                        GGG:::GGG:::GGG:::GGG:::GGG::::::::::::…  1
  23  LegoZendo     O2                                        :::::::::::::::::::::::::::::::::::::::…  0
  24  LegoZendo     Z9                                        :::::::::::::::::::::::::::::::::::::::…  0
  25  LegoZendo     B6                                        :::::::::::::::::::::::::::::::::::::::…  0
  26  LegoZendo     Q1                                        :::::::::::::::::::::::::::::::::::::::…  0
  27  LegoZendo     V10                                       :::::::::::::::::::::::::::::::::::::::…  0
  28  LegoZendo     R4                                        :::::::::::::::::::::::::::::::::::::::…  0
  29  LegoZendo     D10                                       DDD:::DDD::::::::::::::::::::::::::::::…  0
  30  LegoZendo     R2                                        :::::::::::::::::::::::::::::::::::::::…  0
  31  LegoZendo     X8                                        :::::::::::::::::::::::::::::::::::::::…  0
  32  LegoZendo     V10                                       :::::::::::::::::::::::::::::::::::::::…  0
  33  LegoZendo     O10                                       :::::::::::::::::::::::::::::::::::::::…  0
  34  LegoZendo     H3                                        HHH:::HHH:::HHH:::HHH:::HHH:::HHH::::::…  0
  35  LegoZendo     G3                                        GGG:::GGG:::GGG:::GGG:::GGG::::::::::::…  0
  36  LegoZendo     Q10                                       :::::::::::::::::::::::::::::::::::::::…  0
  37  LegoZendo     A8                                        ZZZ::::::::::::::::::::::::::::::::::::…  0
  38  LegoZendo     N7                                        :::::::::::::::::::::::::::::::::::::::…  0
  39  LegoZendo     K4                                        :::::::::::::::::::::::::::::::::::::::…  0
  40  LegoZendo     S11                                       :::::::::::::::::::::::::::::::::::::::…  0
  41  LegoZendo     Y7                                        :::::::::::::::::::::::::::::::::::::::…  0
  42  LegoZendo     Q3                                        :::::::::::::::::::::::::::::::::::::::…  0
  43  LegoZendo     K12                                       :::::::::::::::::::::::::::::::::::::::…  0
  44  LegoZendo     Y0                                        :::::::::::::::::::::::::::::::::::::::…  1
  45  LegoZendo     M12                                       :::::::::::::::::::::::::::::::::::::::…  0
  46  LegoZendo     B12                                       :::::::::::::::::::::::::::::::::::::::…  0
  47  LegoZendo     B4                                        :::::::::::::::::::::::::::::::::::::::…  0
  48  LegoZendo     J12                                       JJJ:::JJJ:::JJJ:::JJJ:::JJJ:::JJJ:JJJ::…  0
  49  LegoZendo     N12                                       :::::::::::::::::::::::::::::::::::::::…  0
  50  LegoZendo     Y6                                        :::::::::::::::::::::::::::::::::::::::…  0
  51  LegoZendo     T8                                        :::::::::::::::::::::::::::::::::::::::…  0
  52  LegoZendo     X8                                        :::::::::::::::::::::::::::::::::::::::…  0
  53  LegoZendo     E1                                        EEE:::EEE:::EEE::::::::::::::::::::::::…  0
  54  LegoZendo     I9                                        III:::III:::III:::III:::III:::III:III::…  0
  55  LegoZendo     I4                                        III:::III:::III:::III:::III:::III:III::…  0
  56  LegoZendo     F2                                        FFF:::FFF:::FFF:::FFF::::::::::::::::::…  0
