Centaur Zendo round 3 (training)
round_id : 18ebf5399729453682dffe158f8351d2
written  : 2026-09-04 13:45:25Z
presented=437  answered=437  correct=437  skipped=0
client answer latency: mean 0.111 ms  median 0.104 ms  max 1.020 ms  (n=437)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  LegoZendo     Y0                                        YYY::::::::::::::::::::::::::::::::::::…  1
   1  LegoZendo     L3                                        LLL::::LLL::::LLL::::::::::::::::::::::…  1
   2  LegoZendo     B6                                        BBB::::BBB::::BBB::::BBB::::BBB::::BBB:…  1
   3  LegoZendo     C3                                        CCC::::CCC::::CCC::::::::::::::::::::::…  1
   4  LegoZendo     E12                                       EEE::::EEE::::EEE::::EEE::::EEE::::EEE:…  1
   5  LegoZendo     H5                                        HHH::::HHH::::HHH::::HHH::::HHH::::::::…  1
   6  LegoZendo     K12                                       KKK::::KKK::::KKK::::KKK::::KKK::::KKK:…  1
   7  LegoZendo     N2                                        NNN::::NNN:::::::::::::::::::::::::::::…  1
   8  LegoZendo     L6                                        LLL::::LLL::::LLL::::LLL::::LLL::::LLL:…  1
   9  LegoZendo     D1                                        DDD::::::::::::::::::::::::::::::::::::…  1
  10  LegoZendo     Q1                                        QQQ::::::::::::::::::::::::::::::::::::…  1
  11  LegoZendo     U3                                        UUU::::UUU::::UUU::::::::::::::::::::::…  1
  12  LegoZendo     G4                                        GGG::::GGG::::GGG::::GGG:::::::::::::::…  1
  13  LegoZendo     V0                                        VVV::::::::::::::::::::::::::::::::::::…  1
  14  LegoZendo     Q2                                        QQQ::::QQQ:::::::::::::::::::::::::::::…  1
  15  LegoZendo     U1                                        UUU::::::::::::::::::::::::::::::::::::…  1
  16  LegoZendo     Z4                                        ZZZ::::ZZZ::::ZZZ::::ZZZ:::::::::::::::…  1
  17  LegoZendo     A8                                        AAA::::AAA::::AAA::::AAA::::AAA::::AAA:…  1
  18  LegoZendo     D12                                       DDD::::DDD::::DDD::::DDD::::DDD::::DDD:…  1
  19  LegoZendo     C7                                        CCC::::CCC::::CCC::::CCC::::CCC::::CCC:…  1
  20  LegoZendo     B6                                        BBB::::BBB::::BBB::::BBB::::BBB::::BBB:…  1
  21  LegoZendo     Q8                                        QQQ::::QQQ::::QQQ::::QQQ::::QQQ::::QQQ:…  1
  22  LegoZendo     R4                                        RRR::::RRR::::RRR::::RRR:::::::::::::::…  1
  23  LegoZendo     S5                                        SSS::::SSS::::SSS::::SSS::::SSS::::::::…  1
  24  LegoZendo     L8                                        LLL::::LLL::::LLL::::LLL::::LLL::::LLL:…  1
