Centaur Zendo round 4 (training)
round_id : f9872971c4834f5680775115303c57af
written  : 2026-09-04 13:47:29Z
presented=415  answered=415  correct=415  skipped=0
client answer latency: mean 0.103 ms  median 0.096 ms  max 1.140 ms  (n=416)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  LegoZendo     E2                                        EEE:::AAA\nEEE:::AAA\n::EEE::::\n::EEE:…  1
   1  LegoZendo     N10                                       NNN:::NNN:::NNN:::NNN:::NNN:::AAA\nNNN:…  1
   2  LegoZendo     Y6                                        YYY:::YYY:::YYY:::AAA\nYYY:::YYY:::YYY:…  1
   3  LegoZendo     O11                                       OOO:::OOO:::OOO:::OOO:::OOO:::OOO:::AAA…  1
   4  LegoZendo     R0                                        RRR:AAA\nRRR:AAA\n:::::::\n:::::::\n:::…  1
   5  LegoZendo     Y4                                        YYY:::YYY:::AAA\nYYY:::YYY:::AAA\n::YYY…  1
   6  LegoZendo     O0                                        OOO:AAA\nOOO:AAA\n:::::::\n:::::::\n:::…  1
   7  LegoZendo     X7                                        XXX:::XXX:::XXX:::XXX:::AAA\nXXX:::XXX:…  1
   8  LegoZendo     Q2                                        QQQ:::AAA\nQQQ:::AAA\n::QQQ::::\n::QQQ:…  1
   9  LegoZendo     C6                                        CCC:::CCC:::CCC:::AAA\nCCC:::CCC:::CCC:…  1
  10  LegoZendo     P8                                        PPP:::PPP:::PPP:::PPP:::AAA\nPPP:::PPP:…  1
  11  LegoZendo     J10                                       JJJ:::JJJ:::JJJ:::JJJ:::JJJ:::AAA\nJJJ:…  1
  12  LegoZendo     W5                                        WWW:::WWW:::WWW:::AAA\nWWW:::WWW:::WWW:…  1
  13  LegoZendo     Y3                                        YYY:::YYY:::YYY:::AAA\nYYY:::YYY:::YYY:…  1
  14  LegoZendo     F3                                        FFF:::FFF:::FFF:::AAA\nFFF:::FFF:::FFF:…  1
  15  LegoZendo     V4                                        VVV:::VVV:::AAA\nVVV:::VVV:::AAA\n::VVV…  1
  16  LegoZendo     A9                                        AAA:::AAA:::AAA:::AAA:::AAA:::BBB\nAAA:…  1
  17  LegoZendo     L6                                        LLL:::LLL:::LLL:::AAA\nLLL:::LLL:::LLL:…  1
  18  LegoZendo     I10                                       III:::III:::III:::III:::III:::AAA\nIII:…  1
  19  LegoZendo     Q2                                        QQQ:::AAA\nQQQ:::AAA\n::QQQ::::\n::QQQ:…  1
  20  LegoZendo     C7                                        CCC:::CCC:::CCC:::CCC:::AAA\nCCC:::CCC:…  1
  21  LegoZendo     H5                                        HHH:::HHH:::HHH:::AAA\nHHH:::HHH:::HHH:…  1
  22  LegoZendo     I9                                        III:::III:::III:::III:::III:::AAA\nIII:…  1
  23  LegoZendo     F7                                        FFF:::FFF:::FFF:::FFF:::AAA\nFFF:::FFF:…  1
  24  LegoZendo     R5                                        RRR:::RRR:::RRR:::AAA\nRRR:::RRR:::RRR:…  1
  25  LegoZendo     L11                                       LLL:::LLL:::LLL:::LLL:::LLL:::LLL:::AAA…  1
  26  LegoZendo     L9                                        LLL:::LLL:::LLL:::LLL:::LLL:::AAA\nLLL:…  1
  27  LegoZendo     X10                                       XXX:::XXX:::XXX:::XXX:::XXX:::AAA\nXXX:…  1
  28  LegoZendo     Y8                                        YYY:::YYY:::YYY:::YYY:::AAA\nYYY:::YYY:…  1
  29  LegoZendo     L9                                        LLL:::LLL:::LLL:::LLL:::LLL:::AAA\nLLL:…  1
  30  LegoZendo     N1                                        NNN:::AAA\nNNN:::AAA\n::NNN::::\n::NNN:…  1
  31  LegoZendo     Q7                                        QQQ:::QQQ:::QQQ:::QQQ:::AAA\nQQQ:::QQQ:…  1
  32  LegoZendo     M12                                       MMM:::MMM:::MMM:::MMM:::MMM:::MMM:::AAA…  1
  33  LegoZendo     F6                                        FFF:::FFF:::FFF:::AAA\nFFF:::FFF:::FFF:…  1
  34  LegoZendo     C12                                       CCC:::CCC:::CCC:::CCC:::CCC:::CCC:::AAA…  1
  35  LegoZendo     F11                                       FFF:::FFF:::FFF:::FFF:::FFF:::FFF:::AAA…  1
