Centaur Zendo round 5 (training)
round_id : 52b9036e2ebb4fcba343a5fc19cdc4e9
written  : 2026-09-04 13:47:58Z
presented=458  answered=458  correct=458  skipped=0
client answer latency: mean 0.100 ms  median 0.094 ms  max 1.031 ms  (n=458)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  LegoZendo     W7                                        WWW:::WWW:::WWW:::WWW:::AAA\nWWW:::WWW:…  1
   1  LegoZendo     T5                                        TTT:::TTT:::TTT:::AAA\nTTT:::TTT:::TTT:…  1
   2  LegoZendo     P6                                        PPP:::PPP:::PPP:::AAA\nPPP:::PPP:::PPP:…  1
   3  LegoZendo     W8                                        WWW:::WWW:::WWW:::WWW:::AAA\nWWW:::WWW:…  1
   4  LegoZendo     H9                                        HHH:::HHH:::HHH:::HHH:::HHH:::AAA\nHHH:…  1
   5  LegoZendo     G9                                        GGG:::GGG:::GGG:::GGG:::GGG:::AAA\nGGG:…  1
   6  LegoZendo     P8                                        PPP:::PPP:::PPP:::PPP:::AAA\nPPP:::PPP:…  1
   7  LegoZendo     J8                                        JJJ:::JJJ:::JJJ:::JJJ:::AAA\nJJJ:::JJJ:…  1
   8  LegoZendo     R1                                        RRR:::AAA\nRRR:::AAA\n::RRR::::\n::RRR:…  1
   9  LegoZendo     C2                                        CCC:::AAA\nCCC:::AAA\n::CCC::::\n::CCC:…  1
  10  LegoZendo     P7                                        PPP:::PPP:::PPP:::PPP:::AAA\nPPP:::PPP:…  1
  11  LegoZendo     T8                                        TTT:::TTT:::TTT:::TTT:::AAA\nTTT:::TTT:…  1
  12  LegoZendo     S12                                       SSS:::SSS:::SSS:::SSS:::SSS:::SSS:::AAA…  1
  13  LegoZendo     C12                                       CCC:::CCC:::CCC:::CCC:::CCC:::CCC:::AAA…  1
  14  LegoZendo     S4                                        SSS:::SSS:::AAA\nSSS:::SSS:::AAA\n::SSS…  1
  15  LegoZendo     G9                                        GGG:::GGG:::GGG:::GGG:::GGG:::AAA\nGGG:…  1
  16  LegoZendo     C2                                        CCC:::AAA\nCCC:::AAA\n::CCC::::\n::CCC:…  1
  17  LegoZendo     A12                                       AAA:::AAA:::AAA:::AAA:::AAA:::AAA:::BBB…  1
  18  LegoZendo     A9                                        AAA:::AAA:::AAA:::AAA:::AAA:::BBB\nAAA:…  1
  19  LegoZendo     N3                                        NNN:::NNN:::NNN:::AAA\nNNN:::NNN:::NNN:…  1
  20  LegoZendo     H0                                        HHH:AAA\nHHH:AAA\n:::::::\n:::::::\n:::…  1
  21  LegoZendo     I6                                        III:::III:::III:::AAA\nIII:::III:::III:…  1
  22  LegoZendo     L0                                        LLL:AAA\nLLL:AAA\n:::::::\n:::::::\n:::…  1
  23  LegoZendo     N3                                        NNN:::NNN:::NNN:::AAA\nNNN:::NNN:::NNN:…  1
