Centaur Zendo round 4 (training)
round_id : 8fa34fb1e9d840fcae5add8e7cb3aba0
written  : 2026-09-04 14:40:09Z
presented=490  answered=490  correct=490  skipped=0
client answer latency: mean 0.101 ms  median 0.080 ms  max 5.887 ms  (n=490)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  Wordz         223                                       you the about                             1
   1  Wordz         163236                                    the something about the about something   1
   2  Wordz         24361                                     you which about something the             1
   3  Wordz         232                                       you that you                              1
   4  Wordz         144434                                    the which because which about which       1
   5  Wordz         2215                                      you the the through                       1
   6  Wordz         344                                       about which because                       1
   7  Wordz         235634                                    you that information something about wh…  1
   8  Wordz         342                                       about which you                           1
   9  Wordz         332                                       about that you                            1
  10  Wordz         3519                                      about through the understanding           1
  11  Wordz         2415                                      you which the through                     1
  12  Wordz         6644                                      international something because which     1
  13  Wordz         23261                                     you that you something the                1
  14  Wordz         162                                       the something you                         1
  15  Wordz         324                                       about the because                         1
  16  Wordz         2644                                      you something because which               1
  17  Wordz         3212                                      about the the the                         1
  18  Wordz         45223                                     because through you the about             1
  19  Wordz         545322                                    information which information that you …  1
  20  Wordz         321                                       about the the                             1
  21  Wordz         242                                       you which you                             1
  22  Wordz         3415                                      about which the through                   1
  23  Wordz         362                                       about something you                       1
  24  Wordz         26133                                     you something the that about              1
  25  Wordz         443                                       because which about                       1
  26  Wordz         442524                                    because which you through you which       1
  27  Wordz         242535                                    you which you through about through       1
  28  Wordz         26262                                     you something you something you           1
  29  Wordz         13422                                     the that because the you                  1
  30  Wordz         222544                                    you the you through because which         1
  31  Wordz         433236                                    because that about the about something    1
  32  Wordz         2543                                      you through because that                  1
  33  Wordz         173                                       the government about                      1
  34  Wordz         22342                                     you the about which you                   1
  35  Wordz         33443                                     about that because which about            1
  36  Wordz         33252                                     about that you through you                1
  37  Wordz         252723                                    you through you government you that       1
  38  Wordz         33154                                     about that the through because            1
  39  Wordz         242424                                    you which you which you which             1
  40  Wordz         3526                                      about through you something               1
  41  Wordz         2423                                      you which you that                        1
  42  Wordz         253                                       you through about                         1
  43  Wordz         131523                                    the that the through you that             1
  44  Wordz         2522                                      you through you the                       1
  45  Wordz         341                                       about which the                           1
  46  Wordz         16232                                     the something you that you                1
  47  Wordz         332                                       about that you                            1
  48  Wordz         34561                                     about which information something the     1
  49  Wordz         152                                       the through you                           1
  50  Wordz         1625                                      the something you through                 1
  51  Wordz         231                                       you that the                              1
  52  Wordz         4214                                      because the the which                     1
  53  Wordz         3243                                      about the because that                    1
  54  Wordz         353                                       about through about                       1
  55  Wordz         452247                                    because through you the because governm…  1
  56  Wordz         1724                                      the government you which                  1
  57  Wordz         423646                                    because the about something because som…  1
  58  Wordz         234                                       you that because                          1
  59  Wordz         243413                                    you which about which the that            1
  60  Wordz         364633                                    about something because something about…  1
  61  Wordz         4325                                      because that you through                  1
  62  Wordz         12232                                     the the you that you                      1
  63  Wordz         2532                                      you through about the                     1
  64  Wordz         26542                                     you something information which you       1
  65  Wordz         451315                                    because through the that the through      1
  66  Wordz         152315                                    the through you that the through          1
  67  Wordz         1223                                      the the you that                          1
  68  Wordz         2356                                      you that information something            1
  69  Wordz         272338                                    you government you that about construct…  1
  70  Wordz         34352                                     about which about through you             1
  71  Wordz         342                                       about which you                           1
  72  Wordz         251523                                    you through the through you that          1
  73  Wordz         131516                                    the that the through the something        1
  74  Wordz         1323                                      the that you that                         1
  75  Wordz         274                                       you government because                    1
  76  Wordz         541316                                    information which the that the something  1
  77  Wordz         3544                                      about through because which               1
  78  Wordz         1315                                      the that the through                      1
  79  Wordz         243133                                    you which about to about that             1
  80  Wordz         54162                                     information which the something you       1
  81  Wordz         243633                                    you which about something about that      1
  82  Wordz         35173                                     about through the government about        1
  83  Wordz         25221                                     you through you the the                   1
  84  Wordz         3533                                      about through about that                  1
  85  Wordz         254523                                    you through because through you that      1
  86  Wordz         313                                       about to about                            1
  87  Wordz         223                                       you the about                             1
  88  Wordz         3338                                      about that about construction             1
  89  Wordz         174324                                    the government because that you which     1
  90  Wordz         1342                                      the that because the                      1
  91  Wordz         245                                       you which information                     1
  92  Wordz         372223                                    about government you the you that         1
  93  Wordz         251                                       you through the                           1
  94  Wordz         323                                       about the about                           1
  95  Wordz         332                                       about that you                            1
  96  Wordz         352322                                    about through you that you the            1
  97  Wordz         3238                                      about the about construction              1
  98  Wordz         24161                                     you which the something the               1
  99  Wordz         355                                       about through information                 1
 100  Wordz         22345                                     you the about which information           1
 101  Wordz         374332                                    about government because that about the   1
 102  Wordz         342432                                    about which you which about the           1
 103  Wordz         434                                       because that because                      1
 104  Wordz         341528                                    about which the through you construction  1
 105  Wordz         552                                       information through you                   1
 106  Wordz         142645                                    the which you something because through   1
 107  Wordz         25133                                     you through the that about                1
 108  Wordz         2336                                      you that about something                  1
 109  Wordz         255                                       you through information                   1
 110  Wordz         1424                                      the which you which                       1
 111  Wordz         33142                                     about that the which you                  1
 112  Wordz         242                                       you which you                             1
 113  Wordz         24364                                     you which about something because         1
 114  Wordz         373                                       about government about                    1
 115  Wordz         2514                                      you through the which                     1
 116  Wordz         2623                                      you something you that                    1
 117  Wordz         261642                                    you something the something because the   1
 118  Wordz         2325                                      you that you through                      1
 119  Wordz         45545                                     because through information which infor…  1
 120  Wordz         2612                                      you something the the                     1
 121  Wordz         1442                                      the which because the                     1
 122  Wordz         5525                                      information through you through           1
 123  Wordz         231                                       you that the                              1
 124  Wordz         22272                                     you the you government you                1
 125  Wordz         252                                       you through you                           1
 126  Wordz         2754                                      you government information which          1
 127  Wordz         3241                                      about the because to                      1
 128  Wordz         2227                                      you the you government                    1
 129  Wordz         2244                                      you the because which                     1
 130  Wordz         4352                                      because that information the              1
 131  Wordz         144423                                    the which because which you that          1
 132  Wordz         2547                                      you through because government            1
 133  Wordz         17232                                     the government you that you               1
 134  Wordz         34132                                     about which the that you                  1
 135  Wordz         433413                                    because that about which the that         1
 136  Wordz         2716                                      you government the something              1
 137  Wordz         362636                                    about something you something about som…  1
 138  Wordz         152                                       the through you                           1
 139  Wordz         65453                                     international through because through a…  1
 140  Wordz         422                                       because the you                           1
 141  Wordz         36343                                     about something about which about         1
 142  Wordz         353545                                    about through about through because thr…  1
 143  Wordz         5534                                      information through about which           1
 144  Wordz         33252                                     about that you through you                1
 145  Wordz         1513                                      the through the that                      1
 146  Wordz         441516                                    because which the through the something   1
 147  Wordz         133                                       the that about                            1
 148  Wordz         3425                                      about which you through                   1
 149  Wordz         2436                                      you which about something                 1
 150  Wordz         1332                                      the that about the                        1
 151  Wordz         43222                                     because that you the you                  1
 152  Wordz         452                                       because through you                       1
 153  Wordz         231635                                    you that the something about through      1
 154  Wordz         462223                                    because something you the you that        1
 155  Wordz         2465                                      you which international through           1
 156  Wordz         461637                                    because something the something about g…  1
 157  Wordz         441                                       because which the                         1
 158  Wordz         43442                                     because that because which you            1
 159  Wordz         43244                                     because that you which because            1
 160  Wordz         331423                                    about that the which you that             1
 161  Wordz         23432                                     you that because that you                 1
 162  Wordz         262555                                    you something you through information t…  1
 163  Wordz         462424                                    because something you which you which     1
 164  Wordz         2544                                      you through because which                 1
 165  Wordz         332                                       about that you                            1
 166  Wordz         532443                                    information that you which because that   1
 167  Wordz         273323                                    you government about that you that        1
 168  Wordz         233444                                    you that about which because which        1
 169  Wordz         151                                       the through the                           1
 170  Wordz         32343                                     about the about which about               1
 171  Wordz         5723                                      information government you that           1
 172  Wordz         163427                                    the something about which you government  1
 173  Wordz         142842                                    the which you construction because the    1
 174  Wordz         25252                                     you through you through you               1
 175  Wordz         332325                                    about that you that you through           1
 176  Wordz         1533                                      the through about that                    1
 177  Wordz         441334                                    because which the that about which        1
 178  Wordz         3626                                      about something you something             1
 179  Wordz         23353                                     you that about through about              1
 180  Wordz         244642                                    you which because something because the   1
 181  Wordz         474416                                    because government because which the so…  1
 182  Wordz         543                                       information which about                   1
 183  Wordz         255                                       you through information                   1
 184  Wordz         13463                                     the that because something about          1
 185  Wordz         36531                                     about something information that the      1
