Centaur Zendo round final (final)
round_id : e19332a3f75743cd92411aaba45d4935
written  : 2026-09-04 14:40:30Z
presented=2761  answered=2761  correct=2761  skipped=0
client answer latency: mean 0.092 ms  median 0.084 ms  max 7.182 ms  (n=2762)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  Wordz         13332                                     the that about that you                   1
   1  Wordz         4558                                      because through information construction  1
   2  Wordz         231652                                    you that the something information the    1
   3  Wordz         35424                                     about through because the because         1
   4  Wordz         2446                                      you which because something               1
   5  Wordz         343335                                    about which about that about through      1
   6  Wordz         35241                                     about through you which the               1
   7  Wordz         53323                                     information that about the about          1
   8  Wordz         352423                                    about through you which you that          1
   9  Wordz         44461                                     because which because something the       1
  10  Wordz         44444                                     because which because which because       1
  11  Wordz         37353                                     about government about through about      1
  12  Wordz         35143                                     about through the which about             1
  13  Wordz         34341                                     about which about which the               1
  14  Wordz         3635                                      about something about through             1
  15  Wordz         25222                                     you through you the you                   1
  16  Wordz         422343                                    because the you that because that         1
  17  Wordz         43352                                     because that about through you            1
  18  Wordz         25334                                     you through about that because            1
  19  Wordz         13372                                     the that about government you             1
  20  Wordz         334                                       about that because                        1
  21  Wordz         254523                                    you through because through you that      1
  22  Wordz         26244                                     you something you which because           1
  23  Wordz         252624                                    you through you something you which       1
  24  Wordz         352                                       about through you                         1
  25  Wordz         26232                                     you something you that you                1
  26  Wordz         245                                       you which information                     1
  27  Wordz         27243                                     you government you which about            1
  28  Wordz         421                                       because the the                           1
  29  Wordz         2644                                      you something because which               1
  30  Wordz         44124                                     because which the the because             1
  31  Wordz         3445                                      about which because through               1
  32  Wordz         3411                                      about which the to                        1
  33  Wordz         3624                                      about something you which                 1
  34  Wordz         262                                       you something you                         1
  35  Wordz         223344                                    you the about that because which          1
  36  Wordz         4714                                      because government the which              1
  37  Wordz         1444                                      the which because which                   1
  38  Wordz         3524                                      about through you which                   1
  39  Wordz         344                                       about which because                       1
  40  Wordz         352                                       about through you                         1
  41  Wordz         351                                       about through the                         1
  42  Wordz         12322                                     the the about the you                     1
  43  Wordz         2624                                      you something you which                   1
  44  Wordz         35443                                     about through because which about         1
  45  Wordz         343725                                    about which about government you through  1
  46  Wordz         4643                                      because something because that            1
  47  Wordz         243425                                    you which about which you through         1
  48  Wordz         262                                       you something you                         1
  49  Wordz         162424                                    the something you which you which         1
  50  Wordz         262                                       you something you                         1
  51  Wordz         33513                                     about that information to about           1
  52  Wordz         2435                                      you which about through                   1
  53  Wordz         542524                                    information which you through you which   1
  54  Wordz         2433                                      you which about that                      1
  55  Wordz         2419                                      you which the understanding               1
  56  Wordz         24323                                     you which about the about                 1
  57  Wordz         243256                                    you which about the information somethi…  1
  58  Wordz         242334                                    you which you that about which            1
  59  Wordz         275315                                    you government information that the thr…  1
  60  Wordz         251                                       you through the                           1
  61  Wordz         253632                                    you through about something about the     1
  62  Wordz         25532                                     you through information that you          1
  63  Wordz         53361                                     information that about something the      1
  64  Wordz         322                                       about the you                             1
  65  Wordz         1614                                      the something the which                   1
  66  Wordz         25262                                     you through you something you             1
  67  Wordz         562                                       information something you                 1
  68  Wordz         452                                       because through you                       1
  69  Wordz         23473                                     you that because government about         1
  70  Wordz         562723                                    information something you government yo…  1
  71  Wordz         172523                                    the government you through you that       1
  72  Wordz         3315                                      about that the through                    1
  73  Wordz         443                                       because which about                       1
  74  Wordz         27333                                     you government about that about           1
  75  Wordz         632                                       international that you                    1
  76  Wordz         133513                                    the that about through the that           1
  77  Wordz         25552                                     you through information through you       1
  78  Wordz         322727                                    about the you government you government   1
  79  Wordz         343                                       about which about                         1
  80  Wordz         151                                       the through the                           1
  81  Wordz         243425                                    you which about which you through         1
  82  Wordz         3443                                      about which because that                  1
  83  Wordz         1413                                      the which the that                        1
  84  Wordz         245317                                    you which information that the governme…  1
  85  Wordz         361316                                    about something the that the something    1
  86  Wordz         342316                                    about which you that the something        1
  87  Wordz         331546                                    about that the through because something  1
  88  Wordz         24281                                     you which you construction the            1
  89  Wordz         314                                       about to because                          1
  90  Wordz         13362                                     the that about something you              1
  91  Wordz         332                                       about that you                            1
  92  Wordz         362222                                    about something you the you the           1
  93  Wordz         354                                       about through because                     1
  94  Wordz         132422                                    the that you which you the                1
  95  Wordz         4525                                      because through you through               1
  96  Wordz         441756                                    because which the government informatio…  1
  97  Wordz         3326                                      about that you something                  1
  98  Wordz         44431                                     because which because that the            1
  99  Wordz         2255                                      you the information through               1
 100  Wordz         33544                                     about that information which because      1
 101  Wordz         36234                                     about something you that because          1
 102  Wordz         27342                                     you government about which you            1
 103  Wordz         333                                       about that about                          1
 104  Wordz         24133                                     you which the that about                  1
 105  Wordz         441                                       because which the                         1
 106  Wordz         242                                       you which you                             1
 107  Wordz         144                                       the which because                         1
 108  Wordz         243                                       you which about                           1
