Centaur Zendo round 1 (training)
round_id : a197665595ef478eb06007bf61e29b5f
written  : 2026-09-04 14:12:27Z
presented=499  answered=458  correct=2  skipped=41
client answer latency: mean 0.107 ms  median 0.082 ms  max 5.916 ms  (n=499)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  Wordz         45124                                     that about a to that                      0
   1  Wordz         65363                                     international information about interna…  0
   2  Wordz         262                                       the something the                         0
   3  Wordz         41224                                     everything the are are everything         0
   4  Wordz         473325                                    with another the the to about             0
   5  Wordz         221                                       two two one                               0
   6  Wordz         24263                                     bdbfc                                     0
   7  Wordz         3526                                      c e b f                                   0
   8  Wordz         254632                                    254632                                    0
   9  Wordz         134                                       431                                       0
  10  Wordz         3516                                      15                                        0
  11  Wordz         332                                       None                                      0
  12  Wordz         2424                                      to that to that                           0
  13  Wordz         352253                                    about information you you information a…  0
  14  Wordz         361                                       that something to                         0
  15  Wordz         372516                                    because telecommunications are universi…  0
  16  Wordz         26242                                     to because to with to                     0
  17  Wordz         2443                                      two four four three                       0
  18  Wordz         251343                                    beacdc                                    0
  19  Wordz         231                                       b c a                                     0
  20  Wordz         682                                       682                                       0
  21  Wordz         23322                                     22332                                     0
  22  Wordz         44252                                     17                                        0
  23  Wordz         334                                       None                                      0
  24  Wordz         26434                                     to people that the that                   0
  25  Wordz         44431                                     because because because about the         0
  26  Wordz         44342                                     which which that which the                0
  27  Wordz         42242                                     everything are are everything are         0
  28  Wordz         362345                                    the because to the with about             0
  29  Wordz         332623                                    three three two six two three             0
  30  Wordz         331323                                    ccacbc                                    0
  31  Wordz         254341                                    b e d c d a                               0
  32  Wordz         4342                                      4342                                      0
  33  Wordz         4323                                      3234                                      0
  34  Wordz         341                                       8                                         0
  35  Wordz         5424                                      None                                      0
  36  Wordz         232                                       to the to                                 0
  37  Wordz         242323                                    you because you about you about           0
  38  Wordz         272534                                    the government the through that which     0
  39  Wordz         26432                                     are responsibility everything because a…  0
  40  Wordz         142623                                    a with to because to the                  0
  41  Wordz         24353                                     two four three five three                 0
  42  Wordz         242                                       bdb                                       0
  43  Wordz         34343                                     c d c d c                                 0
  44  Wordz         3723                                      3723                                      0
  45  Wordz         143336                                    633341                                    0
  46  Wordz         252                                       9                                         0
  47  Wordz         4557                                      None                                      0
  48  Wordz         15443                                     a about that that the                     0
  49  Wordz         144                                       the because because                       0
  50  Wordz         242                                       the which the                             0
  51  Wordz         2524                                      are university are everything             0
  52  Wordz         43551                                     with the about about a                    0
  53  Wordz         36265                                     three six two six five                    0
  54  Wordz         333224                                    cccbbd                                    0
  55  Wordz         441                                       d d a                                     0
  56  Wordz         1525                                      1525                                      0
  57  Wordz         2334                                      4332                                      0
  58  Wordz         32332                                     13                                        0
  59  Wordz         33343                                     None                                      0
  60  Wordz         363225                                    the people the to to about                0
  61  Wordz         454554                                    because information because information…  0
  62  Wordz         23362                                     the that that something the               0
  63  Wordz         42231                                     everything are are because the            0
  64  Wordz         24433                                     to with with the the                      0
  65  Wordz         232336                                    two three two three three six             0
  66  Wordz         45453                                     dedec                                     0
  67  Wordz         14122                                     a d a b b                                 0
  68  Wordz         4324                                      4324                                      0
  69  Wordz         3422                                      2243                                      0
  70  Wordz         35464                                     22                                        0
  71  Wordz         3525                                      None                                      0
  72  Wordz         322                                       the to to                                 0
  73  Wordz         23231                                     you about you about the                   0
  74  Wordz         243                                       the which that                            0
  75  Wordz         254                                       are university everything                 0
  76  Wordz         22372                                     to to the another to                      0
  77  Wordz         181423                                    one eight one four two three              0
  78  Wordz         3425                                      cdbe                                      0
  79  Wordz         4523                                      d e b c                                   0
  80  Wordz         2353                                      2353                                      0
  81  Wordz         44233                                     33244                                     0
  82  Wordz         213                                       6                                         0
  83  Wordz         2622                                      None                                      0
  84  Wordz         15432                                     a about that the to                       0
  85  Wordz         33241                                     about about you because the               0
  86  Wordz         2713                                      the government to that                    0
  87  Wordz         221613                                    are are the responsibility the because    0
  88  Wordz         442                                       with with to                              0
  89  Wordz         2326                                      two three two six                         0
  90  Wordz         4413                                      ddac                                      0
  91  Wordz         2533                                      b e c c                                   0
  92  Wordz         223                                       223                                       0
  93  Wordz         533                                       335                                       0
  94  Wordz         335                                       11                                        0
  95  Wordz         342                                       None                                      0
  96  Wordz         26375                                     to people the because about               0
  97  Wordz         122542                                    the you you information because you       0
  98  Wordz         563                                       through something that                    0
  99  Wordz         232426                                    are because are everything are responsi…  0
 100  Wordz         5434                                      about with the with                       0
 101  Wordz         13251                                     one three two five one                    0
 102  Wordz         363355                                    cfccee                                    0
 103  Wordz         363454                                    c f c d e d                               0
 104  Wordz         495727                                    495727                                    0
 105  Wordz         23172                                     27132                                     0
 106  Wordz         3326                                      14                                        0
 107  Wordz         2223                                      None                                      0
 108  Wordz         255                                       to about about                            0
 109  Wordz         463                                       because international about               0
 110  Wordz         163                                       to something that                         0
 111  Wordz         141224                                    the everything the are are everything     0
 112  Wordz         28141                                     to government a with a                    0
 113  Wordz         544526                                    five four four five two six               0
 114  Wordz         262463                                    bfbdfc                                    0
 115  Wordz         53243                                     e c b d c                                 0
 116  Wordz         24435                                     24435                                     0
 117  Wordz         144435                                    534441                                    0
 118  Wordz         3233                                      11                                        0
 119  Wordz         26241                                     None                                      0
 120  Wordz         244533                                    to that that about the the                0
 121  Wordz         3423                                      about because you about                   0
 122  Wordz         252245                                    the through the the which through         0
 123  Wordz         2434                                      are everything because everything         0
 124  Wordz         27353                                     to another the about the                  0
 125  Wordz         4544                                      four five four four                       0
 126  Wordz         152                                       aeb                                       0
 127  Wordz         251345                                    b e a c d e                               0
 128  Wordz         15152                                     15152                                     0
 129  Wordz         451                                       154                                       0
 130  Wordz         142                                       7                                         0
 131  Wordz         35252                                     None                                      0
 132  Wordz         4713                                      that because a the                        0
 133  Wordz         553345                                    information information about about bec…  0
 134  Wordz         34152                                     that which to through the                 0
 135  Wordz         335                                       because because university                0
 136  Wordz         452                                       with about to                             0
 137  Wordz         2453                                      two four five three                       0
 138  Wordz         253                                       bec                                       0
 139  Wordz         24422                                     b d d b b                                 0
 140  Wordz         44224                                     44224                                     0
 141  Wordz         4413                                      3144                                      0
 142  Wordz         252333                                    18                                        0
 143  Wordz         2642                                      None                                      0
 144  Wordz         36341                                     the people the that a                     0
 145  Wordz         29343                                     you neurodegenerative about because abo…  0
 146  Wordz         25262                                     the through the something the             0
 147  Wordz         241                                       are everything the                        0
 148  Wordz         2222                                      to to to to                               0
 149  Wordz         3543                                      three five four three                     0
 150  Wordz         5314                                      ecad                                      0
 151  Wordz         2613                                      b f a c                                   0
 152  Wordz         345524                                    345524                                    0
 153  Wordz         35342                                     24353                                     0
 154  Wordz         44331                                     15                                        0
 155  Wordz         3424                                      None                                      0
 156  Wordz         242                                       to that to                                0
 157  Wordz         27465                                     you identification because internationa…  0
 158  Wordz         281437                                    the construction to which that governme…  0
 159  Wordz         2225                                      are are are university                    0
 160  Wordz         232                                       to the to                                 0
 161  Wordz         1416                                      one four one six                          0
 162  Wordz         235623                                    bcefbc                                    0
 163  Wordz         362                                       c f b                                     0
 164  Wordz         241514                                    241514                                    0
 165  Wordz         34532                                     23543                                     0
 166  Wordz         3634                                      16                                        0
 167  Wordz         13224                                     None                                      0
 168  Wordz         4344                                      that the that that                        0
 169  Wordz         243                                       you because about                         0
 170  Wordz         221                                       the the to                                0
 171  Wordz         234424                                    are because everything everything are e…  0
 172  Wordz         2352                                      to the about to                           0
 173  Wordz         244                                       two four four                             0
 174  Wordz         434327                                    dcdcbg                                    0
 175  Wordz         254                                       b e d                                     0
 176  Wordz         15222                                     15222                                     0
 177  Wordz         33181                                     18133                                     0
 178  Wordz         2545                                      16                                        0
 179  Wordz         41544                                     None                                      0
 180  Wordz         224                                       to to that                                0
 181  Wordz         362326                                    about international you about you inter…  0
 182  Wordz         2633                                      the something that that                   0
 183  Wordz         1245                                      the are everything university             0
 184  Wordz         25364                                     to about the because with                 0
 185  Wordz         37345                                     three seven three four five               0
 186  Wordz         174523                                    agdebc                                    0
 187  Wordz         3326                                      c c b f                                   0
 188  Wordz         23242                                     23242                                     0
 189  Wordz         223213                                    312322                                    0
 190  Wordz         24521                                     14                                        0
 191  Wordz         242426                                    None                                      0
 192  Wordz         152                                       a about to                                0
 193  Wordz         1624                                      the international you because             0
 194  Wordz         43332                                     which that that that the                  0
 195  Wordz         433                                       everything because because                0
