Centaur Zendo round 3 (training)
round_id : aa3f5a8913ba4d86bf61fe05490d96d4
written  : 2026-09-04 14:29:26Z
presented=641  answered=553  correct=195  skipped=88
client answer latency: mean 0.099 ms  median 0.073 ms  max 6.593 ms  (n=641)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  Wordz         452412                                    american population your american to yo…  1
   1  Wordz         431                                       american weaning to                       0
   2  Wordz         2533                                      your population house before              1
   3  Wordz         233234                                    your before before friends before ameri…  0
   4  Wordz         431822                                    None                                      0
   5  Wordz         3244                                      before nom american american              0
   6  Wordz         2625                                      your something fra population             0
   7  Wordz         332625                                    before before your something your popul…  1
   8  Wordz         242457                                    None                                      0
   9  Wordz         354322                                    before population american depictions y…  0
  10  Wordz         241                                       your identified to                        0
  11  Wordz         322                                       before your receding                      0
  12  Wordz         242216                                    extended american your your to something  0
  13  Wordz         12342                                     to your before ruin your                  0
  14  Wordz         42373                                     None                                      0
  15  Wordz         37341                                     None                                      0
  16  Wordz         53255                                     population doodle your population popul…  1
  17  Wordz         51146                                     population to anu american something      0
  18  Wordz         3522                                      before population tooth your              1
  19  Wordz         2756                                      None                                      0
  20  Wordz         3426                                      nuclear american your something           1
  21  Wordz         35343                                     before population before american before  1
  22  Wordz         564                                       population overcoming american            0
  23  Wordz         2443                                      your american american prep               1
  24  Wordz         45243                                     american population your american autho…  0
  25  Wordz         473654                                    None                                      0
  26  Wordz         25343                                     your representation before american bef…  0
  27  Wordz         232                                       fairgrounds before your                   0
  28  Wordz         23222                                     your before your your your                1
  29  Wordz         37362                                     None                                      0
  30  Wordz         333656                                    erupts before before something populati…  0
  31  Wordz         661217                                    None                                      0
  32  Wordz         361413                                    before something hourly american to bef…  0
  33  Wordz         44242                                     american american your eminence your      1
  34  Wordz         541525                                    population american to population acid …  1
  35  Wordz         463                                       american something before                 1
  36  Wordz         2423                                      quirks american your before               0
  37  Wordz         462342                                    american plundered your before american…  0
  38  Wordz         25543                                     your population population duffy before   0
  39  Wordz         253834                                    None                                      0
  40  Wordz         34283                                     None                                      0
  41  Wordz         3514                                      before cameraman to american              1
  42  Wordz         162553                                    to something your population population…  1
  43  Wordz         375525                                    None                                      0
  44  Wordz         1314                                      osi before to american                    0
  45  Wordz         3536                                      before independent before something       0
  46  Wordz         223                                       your invasive before                      0
  47  Wordz         2546                                      your population american hallucinations   0
  48  Wordz         255                                       professors population population          0
  49  Wordz         232                                       your before your                          1
  50  Wordz         272522                                    None                                      0
  51  Wordz         3445                                      before american american outfielder       1
  52  Wordz         34442                                     before american mistreated american your  0
  53  Wordz         34341                                     before american before prosperous to      0
  54  Wordz         16232                                     to something your before stoop            1
  55  Wordz         162425                                    to receding your american your populati…  0
  56  Wordz         45123                                     american population to your before        1
  57  Wordz         1514                                      to scapegoat to american                  1
  58  Wordz         342                                       before roofing your                       1
  59  Wordz         434623                                    american before american something your…  0
  60  Wordz         12151                                     tooth your to population to               0
  61  Wordz         262                                       your decommissioned your                  0
  62  Wordz         143643                                    to american lotteries something america…  0
  63  Wordz         2363                                      your before something before              0
  64  Wordz         233                                       your blasters before                      0
  65  Wordz         2245                                      your brainwashing american population     0
  66  Wordz         3614                                      before something so american              1
  67  Wordz         432                                       american enrico your                      0
  68  Wordz         3432                                      doodle american before your               1
  69  Wordz         442253                                    american american your kylie population…  0
  70  Wordz         133417                                    None                                      0
  71  Wordz         2412                                      your american to nie                      0
  72  Wordz         25163                                     your population eerie something before    0
  73  Wordz         16474                                     None                                      0
  74  Wordz         155                                       to population regency                     0
  75  Wordz         36263                                     seals something your something before     0
  76  Wordz         3322                                      savoy before your your                    0
  77  Wordz         1225                                      to your your population                   1
  78  Wordz         271                                       None                                      0
  79  Wordz         481235                                    None                                      0
  80  Wordz         25342                                     include population before american your   0
  81  Wordz         13452                                     to window american population your        0
  82  Wordz         235                                       your ruin population                      0
  83  Wordz         3536                                      before population before meteorological   0
  84  Wordz         331                                       before before to                          1
  85  Wordz         1635                                      to cry before population                  0
  86  Wordz         142432                                    to american line american before your     1
  87  Wordz         33244                                     before before hourly american american    1
  88  Wordz         271613                                    None                                      0
  89  Wordz         353424                                    before population before american your …  0
  90  Wordz         3335                                      before before atoll population            0
  91  Wordz         2534                                      your population before american           1
  92  Wordz         4533                                      alvarez population before before          0
  93  Wordz         362                                       fakes something your                      0
  94  Wordz         22263                                     your your your something equine           0
  95  Wordz         443                                       american american ignition                0
  96  Wordz         3543                                      committee population american before      0
  97  Wordz         1454                                      to hart population american               0
  98  Wordz         15442                                     to population american american your      1
  99  Wordz         223224                                    your your before incarnation your ameri…  0
 100  Wordz         16133                                     eno something to before before            0
 101  Wordz         334                                       before before ignition                    1
 102  Wordz         234514                                    root before american population to amer…  1
 103  Wordz         2228                                      None                                      0
 104  Wordz         363243                                    before something nourish your american …  1
 105  Wordz         224435                                    your your american american before popu…  1
 106  Wordz         641533                                    something american to population freein…  0
 107  Wordz         22232                                     your your auf before your                 0
 108  Wordz         251                                       acura population to                       0
 109  Wordz         23142                                     your before to american aguero            0
 110  Wordz         234434                                    your before buffalo american before ame…  0
 111  Wordz         23333                                     your equalled before before before        0
 112  Wordz         43225                                     american before your your population      1
 113  Wordz         241524                                    your american to population your design…  0
 114  Wordz         4423                                      american american ointment before         0
 115  Wordz         452442                                    american statement your american americ…  0
 116  Wordz         242537                                    None                                      0
 117  Wordz         231                                       brainwashing before to                    0
 118  Wordz         44353                                     american american before automakers bef…  0
 119  Wordz         212426                                    your to your american your something      1
 120  Wordz         245433                                    pier american population american befor…  1
 121  Wordz         36453                                     before occupational american population…  1
 122  Wordz         231422                                    your before ye american your your         1
 123  Wordz         2333                                      your before before laude                  0
 124  Wordz         133425                                    to before before american shoots popula…  0
 125  Wordz         241                                       your american are                         0
 126  Wordz         1426                                      to american your something                1
 127  Wordz         272246                                    None                                      0
 128  Wordz         1715                                      None                                      0
 129  Wordz         4516                                      american mathematician to something       0
 130  Wordz         33423                                     prosperous before american your before    0
 131  Wordz         2234                                      your your before identified               0
 132  Wordz         1623                                      cry something your before                 0
 133  Wordz         274                                       None                                      0
 134  Wordz         26332                                     your something before before brainwashi…  0
 135  Wordz         643                                       disabilities american before              0
 136  Wordz         23332                                     your derive before before your            1
 137  Wordz         231512                                    your before to population to andi         1
 138  Wordz         2425                                      your american acid population             1
 139  Wordz         252624                                    your subdivision your something your am…  0
 140  Wordz         1223                                      to your your before                       1
 141  Wordz         434                                       renounced before american                 0
 142  Wordz         2727                                      None                                      0
 143  Wordz         13453                                     to before american reception before       1
 144  Wordz         3423                                      heard american your before                0
 145  Wordz         142                                       to shaker your                            1
 146  Wordz         463                                       american something reception              0
 147  Wordz         32226                                     before your your your something           0
 148  Wordz         432                                       american violence your                    0
 149  Wordz         323                                       before your sculpted                      0
 150  Wordz         261634                                    grads something to something before ame…  0
 151  Wordz         43444                                     american pla american american american   0
 152  Wordz         375436                                    None                                      0
 153  Wordz         471536                                    None                                      0
 154  Wordz         333426                                    before before before american your some…  1
 155  Wordz         362314                                    before something your before to motivate  1
 156  Wordz         163                                       chia something before                     0
 157  Wordz         134415                                    to launched american american to popula…  0
 158  Wordz         164725                                    None                                      0
 159  Wordz         552516                                    population population your ordinator to…  1
 160  Wordz         2416                                      hat american to something                 0
 161  Wordz         432464                                    american before your american something…  0
 162  Wordz         54563                                     population american launched something …  0
 163  Wordz         323                                       before aero before                        0
 164  Wordz         444                                       american american scientifically          0
 165  Wordz         272                                       None                                      0
 166  Wordz         243                                       your preservation before                  0
 167  Wordz         3837                                      None                                      0
 168  Wordz         22242                                     your your your american your              1
 169  Wordz         563                                       population hallucinations before          0
 170  Wordz         1425                                      to american chia population               1
 171  Wordz         23353                                     your upkeep before population before      1
 172  Wordz         331537                                    None                                      0
 173  Wordz         161                                       to something ordinator                    0
 174  Wordz         27351                                     None                                      0
 175  Wordz         36122                                     before something to your your             1
 176  Wordz         27353                                     None                                      0
 177  Wordz         5356                                      population brim population something      1
 178  Wordz         533                                       population reach before                   1
 179  Wordz         333524                                    before before before population your bu…  1
 180  Wordz         261                                       kourtney something to                     0
 181  Wordz         254725                                    None                                      0
 182  Wordz         12371                                     None                                      0
 183  Wordz         3524                                      before population your xenophobia         0
 184  Wordz         14253                                     to american your population grads         0
 185  Wordz         532413                                    population before your american to deno…  0
 186  Wordz         463544                                    denominated something before population…  0
 187  Wordz         165824                                    None                                      0
 188  Wordz         6443                                      appointing american american before       0
 189  Wordz         25225                                     your population your your population      1
 190  Wordz         231557                                    None                                      0
 191  Wordz         3316                                      before before to independent              0
 192  Wordz         242                                       lui american your                         1
 193  Wordz         45522                                     american population population tie your   0
 194  Wordz         3425                                      before american equine population         0
 195  Wordz         35334                                     senna population before before american   0
 196  Wordz         5643                                      population something american before      1
 197  Wordz         421                                       american your anu                         0
 198  Wordz         553256                                    ratification population before your pop…  0
 199  Wordz         33341                                     before before before american pier        0
 200  Wordz         241236                                    your american trier your before somethi…  0
 201  Wordz         4344                                      american sculpted american american       0
 202  Wordz         434416                                    american before american american invas…  0
