Centaur Zendo round 6 (training)
round_id : 00e497ec6d6f480ca63078f8df0d760c
written  : 2026-09-04 14:36:28Z
presented=604  answered=604  correct=604  skipped=0
client answer latency: mean 0.087 ms  median 0.080 ms  max 1.075 ms  (n=605)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  Wordz         133                                       to before before                          1
   1  Wordz         141                                       to american to                            1
   2  Wordz         2325                                      your before your population               1
   3  Wordz         225                                       your your population                      1
   4  Wordz         2426                                      your american your something              1
   5  Wordz         363826                                    before something before construction yo…  1
   6  Wordz         363                                       before something before                   1
   7  Wordz         235444                                    your before population american america…  1
   8  Wordz         46332                                     american something before before your     1
   9  Wordz         36242                                     before something your american your       1
  10  Wordz         453                                       american population before                1
  11  Wordz         322424                                    before your your american your american   1
  12  Wordz         242                                       your american your                        1
  13  Wordz         223                                       your your before                          1
  14  Wordz         432544                                    american before your population america…  1
  15  Wordz         4622                                      american something your your              1
  16  Wordz         141366                                    to american to before autonomous someth…  1
  17  Wordz         34233                                     before american your before before        1
  18  Wordz         1333                                      to before before before                   1
  19  Wordz         324613                                    before your american something to before  1
  20  Wordz         143522                                    to american before population your your   1
  21  Wordz         23223                                     your before your your before              1
  22  Wordz         2442                                      your american american your               1
  23  Wordz         352222                                    before population your your your your     1
  24  Wordz         1525                                      to population your population             1
  25  Wordz         5335                                      population before before population       1
  26  Wordz         353535                                    before population before population bef…  1
  27  Wordz         33321                                     before before before your to              1
  28  Wordz         2226                                      your your your something                  1
  29  Wordz         1416                                      to american to something                  1
  30  Wordz         2822                                      your construction your your               1
  31  Wordz         431                                       american before to                        1
  32  Wordz         3352                                      before before population your             1
  33  Wordz         233724                                    your before before government your amer…  1
  34  Wordz         441                                       american american to                      1
  35  Wordz         222                                       your your your                            1
  36  Wordz         2323                                      your before your before                   1
  37  Wordz         16233                                     to something your before before           1
  38  Wordz         453364                                    american population before before auton…  1
  39  Wordz         244                                       your american american                    1
