Centaur Zendo round final (final)
round_id : 26c2d9fb3c9f4daaa1af086fe4901aad
written  : 2026-09-04 14:36:46Z
presented=3476  answered=3476  correct=3476  skipped=0
client answer latency: mean 0.093 ms  median 0.085 ms  max 3.356 ms  (n=3476)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  Wordz         13332                                     to before before before your              1
   1  Wordz         4558                                      american population population construc…  1
   2  Wordz         231652                                    your before to something population your  1
   3  Wordz         35424                                     before population american your american  1
   4  Wordz         2446                                      your american american something          1
   5  Wordz         343335                                    before american before before before po…  1
   6  Wordz         35241                                     before population your american to        1
   7  Wordz         53323                                     population before before your before      1
   8  Wordz         352423                                    before population your american your be…  1
   9  Wordz         44461                                     american american american something to   1
  10  Wordz         44444                                     american american american american ame…  1
  11  Wordz         37353                                     before government before population bef…  1
  12  Wordz         35143                                     before population to american before      1
  13  Wordz         34341                                     before american before american to        1
  14  Wordz         3635                                      before something before population        1
  15  Wordz         25222                                     your population your your your            1
  16  Wordz         422343                                    american your your before american befo…  1
  17  Wordz         43352                                     american before before population your    1
  18  Wordz         25334                                     your population before before american    1
  19  Wordz         13372                                     to before before government your          1
  20  Wordz         334                                       before before american                    1
  21  Wordz         254523                                    your population american population you…  1
  22  Wordz         26244                                     your something your american american     1
  23  Wordz         252624                                    your population your something your ame…  1
  24  Wordz         352                                       before population your                    1
  25  Wordz         26232                                     your something your before your           1
  26  Wordz         245                                       your american population                  1
  27  Wordz         27243                                     your government your american before      1
  28  Wordz         421                                       american your to                          1
  29  Wordz         2644                                      your something american american          1
  30  Wordz         44124                                     american american to your american        1
  31  Wordz         3445                                      before american american population       1
  32  Wordz         3411                                      before american to to                     1
  33  Wordz         3624                                      before something your american            1
  34  Wordz         262                                       your something your                       1
  35  Wordz         223344                                    your your before before american americ…  1
  36  Wordz         4714                                      american government to american           1
  37  Wordz         1444                                      to american american american             1
  38  Wordz         3524                                      before population your american           1
  39  Wordz         344                                       before american american                  1
  40  Wordz         352                                       before population your                    1
  41  Wordz         351                                       before population to                      1
  42  Wordz         12322                                     to your before your your                  1
  43  Wordz         2624                                      your something your american              1
  44  Wordz         35443                                     before population american american bef…  1
  45  Wordz         343725                                    before american before government your …  1
  46  Wordz         4643                                      american something american before        1
  47  Wordz         243425                                    your american before american your popu…  1
  48  Wordz         262                                       your something your                       1
  49  Wordz         162424                                    to something your american your american  1
  50  Wordz         262                                       your something your                       1
  51  Wordz         33513                                     before before population to before        1
  52  Wordz         2435                                      your american before population           1
  53  Wordz         542524                                    population american your population you…  1
  54  Wordz         2433                                      your american before before               1
  55  Wordz         2419                                      your american to understanding            1
  56  Wordz         24323                                     your american before your before          1
  57  Wordz         243256                                    your american before your population so…  1
  58  Wordz         242334                                    your american your before before americ…  1
  59  Wordz         275315                                    your government population before to po…  1
  60  Wordz         251                                       your population to                        1
  61  Wordz         253632                                    your population before something before…  1
  62  Wordz         25532                                     your population population before your    1
  63  Wordz         53361                                     population before before something to     1
  64  Wordz         322                                       before your your                          1
  65  Wordz         1614                                      to something to american                  1
  66  Wordz         25262                                     your population your something your       1
  67  Wordz         562                                       population something your                 1
  68  Wordz         452                                       american population your                  1
  69  Wordz         23473                                     your before american government before    1
  70  Wordz         562723                                    population something your government yo…  1
  71  Wordz         172523                                    to government your population your befo…  1
  72  Wordz         3315                                      before before to population               1
  73  Wordz         443                                       american american before                  1
  74  Wordz         27333                                     your government before before before      1
  75  Wordz         632                                       autonomous before your                    1
  76  Wordz         133513                                    to before before population to before     1
  77  Wordz         25552                                     your population population population y…  1
  78  Wordz         322727                                    before your your government your govern…  1
  79  Wordz         343                                       before american before                    1
  80  Wordz         151                                       to population to                          1
  81  Wordz         243425                                    your american before american your popu…  1
  82  Wordz         3443                                      before american american before           1
  83  Wordz         1413                                      to american to before                     1
  84  Wordz         245317                                    your american population before to gove…  1
  85  Wordz         361316                                    before something to before to something   1
  86  Wordz         342316                                    before american your before to something  1
  87  Wordz         331546                                    before before to population american so…  1
  88  Wordz         24281                                     your american your construction to        1
  89  Wordz         314                                       before to american                        1
