Centaur Zendo round 1 (training)
round_id : 2b13832f768146048edd34ac29d0c024
written  : 2026-09-04 15:43:43Z
presented=789  answered=0  correct=0  skipped=790
client answer latency: mean 0.078 ms  median 0.074 ms  max 1.054 ms  (n=790)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  basten        ...3....3.....3....3........../7          None                                      0
   1  basten        .....3.....2......3....2....../7          None                                      0
   2  basten        ....2...3.....3.....2......1....../4      None                                      0
   3  basten        ...3.......3......3.......2......./7      None                                      0
   4  basten        .....3......2.......3....2....../6        None                                      0
   5  basten        ....3....1....1...3....3.....2..../8      None                                      0
   6  basten        ...3.....3......2.....3....../2           None                                      0
   7  basten        ...3....3........2......3..../5           None                                      0
   8  basten        ...3......2.......2.....3..../6           None                                      0
   9  basten        ...2...3.....3.....3.....3..../3          None                                      0
  10  basten        ...2......2.....3....2........3...../4    None                                      0
  11  basten        ....2......3......2.....3....../5         None                                      0
  12  basten        ...3....2...2.....2.....2...../6          None                                      0
  13  basten        ...3......3.........1........3..../5      None                                      0
  14  basten        ...1....3.......3....2.......1....../3    None                                      0
  15  basten        ...1......2...3....3......3......../3     None                                      0
  16  basten        ...3.....3.......3.........1......./7     None                                      0
  17  basten        ....3...3.......2....2......./2           None                                      0
  18  basten        ...2........3......3.....3......../8      None                                      0
  19  basten        ...2.....3....3........3......3..../3     None                                      0
  20  basten        ...2.....3......3......3........../5      None                                      0
  21  basten        ....3....2......3....1....2......../7     None                                      0
  22  basten        ...3......3....3.........1....../3        None                                      0
  23  basten        ...3.....2....1......3...2..../4          None                                      0
  24  basten        ...3....3...3......3.......1......./7     None                                      0
  25  basten        ...2...2.......3......3......../6         None                                      0
  26  basten        ...1...3.....1...3.....3............/8    None                                      0
  27  basten        .....2....3......2......3...../6          None                                      0
  28  basten        ...2....3....2......2.....2......../4     None                                      0
  29  basten        ...2......3.........3...1...1..../2       None                                      0
  30  basten        ....1....3........3...3........./3        None                                      0
  31  basten        ...3.....3.....3.....3....2..../7         None                                      0
  32  basten        ...2.........2....3.....3...../7          None                                      0
  33  basten        ...2...2......1....3.....3....3...../3    None                                      0
  34  basten        .....2....3....2.....2......2...../4      None                                      0
  35  basten        ...2...1...3......1......3....../3        None                                      0
  36  basten        ...3......3....2....1.........2...../3    None                                      0
  37  basten        ....3....3...3....2......1......./2       None                                      0
  38  basten        ....2.....3....2.....3........../5        None                                      0
  39  basten        ....1...2....2.....3...3......2..../2     None                                      0
  40  basten        ...2....1.....1...2...2.......3..../8     None                                      0
  41  basten        ...2.....3...2.......1...2........./7     None                                      0
  42  basten        ...2......1....3......3......3....../8    None                                      0
  43  basten        ....3.......1.....3......3.....1..../3    None                                      0
  44  basten        ...3.....2.........3......3....../7       None                                      0
  45  basten        ....3.....2.......3...2......./5          None                                      0
  46  basten        ...3.......2.....2....3....../6           None                                      0
  47  basten        ....3......3.....1......3...../5          None                                      0
  48  basten        ....3...2.....3.....3....1....2...../4    None                                      0
  49  basten        ...3....2........3.....2..../3            None                                      0
  50  basten        ....2.....2.......3......3...../2         None                                      0
  51  basten        ....2.....2....2...3...3...2......./5     None                                      0
  52  basten        ....3...2.......2....3......./7           None                                      0
  53  basten        ...2...2..........2....1.....3....../4    None                                      0
