Centaur Zendo round final (final)
round_id : 9a7053237b614dffb659df54625333e1
written  : 2026-09-04 16:15:33Z
presented=2576  answered=2576  correct=190  skipped=0
client answer latency: mean 0.161 ms  median 0.154 ms  max 1.575 ms  (n=2576)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  basten        ...3.........1.......3......3......./5    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n<…  0
   1  basten        ....2...2.......3......3......./2         ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n......…  0
   2  basten        ...3.....3...1....2.....3......./8        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n<><.<…  0
   3  basten        ...2....3...3....1....3....2...../3       ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  0
   4  basten        ...2...1.....2......3....3...../2         ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.....>…  0
   5  basten        .....3....2.....2.....2....2......./3     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n..…  0
   6  basten        ...3......2.......3....3.......3..../2    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n<…  0
   7  basten        ...3....1.....2......2.....3...../4       ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n<><.…  1
   8  basten        ...3......1......3.....2......3..../4     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><…  0
   9  basten        ...2......2...3......3...2....../7        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n<><.<…  0
  10  basten        ...3.....3.....2...2......../2            ~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n......<><…  0
  11  basten        ...3......3.....2...3...1.....2..../8     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><…  0
  12  basten        .....2.....3...3......1....3...../8       ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n<><.…  1
  13  basten        ......3....1...3....2....2....../4        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><>.<…  0
  14  basten        ...2......2...1........3.....2..../2      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  0
  15  basten        ...3......2...2.....3....1....2...../7    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n>…  0
  16  basten        ...2...2...3......1......3...3...../2     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n..…  0
  17  basten        .....3.....2.....2.....3......./6         ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><>.<>…  0
  18  basten        ....2....2...2...3....1......../7         ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n<><.><…  0
  19  basten        ...3......1....3...3.........../3         ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n......…  0
  20  basten        ...2.....3......2....2.......3...../6     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n<>…  0
  21  basten        ...2.....3....3...........3....../5       ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><>.…  1
  22  basten        ...2...2.....2........2......2....../3    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.…  0
  23  basten        ...3.......3....2......2....3......./7    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n<…  0
  24  basten        ....3......1....3......3...../7           ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n<><.><>.…  0
  25  basten        ...3....3....2.......2.....2....../6      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n<><…  0
  26  basten        ...3....3.......2......2....1......./8    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n<…  0
  27  basten        ...3....2......3......2....../2           ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n........…  0
  28  basten        ....3.......2........2....3........./7    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n<…  0
  29  basten        ....3......2.....3.......2..../6          ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><>.<><…  1
  30  basten        ....3.....2....2....2......3...../6       ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><>.…  0
  31  basten        ....3.....2.....2.....3......../7         ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><>.><…  0
  32  basten        ....3....2.....3...1.....3..../8          ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><>.><>…  0
  33  basten        ....3.....2.......3........2......../6    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n<…  0
  34  basten        ....3....1...3...3...1........./7         ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n<><.<>…  0
  35  basten        ...3........3......2.......2..../7        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n<><.<…  0
  36  basten        ...3......1........2...3...3...1..../2    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n>…  0
  37  basten        ...2......3...3.....2........./2          ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.......…  0
  38  basten        ...3.......3.....3......3......./6        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n<><.<…  0
  39  basten        ....3...2.....3....1.....3..../3          ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><>.<><…  0
  40  basten        ....3.......2....1......2....2...../2     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n..…  0
  41  basten        ...3......3......3....2....../3           ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n........…  0
  42  basten        ...3........3....2......2...../3          ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.....<>…  0
  43  basten        .....3....2......3.....2......./3         ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.><>..…  0
  44  basten        ....3....3...3...1....1.....3..../8       ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n<><.…  1
  45  basten        ....3....1...2......3........3....../8    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n<…  0
