Centaur Zendo round 5 (training)
round_id : 613639ff95fc4725aa4e409cb13e986d
written  : 2026-09-04 17:39:13Z
presented=637  answered=637  correct=113  skipped=0
client answer latency: mean 0.138 ms  median 0.131 ms  max 1.001 ms  (n=637)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  basten        ...3.......3......3....3...../3           ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....><>.…  0
   1  basten        ...2.....3.....3......2.........../7      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  0
   2  basten        .....1.......3....3.......3....../7       ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><>.…  0
   3  basten        ...1....3.........3......3...../3         ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....><…  0
   4  basten        ...2.....1.....3.......3...3....../3      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  0
   5  basten        .....3......3....3.......2...3...../7     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><…  0
   6  basten        ...2....1......3.....2....2......./7      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><>…  0
   7  basten        ....2.....1...2......3......3...../4      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  0
   8  basten        ...3......2......2....3............/7     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><…  0
   9  basten        ...2.....3...2.....3............/5        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....>…  0
  10  basten        ...1......3.....3....3........../5        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><>.<…  0
  11  basten        ......3....3.....2......2..../5           ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><>.....…  0
  12  basten        ...3.....2.....2.....1...2......../6      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><>…  1
  13  basten        ....2...3......3.....2...3......../6      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><>…  0
  14  basten        ......2.....3.....3...2....../6           ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><>.><>.…  0
  15  basten        ...1.....3.....2......2........3..../6    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.…  0
  16  basten        ...3.....2......2......3.........../5     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><…  0
  17  basten        .....3...3.....3.....2....../5            ~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n......><>…  0
  18  basten        .....1......3.......2....3...2...../8     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><…  1
  19  basten        ...3...3......3.......3......1....../4    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.…  0
  20  basten        ....3........3.......2.......3....../3    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.…  0
  21  basten        ...3.....2.....2......2.....1......./3    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n>…  0
  22  basten        ....1.......3...3....3......./3           ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....><>.…  1
  23  basten        ....3....3.....3.....3....../2            ~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n......><>…  0
  24  basten        ....3....3....1......3...2....../4        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....>…  0
  25  basten        ...3......3.......2....2........./7       ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  0
  26  basten        .....3........2.......3....3..../2        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.....…  0
  27  basten        .......3....3.......2....2......./7       ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><>.…  0
  28  basten        ...3........3........3....2...../7        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><>.<…  0
  29  basten        .......3...3.....3.......1......../6      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><>…  1
  30  basten        .....2....3....3...2....1..../2           ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....><>.…  0
  31  basten        ...2.....1......3....3.......3....../7    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.…  0
  32  basten        ...1...3.....2...1....3......3..../4      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  0
  33  basten        ....3.....3....2......2......../5         ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.....>…  1
  34  basten        ...2........3...2.......3....1...../3     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><…  0
  35  basten        ...2.....2...3....3.....2........./7      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><>…  0
  36  basten        ...2....2.........3...3............/3     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n..…  0
  37  basten        ...2...2.....2.......3.....3...../7       ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><>.…  0
  38  basten        ...2.....3......2...1.....2...../2        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.....…  0
  39  basten        ...2.....3...3......1........3....../7    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.…  0
  40  basten        ...3....2....3......3......../7           ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><>.<><.…  0
  41  basten        .....2.......2.....3....3...../5          ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n......>…  1
  42  basten        ......2.....3......2...2.....2...../4     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><…  0
  43  basten        ...3......3....3........3........./3      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  0
  44  basten        ...3....3......2...3......1........./8    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n>…  0
  45  basten        ...3.......3...2....3....2...../2         ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><>.<>…  0
  46  basten        ...3....3.....1...3....1.......2..../8    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n>…  0
  47  basten        ....3.....3...3......3......1......./8    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.…  0
  48  basten        .....3...3.....2.....3...1......../8      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><>…  1
  49  basten        ....3....3.....3.....2......3....../3     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n..…  0
  50  basten        ...3......2....2.....2...3..../8          ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><>.<><…  0
  51  basten        .....2.....2...3......2....2...../8       ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><>.…  0
  52  basten        ......3......2....3......3........./3     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n..…  0
  53  basten        ....3....3......2.........1....3..../6    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n>…  1
  54  basten        ...3....1....3.....2...1........./2       ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  0
  55  basten        ...3........1......3...2......3..../2     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n..…  1
