Centaur Zendo round 1 (training)
round_id : dff490f63e394f60b8853bde90d1a0c7
written  : 2026-09-04 17:14:26Z
presented=702  answered=702  correct=0  skipped=0
client answer latency: mean 0.105 ms  median 0.097 ms  max 1.220 ms  (n=703)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  basten        ...2.....2...2.....3.....2........../6    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.…  0
   1  basten        ....2...3.........2....3........../5      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  0
   2  basten        ....3......2.....2....3........./7        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.....…  0
   3  basten        .....1....3.....2.....1....2...1..../7    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.…  0
   4  basten        ....2.....2......1...3...3...../2         ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....|.…  0
   5  basten        ....3....2....1......3.....1...../3       ....|................|...........\n....…  0
   6  basten        ......3.....2......3....3........../5     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n..…  0
   7  basten        ...3......3.....2.....3....2..../7        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.....…  0
   8  basten        ...3...3.......2.......2......../7        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.....…  0
   9  basten        ...3.......2.......3....2....../6         ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n......…  0
  10  basten        ......2.....3.......3......2..../5        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.....…  0
  11  basten        ...2.....3.......3......3...3....../6     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n..…  0
  12  basten        ...2.......3....3.......2..../5           ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...|....…  0
  13  basten        ...3.....2......1...3...3....3...../8     ...................................\n..…  0
  14  basten        ...3......2...2......3........../6        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.....…  0
  15  basten        ....3.......2......3.......3....../3      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  0
  16  basten        ...2.....2...3.....3......../6            ~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.........…  0
  17  basten        ......2......3......2.....3........./7    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.…  0
  18  basten        ...3.......3...3.....2.....3...../8       ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  0
  19  basten        ...3.......3....3....1...2......../6      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  0
  20  basten        .....2....2.....3.......3...../3          ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.....|.…  0
  21  basten        .....2......2......3......3....../2       .....|......|......|......|......\n....…  0
  22  basten        ...3....2.......1.....3......3....../3    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.…  0
  23  basten        ...3.....3......2........2....../3        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...|.…  0
  24  basten        ...2......1........3....3...2..../7       ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  0
  25  basten        ...2.....2......2.....2....3..../4        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.....…  0
  26  basten        ....3....1.......3.....2.....2....../6    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.…  0
  27  basten        ...3......2....3.....3.....3...../2       ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...|…  0
  28  basten        ...1....3......3......3.....2......./2    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.…  0
  29  basten        ...3....1......2......3......2..../3      ...|..................|...........\n...…  0
  30  basten        ...2......3....2.....1.....3....../3      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  0
  31  basten        .......3...3......2....2....2..../7       ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  0
  32  basten        ....2....2...2....2....3...../8           ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n........…  0
  33  basten        ...3....3.....2.........2.........../3    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.…  0
  34  basten        ...3.....2......3....2......../2          ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n#######…  0
  35  basten        ...2.......2........3....3...../3         ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...|..…  0
  36  basten        .....3....3.....1.......3......./2        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.....…  0
  37  basten        ...3......3......3...2........../8        ................................\n.....…  0
  38  basten        .....3....3......2......3........../3     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n..…  0
  39  basten        ...3......2......2..........3...../7      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  0
  40  basten        ...2....3....3............3....../8       ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  0
  41  basten        .....1....1......3......3....2..../6      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  0
  42  basten        .......3.....3......3......2......../7    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.…  0
  43  basten        .....2.....3....1...3....2......./3       ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  0
  44  basten        ....2....3...3...2....1....../7           ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....|...…  0
  45  basten        ...1.....3.....2......3.....3......./7    ....................................\n.…  0
  46  basten        ...2.....1....3....1....2....2...../2     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><…  0
  47  basten        ....2.......3......3....3....2..../6      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  0
  48  basten        .....2....2....3.......3....../5          ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.......…  0
  49  basten        ....2.....3.....3.....3....3....../6      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  0
  50  basten        ...3......2...2......3......./5           ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...|....…  0
  51  basten        ...3....2........3...3....2..../8         ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n......…  0
  52  basten        ...3...3......2......3.......2....../2    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.…  0
  53  basten        ...3....3.....2....3......2......./2      ...|....|.....|....|......|.......\n...…  0
  54  basten        ...2.....3......2.....3......./3          ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...|...…  0
  55  basten        ...1....3......3......3......./7          ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.......…  0
  56  basten        ...3.....3....1.......3.....3....../6     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n..…  0
  57  basten        ....3....2.....2...2.....3....../8        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.....…  0
  58  basten        ...3.......3......2...3........./8        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.....…  0
  59  basten        ....2.....2......3...2....2....../8       ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  0
  60  basten        ...3...3...2...2......3......3....../7    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.…  0
  61  basten        ....2......2....3.....2......3..../3      ................|............|....\n...…  0
  62  basten        ...1...3....1......3.....2....../2        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><>|>…  0
  63  basten        ....3.......2....3......3..../3           ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....|...…  0
  64  basten        ...3.......3...1....3...3......./3        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...|.…  0
  65  basten        ....2.........3...3......2...../3         ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n......…  0
  66  basten        .....2....3.......3.......3....../7       ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  0
  67  basten        ...2.....2.....1......3....3......./7     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n..…  0
  68  basten        ...1......1....3...2......3..../3         ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...|..…  0
  69  basten        ...3.....3....2.......3....2...../8       .................................\n....…  0
  70  basten        ......3...3......3.....3....../6          ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.......…  0
