Centaur Zendo round 5 (training)
round_id : dfb449d5735b4af9b4d12aff6dd14d65
written  : 2026-09-04 17:42:23Z
presented=537  answered=537  correct=125  skipped=0
client answer latency: mean 0.170 ms  median 0.163 ms  max 1.189 ms  (n=538)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  basten        ...2......2......2....3.....1....../4     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n..…  0
   1  basten        ....3......1........3.....3......./2      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  1
   2  basten        ...3........3....3.....3..../3            ~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.........…  1
   3  basten        ...3....3......3......1....../7           ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n........…  0
   4  basten        ...2........3....1....1....3......../4    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.…  0
   5  basten        ...3......3.....2.....3...3......./6      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  0
   6  basten        ....3.....2....2...2....2........./8      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  0
   7  basten        .......2.....3...3....2....../3           ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n........…  0
   8  basten        ...2.....2.....3........2.....3...../2    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.…  1
   9  basten        ....3......2.........3....2......../7     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n..…  0
  10  basten        ...3...2......3....2.....3......./3       ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  0
  11  basten        ...2....2......2....3.....2......./4      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  0
  12  basten        ....2...3....3.......1.....3....../6      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  0
  13  basten        ...3........3....2.....1....2......./7    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.…  0
  14  basten        ...2......3........3.....2......./5       ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  0
  15  basten        ...3..........2...2.....3...../7          ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.......…  0
  16  basten        ...1....3...2......3...1......./6         ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n......…  0
  17  basten        ...2......2......3....1.....2....../7     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n..…  0
  18  basten        ...3...2...3...........2......../5        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.....…  0
  19  basten        ...3....3...3...3.....3...../7            ~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.........…  0
  20  basten        .....2...3.....2...3........2......./6    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.…  0
  21  basten        .....2.......3......3...3...../5          ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.......…  0
  22  basten        ...3....1......2....2......2......../2    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.…  1
  23  basten        ....3....2......2....2....3......./6      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  0
  24  basten        ...2....3.....3...........3..../7         ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n......…  0
  25  basten        ....3.....2......2.....1....3......./4    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.…  0
  26  basten        ...2....2.........3.....3....../2         ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n......…  0
  27  basten        ....3......2.....3......2....../7         ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n......…  0
  28  basten        ...2......2......3...1.......3....../2    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.…  0
  29  basten        ...2......3......3....2........../5       ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  0
  30  basten        ...3.....3...3...1.......3......./2       ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  0
  31  basten        ....2...1.......3......3.....3....../3    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.…  0
  32  basten        ...3.....3........3......3..../5          ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.......…  0
  33  basten        ...3......3.........2.....2...../3        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.....…  1
  34  basten        ....3.......1.....2...2.....2....../3     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n..…  0
  35  basten        ....2....3.....3......3......../5         ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n......…  0
  36  basten        ...1....1...3......2.....2...3...../2     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n..…  0
