Centaur Zendo round 6 (training)
round_id : cf5e8961892341f7a0ef99d58299cf7b
written  : 2026-09-04 17:45:10Z
presented=470  answered=470  correct=166  skipped=0
client answer latency: mean 0.164 ms  median 0.154 ms  max 1.821 ms  (n=470)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  basten        ...3...2....1.....2....2...../7           ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n........…  0
   1  basten        ...3....3........3.......2...../5         ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n......…  0
   2  basten        ....1....3......3...3......../7           ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n........…  0
   3  basten        .....1....3...3........2......2..../8     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n..…  1
   4  basten        ....3......2....3...3......./5            ~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.........…  0
   5  basten        ...2....3...3.....3............/8         ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n......…  0
   6  basten        ...3......1......3.......3......./6       ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  1
   7  basten        ...3.....2.......3......3...2....../6     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n..…  1
   8  basten        ...2.....2.....3.........3...1...../3     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n..…  1
   9  basten        ...2......3....2...2.....1........./2     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n..…  0
  10  basten        ....3......3....3.....3....../8           ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n........…  0
  11  basten        ....3....1....2...3....3...3....../3      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  0
  12  basten        ...3....3.....3......2.......2..../8      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  0
  13  basten        ....2...2....3....1......3...1....../2    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.…  0
  14  basten        ....2.....1.....3...3.......1...../6      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  1
  15  basten        ...3......3.....3......1....../2          ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.......…  1
  16  basten        .....3...2.....3........3........./6      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  0
  17  basten        ...1....3...3.....2......2......./3       ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  1
  18  basten        ...3...........3....2....2......../6      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  0
  19  basten        .....2......3......3.....3...2...../4     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n..…  0
  20  basten        ....2...3.....2...2......3....../2        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.....…  1
  21  basten        ....3......2......2........3....../6      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  0
  22  basten        ...3......3.....2....2........./7         ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n......…  0
  23  basten        ...2....2...2......2.....2......./7       ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  0
  24  basten        ...3......3....2....1...3..../4           ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n........…  0
