Centaur Zendo round 2 (training)
round_id : e9aa7f473ded46a0920bc74d2ce492cc
written  : 2026-09-04 20:38:23Z
presented=455  answered=455  correct=4  skipped=0
client answer latency: mean 0.124 ms  median 0.117 ms  max 1.240 ms  (n=455)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  crandel       343/421/5                                 v=v\nSSS\nSSS\nSSS\nv=v\nCCC\nCCC\nCCC\…  0
   1  crandel       332/420/4                                 v=v=v=v=v=v\nSSS.CCC.HHH\nSSS.CCC.HHH\n…  0
   2  crandel       420/432/2                                 v=v=v=v=vv====\nSSS.CCC.HH....\nSSS.CCC…  0
   3  crandel       332/221/320/3                             v=v=v=v=v=v=v=v\nSSS.CCC.HHH.DDD\nSSS.C…  0
   4  crandel       342/520/3                                 v====v===v===v==vv=v=v\nSSSSSS...CCCCC.…  0
   5  crandel       232/620/2                                 v=v\nSSS\nSSS\nv=v\nCCC\nCCC\nCCC\nCCC\…  0
   6  crandel       221/532/4                                 v=v=v=v====\nSSS.CCC....\nSSS.CCC....\n…  0
   7  crandel       531/521/2                                 v=v=v=v=v=v=vv\nSSS.CCC.HHH.DD\nSSS.CCC…  0
   8  crandel       221/632/2                                 v=v=v=v=v=v====\nSSS.CCC.HHH....\nSSS.C…  0
   9  crandel       431/221/5                                 v====v===v===v==vv=v=v\nSSSSSS...CCCCC.…  0
  10  crandel       532/243/4                                 v=v\nSSS\nSSS\nSSS\nSSS\nSSS\nv=v\nCCC\…  0
  11  crandel       232/343/6                                 v=v=v=v=v=v====\nSSS.CCC.HHH....\nSSS.C…  0
  12  crandel       621/221/3                                 v=v=v=v=vv\nSSS.CCC.HH\nSSS.CCC...\nSSS…  0
  13  crandel       220/332/332/2                             v=v=v=v=v=v====\nSSS.CCC.HHH....\nSSS.C…  0
  14  crandel       432/331/2                                 v====v===v===v==vv=v=v\nSSSSSS...CCCCC.…  0
  15  crandel       231/632/2                                 v=v\nSSS\nSSS\nv=v\nCCC\nCCC\nCCC\nCCC\…  0
  16  crandel       643/221/2                                 v=v=v=v=v=v=v=v\nSSS.CCC.HHH.DDD\nSSS.C…  0
  17  crandel       321/232/220/3                             v=v=v=v=vv====\nSSS.CCC.HH....\nSSS.CCC…  0
  18  crandel       321/332/5                                 v=v=v=v=v=v====\nSSS.CCC.HHH....\nSSS.C…  0
  19  crandel       531/421/3                                 v====v===v===v==vv=v=v\nSSSSSS...CCCCC.…  0
  20  crandel       432/220/4                                 v=v\nSSS\nSSS\nSSS\nSSS\nv=v\nCCC\nCCC\…  0
  21  crandel       231/431/2                                 v=v=v=v=v=v\nSSS.CCC.HHH\nSSS.CCC.HHH\n…  0
  22  crandel       231/331/4                                 v=v=v=v=v=v=vv\nSSS.CCC.HHH.DD\nSSS.CCC…  0
  23  crandel       331/631/2                                 v=v=v=v=v=v=v=v\nSSS.CCC.HHH.DDD\nSSS.C…  0
  24  crandel       343/321/220/2                             v====v===v===v==vv=v=v\nSSSSSS...CCCCC.…  0
  25  crandel       343/331/2                                 v=v\nSSS\nSSS\nSSS\nv=v\nCCC\nCCC\nCCC\…  0
  26  crandel       221/432/6                                 v=v=v=v====\nSSS.CCC....\nSSS.CCC....\n…  0
  27  crandel       421/442/2                                 v=v=v=v=vv========\nSSS.CCC.HH........\…  0
  28  crandel       432/331/4                                 v=v=v=v=v=v=v=v\nSSS.CCC.HHH.DDD\nSSS.C…  0
  29  crandel       321/632/3                                 v====v===v===v==vv=v=v\nSSSSSS...CCCCC.…  0
  30  crandel       221/221/4                                 v=v\nSSS\nSSS\nv=v\nCCC\nCCC\nv=v\nHHH\…  0
  31  crandel       420/332/5                                 v=v=v=v====\nSSS.CCC....\nSSS.CCC....\n…  0
  32  crandel       531/421/3                                 v=v=v=v=v=v=vv\nSSS.CCC.HHH.DD\nSSS.CCC…  0
  33  crandel       542/220/5                                 v=v=v=v=v=v=v=v=v=v\nSSS.CCC.HHH.DDD.VV…  0
  34  crandel       421/631/2                                 v====v===v===v==vv=v=v\nSSSSSS...CCCCC.…  0
  35  crandel       343/242/6                                 v=v\nSSS\nSSS\nSSS\nv=v\nCCC\nCCC\nv=v\…  0
  36  crandel       332/531/4                                 v=v=v=v=v=v\nSSS.CCC.HHH\nSSS.CCC.HHH\n…  0
  37  crandel       220/432/342/2                             v=v=v=v=vv========\nSSS.CCC.HH........\…  0
  38  crandel       221/621/3                                 v=v=v=v=v=v\nSSS.CCC.HHH\nSSS.CCC.HHH\n…  0
  39  crandel       432/432/3                                 v====v===v===v==vv=v=v\nSSSSSS...CCCCC.…  0
  40  crandel       231/331/231/4                             v=v\nSSS\nSSS\nv=v\nCCC\nCCC\nCCC\nv=v\…  0
  41  crandel       543/343/3                                 v=v=v=v=v=v=v=v\nSSS.CCC.HHH.DDD\nSSS.C…  0
  42  crandel       221/521/3                                 v=v=v=v=vv\nSSS.CCC.HH\nSSS.CCC...\nv=v…  0
  43  crandel       221/543/5                                 v=v=v=v=v=v========\nSSS.CCC.HHH.......…  0
  44  crandel       321/232/4                                 v====v===v===v==vv=v=v\nSSSSSS...CCCCC.…  0
  45  crandel       631/231/4                                 v=v\nSSS\nSSS\nSSS\nSSS\nSSS\nSSS\nv=v\…  0
  46  crandel       643/342/2                                 v=v=v=v=v=v=v=v\nSSS.CCC.HHH.DDD\nSSS.C…  0
