Centaur Zendo round 4 (training)
round_id : 098a7f8a8a3d42cd9e2de11f968ea73e
written  : 2026-09-04 20:50:32Z
presented=534  answered=534  correct=534  skipped=0
client answer latency: mean 0.118 ms  median 0.108 ms  max 1.208 ms  (n=534)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  crandel       343/221/3                                 vv=vv=vv=vv======\nSS.CC.HH.DD......\nS…  1
   1  crandel       632/242/4                                 vv=vv=vv============\nSS.CC.HH.........…  1
   2  crandel       431/231/4                                 v=v=v======\nS.C.H......\nS.C.H......\n…  1
   3  crandel       531/421/2                                 vv=vv=vv=========\nSS.CC.HH.........\nS…  1
   4  crandel       331/231/3                                 vv=vv=vv=========\nSS.CC.HH.........\nS…  1
   5  crandel       532/243/2                                 v=v=v========\nS.C.H........\nS.C.H....…  1
   6  crandel       632/231/3                                 vv=vv=vv============\nSS.CC.HH.........…  1
   7  crandel       521/543/2                                 vv=vv============\nSS.CC............\nS…  1
   8  crandel       321/421/5                                 v=v====\nS.C....\nS.C....\nS.C....\nv==…  1
   9  crandel       332/532/3                                 vv=vv=vv============\nSS.CC.HH.........…  1
  10  crandel       643/231/4                                 vv=vv=vv=vv=========\nSS.CC.HH.DD......…  1
  11  crandel       242/631/3                                 v=v=v=v======\nS.C.H.D......\nS.C.H.D..…  1
  12  crandel       531/421/2                                 vv=vv=vv=========\nSS.CC.HH.........\nS…  1
  13  crandel       532/532/2                                 vv=vv=vv=========\nSS.CC.HH.........\nS…  1
  14  crandel       343/632/2                                 v=v=v=v======\nS.C.H.D......\nS.C.H.D..…  1
  15  crandel       231/531/4                                 vv=vv=vv============\nSS.CC.HH.........…  1
  16  crandel       421/231/5                                 vv=vv=========\nSS.CC.........\nSS.CC..…  1
  17  crandel       231/321/6                                 v=v=v====\nS.C.H....\nS.C.H....\nv=====…  1
  18  crandel       232/232/4                                 vv=vv=vv============\nSS.CC.HH.........…  1
  19  crandel       231/331/4                                 vv=vv=vv=========\nSS.CC.HH.........\nS…  1
  20  crandel       243/542/4                                 v=v=v=v========\nS.C.H.D........\nS.C.H…  1
  21  crandel       221/432/5                                 vv=vv===============\nSS.CC............…  1
  22  crandel       442/231/320/2                             vv=vv=vv=vv=========\nSS.CC.HH.DD......…  1
  23  crandel       232/631/4                                 v=v=v======\nS.C.H......\nS.C.H......\n…  1
  24  crandel       232/420/3                                 vv=vv=vv=========\nSS.CC.HH.........\nS…  1
  25  crandel       542/320/4                                 vv=vv=vv=vv======\nSS.CC.HH.DD......\nS…  1
  26  crandel       231/431/3                                 v=v=v======\nS.C.H......\nS.C.H......\n…  1
  27  crandel       443/520/3                                 vv=vv=vv=vv======\nSS.CC.HH.DD......\nS…  1
  28  crandel       331/532/4                                 vv=vv=vv=========\nSS.CC.HH.........\nS…  1
  29  crandel       232/321/3                                 v=v=v====\nS.C.H....\nS.C.H....\nv=v===…  1
  30  crandel       431/531/2                                 vv=vv=vv============\nSS.CC.HH.........…  1
  31  crandel       431/231/2                                 vv=vv=vv=========\nSS.CC.HH.........\nS…  1
  32  crandel       621/442/2                                 v=v========\nS.C........\nS.C........\n…  1
  33  crandel       242/520/2                                 vv=vv=vv=vv======\nSS.CC.HH.DD......\nS…  1
  34  crandel       343/242/5                                 vv=vv=vv=vv============\nSS.CC.HH.DD...…  1
  35  crandel       332/442/2                                 v=v=v========\nS.C.H........\nS.C.H....…  1
  36  crandel       243/431/6                                 vv=vv=vv=vv=========\nSS.CC.HH.DD......…  1
  37  crandel       332/321/5                                 vv=vv=vv======\nSS.CC.HH......\nSS.CC.H…  1
