Centaur Zendo round 2 (training)
round_id : 01d9276f4153425c97d8923b7ca52a04
written  : 2026-09-04 20:40:54Z
presented=406  answered=406  correct=9  skipped=0
client answer latency: mean 0.143 ms  median 0.138 ms  max 1.275 ms  (n=407)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  crandel       321/332/4                                 v=v===v=v======\nCCC...SSS......\nCCC..…  0
   1  crandel       332/532/2                                 vv===vv===vv\nCC...SS...PP\nCC...SS...P…  0
   2  crandel       232/232/231/4                             v=v=====v=v=====v=v\nCCC.....SSS.....PP…  0
   3  crandel       521/221/2                                 v=v===v=v==vv\nCCC...SSS..PP\nCCC...SSS…  0
   4  crandel       231/521/4                                 v=v===v=v=v=v\nCCC...SSS.PPP\nCCC...SSS…  0
   5  crandel       521/331/3                                 vv===vv===\nCC...SS...\nCC...SS...\nCC.…  0
   6  crandel       431/231/6                                 v=v=====v=v==v=v\nCCC.....SSS..PPP\nCCC…  0
   7  crandel       232/421/5                                 v=v===v=v===v=v==vv\nCCC...SSS...PPP..T…  0
   8  crandel       220/431/232/2                             v=v=v=v========\nCCC.SSS........\nCCC.S…  0
   9  crandel       221/532/5                                 vv===vv=====\nCC...SS.....\nCC...SS....…  0
  10  crandel       320/232/4                                 v=v==v=v===========\nCCC..SSS..........…  0
  11  crandel       431/231/6                                 v=v===v=v=v=v==vv\nCCC...SSS.PPP..TT\nC…  0
  12  crandel       520/232/2                                 v=v=v=v========\nCCC.SSS........\nCCC.S…  0
  13  crandel       532/443/3                                 vv===vv===vv=====\nCC...SS...PP.....\nC…  0
  14  crandel       331/332/6                                 v=v=====v=v==v=v===\nCCC.....SSS..PPP..…  0
  15  crandel       232/231/4                                 v=v===v=v===v=v==vv\nCCC...SSS...PPP..T…  0
  16  crandel       332/531/2                                 v=v===v=v===v=v\nCCC...SSS...PPP\nCCC..…  0
  17  crandel       321/342/2                                 vv===vv========\nCC...SS........\nCC...…  0
  18  crandel       231/232/532/2                             v=v=====v=v==v=v===\nCCC.....SSS..PPP..…  0
  19  crandel       543/221/2                                 v=v===v=v===v=v===v=v==vv\nCCC...SSS...…  0
  20  crandel       243/532/5                                 v=v===v=v===v=v===v=v\nCCC...SSS...PPP.…  1
  21  crandel       231/332/5                                 vv===vv=vv==\nCC...SS.PP..\nCC...SS.PP.…  0
  22  crandel       331/432/5                                 v=v=====v=v==v=v===\nCCC.....SSS..PPP..…  0
  23  crandel       332/321/6                                 v=v===v=v===v=v==vv\nCCC...SSS...PPP..T…  0
  24  crandel       332/420/4                                 v=v===v=v===v=v\nCCC...SSS...PPP\nCCC..…  0
