Centaur Zendo round 3 (training)
round_id : c99c11e51c8d46599fd184cda8242dd6
written  : 2026-09-04 20:47:41Z
presented=459  answered=459  correct=459  skipped=0
client answer latency: mean 0.132 ms  median 0.128 ms  max 1.269 ms  (n=460)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  crandel       332/221/3                                 vv=vv=vv\nCC.SS.PP\nCC.SS.PP\nCC.SS.PP\…  1
   1  crandel       342/521/4                                 vv=vv=vv=vv\nCC.SS.PP.TT\nCC.SS.PP.TT\n…  1
   2  crandel       443/520/2                                 vv=vv=vv=vv\nCC.SS.PP.TT\nCC.SS.PP.TT\n…  1
   3  crandel       232/332/321/3                             vv=vv=vv===\nCC.SS.PP...\nCC.SS.PP...\n…  1
   4  crandel       220/232/4                                 vv=vv=========\nCC.SS.........\nCC.SS..…  1
   5  crandel       432/431/2                                 vv=vv=vv===\nCC.SS.PP...\nCC.SS.PP...\n…  1
   6  crandel       420/332/4                                 vv=vv=========\nCC.SS.........\nCC.SS..…  1
   7  crandel       321/331/5                                 vv=vv======\nCC.SS......\nCC.SS......\n…  1
   8  crandel       220/332/4                                 vv=vv=========\nCC.SS.........\nCC.SS..…  1
   9  crandel       220/432/4                                 vv=vv=========\nCC.SS.........\nCC.SS..…  1
  10  crandel       232/620/3                                 vv=vv=vv===\nCC.SS.PP...\nCC.SS.PP...\n…  1
  11  crandel       231/531/3                                 vv=vv=vv======\nCC.SS.PP......\nCC.SS.P…  1
  12  crandel       443/331/4                                 vv=vv=vv=vv\nCC.SS.PP.TT\nCC.SS.PP.TT\n…  1
  13  crandel       432/232/6                                 vv=vv=vv===\nCC.SS.PP...\nCC.SS.PP...\n…  1
  14  crandel       420/221/321/2                             vv=vv=========\nCC.SS.........\nCC.SS..…  1
  15  crandel       321/232/5                                 vv=vv======\nCC.SS......\nCC.SS......\n…  1
  16  crandel       231/632/4                                 vv=vv=vv======\nCC.SS.PP......\nCC.SS.P…  1
  17  crandel       342/220/3                                 vv=vv=vv=vv===\nCC.SS.PP.TT...\nCC.SS.P…  1
  18  crandel       343/231/5                                 vv=vv=vv=vv\nCC.SS.PP.TT\nCC.SS.PP.TT\n…  1
  19  crandel       231/432/4                                 vv=vv=vv======\nCC.SS.PP......\nCC.SS.P…  1
