Centaur Zendo round 4 (training)
round_id : 5bff409bce5e40f9b9b712e86d6bdb5f
written  : 2026-09-04 20:48:46Z
presented=615  answered=615  correct=615  skipped=0
client answer latency: mean 0.125 ms  median 0.118 ms  max 1.173 ms  (n=616)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  crandel       220/321/231/3                             vv=vv============\nCC.SS............\nC…  1
   1  crandel       342/421/2                                 v=v=v=v\nC.S.P.T\nC.S.P.T\nC.S.P.T\n===…  1
   2  crandel       320/332/342/2                             vv=vv===============\nCC.SS............…  1
   3  crandel       231/521/4                                 v=v=v==\nC.S.P..\nC.S.P..\n====v=v\n...…  1
   4  crandel       631/231/2                                 vv=vv=vv======\nCC.SS.PP......\nCC.SS.P…  1
   5  crandel       431/521/3                                 v=v=v==\nC.S.P..\nC.S.P..\nC.S.P..\nC.S…  1
   6  crandel       332/331/220/3                             vv=vv=vv=========\nCC.SS.PP.........\nC…  1
   7  crandel       543/420/2                                 v=v=v=v\nC.S.P.T\nC.S.P.T\nC.S.P.T\nC.S…  1
   8  crandel       231/432/4                                 vv=vv=vv======\nCC.SS.PP......\nCC.SS.P…  1
   9  crandel       432/343/5                                 v=v=v====\nC.S.P....\nC.S.P....\nC.S.P.…  1
  10  crandel       532/232/3                                 vv=vv=vv===\nCC.SS.PP...\nCC.SS.PP...\n…  1
  11  crandel       242/231/420/3                             v=v=v=v======\nC.S.P.T......\nC.S.P.T..…  1
  12  crandel       232/332/5                                 vv=vv=vv===\nCC.SS.PP...\nCC.SS.PP...\n…  1
  13  crandel       332/432/3                                 v=v=v==\nC.S.P..\nC.S.P..\nC.S.P..\n==v…  1
  14  crandel       521/342/2                                 vv=vv=========\nCC.SS.........\nCC.SS..…  1
  15  crandel       321/231/3                                 v=v====\nC.S....\nC.S....\nC.S....\n==v…  1
  16  crandel       432/232/5                                 vv=vv=vv===\nCC.SS.PP...\nCC.SS.PP...\n…  1
  17  crandel       632/231/4                                 v=v=v==\nC.S.P..\nC.S.P..\nC.S.P..\nC.S…  1
  18  crandel       221/331/3                                 vv=vv======\nCC.SS......\nCC.SS......\n…  1
  19  crandel       432/643/2                                 v=v=v====\nC.S.P....\nC.S.P....\nC.S.P.…  1
  20  crandel       320/432/4                                 vv=vv=========\nCC.SS.........\nCC.SS..…  1
  21  crandel       342/220/232/2                             v=v=v=v======\nC.S.P.T......\nC.S.P.T..…  1
  22  crandel       332/221/5                                 vv=vv=vv\nCC.SS.PP\nCC.SS.PP\nCC.SS.PP\…  1
  23  crandel       343/321/2                                 v=v=v=v\nC.S.P.T\nC.S.P.T\nC.S.P.T\n==v…  1
  24  crandel       231/221/431/2                             vv=vv=vv=========\nCC.SS.PP.........\nC…  1
  25  crandel       621/343/2                                 v=v======\nC.S......\nC.S......\nC.S...…  1
  26  crandel       243/220/531/2                             vv=vv=vv=vv======\nCC.SS.PP.TT......\nC…  1
  27  crandel       632/342/2                                 v=v=v====\nC.S.P....\nC.S.P....\nC.S.P.…  1
  28  crandel       231/331/5                                 vv=vv=vv======\nCC.SS.PP......\nCC.SS.P…  1
  29  crandel       531/231/2                                 v=v=v====\nC.S.P....\nC.S.P....\nC.S.P.…  1
  30  crandel       332/343/6                                 vv=vv=vv======\nCC.SS.PP......\nCC.SS.P…  1
  31  crandel       332/631/2                                 v=v=v==\nC.S.P..\nC.S.P..\nC.S.P..\n==v…  1
  32  crandel       431/531/2                                 vv=vv=vv======\nCC.SS.PP......\nCC.SS.P…  1
  33  crandel       631/232/3                                 v=v=v====\nC.S.P....\nC.S.P....\nC.S.P.…  1
  34  crandel       243/343/5                                 vv=vv=vv=vv===\nCC.SS.PP.TT...\nCC.SS.P…  1
  35  crandel       332/220/5                                 v=v=v==\nC.S.P..\nC.S.P..\nC.S.P..\n==v…  1
  36  crandel       321/432/3                                 vv=vv======\nCC.SS......\nCC.SS......\n…  1
  37  crandel       532/532/2                                 v=v=v==\nC.S.P..\nC.S.P..\nC.S.P..\nC.S…  1
  38  crandel       321/221/3                                 vv=vv===\nCC.SS...\nCC.SS...\nCC.SS...\…  1
  39  crandel       232/232/232/5                             v=v=v====\nC.S.P....\nC.S.P....\n==v=v=…  1
  40  crandel       243/443/2                                 vv=vv=vv=vv===\nCC.SS.PP.TT...\nCC.SS.P…  1
  41  crandel       643/232/2                                 v=v=v=v\nC.S.P.T\nC.S.P.T\nC.S.P.T\nC.S…  1
  42  crandel       232/332/4                                 vv=vv=vv===\nCC.SS.PP...\nCC.SS.PP...\n…  1
  43  crandel       232/321/242/2                             v=v=v======\nC.S.P......\nC.S.P......\n…  1
  44  crandel       231/331/4                                 vv=vv=vv======\nCC.SS.PP......\nCC.SS.P…  1
  45  crandel       242/232/231/5                             v=v=v=v====\nC.S.P.T....\nC.S.P.T....\n…  1
  46  crandel       231/631/4                                 vv=vv=vv======\nCC.SS.PP......\nCC.SS.P…  1
  47  crandel       643/232/4                                 v=v=v=v\nC.S.P.T\nC.S.P.T\nC.S.P.T\nC.S…  1
  48  crandel       342/432/4                                 vv=vv=vv=vv===\nCC.SS.PP.TT...\nCC.SS.P…  1
  49  crandel       431/321/3                                 v=v=v==\nC.S.P..\nC.S.P..\nC.S.P..\nC.S…  1
  50  crandel       343/531/4                                 vv=vv=vv=vv\nCC.SS.PP.TT\nCC.SS.PP.TT\n…  1
  51  crandel       632/221/4                                 v=v=v\nC.S.P\nC.S.P\nC.S.P\nC.S.P\nC.S.…  1
  52  crandel       432/432/2                                 vv=vv=vv===\nCC.SS.PP...\nCC.SS.PP...\n…  1
