Centaur Zendo round 1 (training)
round_id : c3753fa753b64d998d2e61a8c26c180c
written  : 2026-09-04 22:56:29Z
presented=828  answered=0  correct=0  skipped=828
client answer latency: mean 0.077 ms  median 0.070 ms  max 1.018 ms  (n=828)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  Wordz         366127                                    None                                      0
   1  fennick       WKG.KW.WC.G.TWG..D..DK.CGK.TG.TD.TGD/K:…  None                                      0
   2  crandel       233/243/4                                 None                                      0
   3  quaich        GBRBGBBGRBRRBGRR                          None                                      0
   4  Wordz         144                                       None                                      0
   5  fennick       SSM.MS.LT.SF..GMM.L..T.GF.F.M.LGT.SLT/L…  None                                      0
   6  kelmar        ___Y___Y____Y___*____*____Y_____*_____*…  None                                      0
   7  fennick       TA.H.THW.GA.TAW.CH.G.CA.AGW..HG.A.CCG/G…  None                                      0
   8  LegoZendo     B12                                       None                                      0
   9  virel         35336/1                                   None                                      0
  10  virel         6654/1                                    None                                      0
  11  fennick       UEH.V..HP..EUC.H.UP.CH.VCE.P.EPU.UV/U:0…  None                                      0
  12  virel         46564/2                                   None                                      0
  13  LegoZendo     K2                                        None                                      0
  14  LegoZendo     U11                                       None                                      0
  15  virel         522553/1                                  None                                      0
  16  fennick       WB.D.B.WD.DR.CW.DB..WBB.R.BTC.DW.TRB/D:…  None                                      0
  17  crandel       243/643/2                                 None                                      0
  18  kelmar        ____*__*______Y__*_____*___Y____Y_____Y…  None                                      0
  19  Wordz         3323                                      None                                      0
  20  kelmar        __Y___*____Y____*_____*___*__*__Y__*__Y…  None                                      0
  21  quaich        RRRRGBGBGGGRGR                            None                                      0
  22  quaich        GBBGBGBGBRGRBBBG                          None                                      0
  23  Wordz         24143                                     None                                      0
  24  LegoZendo     O11                                       None                                      0
  25  Wordz         162                                       None                                      0
  26  quaich        BRBBRGBGRBRBGG                            None                                      0
  27  Wordz         2433                                      None                                      0
  28  fennick       FBB.FH..BV.HWB.HHF.V.VN..WVV.W.NN.WBH/B…  None                                      0
  29  quaich        RGRGGBBBGRRBRRBR                          None                                      0
  30  fennick       LRC.CR.L..CA.WRW.B.BL.R..BCB.C..W.AW/W:…  None                                      0
  31  crandel       630/322/3                                 None                                      0
  32  fennick       TUS.TT.RKS..TSU.UK.T.TR.RPU.U.S.PK.KU/U…  None                                      0
  33  crandel       243/632/4                                 None                                      0
  34  virel         365442/3                                  None                                      0
  35  virel         34433/4                                   None                                      0
  36  Wordz         231                                       None                                      0
  37  Wordz         46292                                     None                                      0
  38  Wordz         353524                                    None                                      0
