Centaur Zendo round 2 (training)
round_id : 4e2f563436974ccc8cdffcd28a12cfb4
written  : 2026-09-04 23:03:27Z
presented=474  answered=473  correct=0  skipped=1
client answer latency: mean 0.164 ms  median 0.103 ms  max 5.455 ms  (n=474)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  fennick       HWH.W.AC..DD.WL.LAA.DAL.A.HAD.CA.LHW/D:…  LAA                                       0
   1  Wordz         37264                                     the because to people that                0
   2  LegoZendo     G11                                       R                                         0
   3  virel         364245/4                                  453642                                    0
   4  Wordz         252334                                    toaboutoftheandthat                       0
   5  fennick       SUA.MAG..M.T.UA.AS..TMM.SU.G.MG.TTT.SAM…  5                                         0
   6  LegoZendo     Y10                                       O                                         0
   7  Wordz         354                                       the,about,that                            0
   8  kelmar        _____Y__Y___Y___*_______*__*___*___*__Y…  *___*___*__Y__Y                           0
   9  crandel       420/422/2                                 14                                        0
  10  LegoZendo     Z10                                       ZZZZZZZZZZ                                0
  11  fennick       DU.TF..MUD.M..D.MK.FTF.KKK.MU..K.DU/K:3…  KKK                                       0
  12  fennick       MF..VMR.VJR.MMP.J.PP..MM.RF.JR..P.VP/R:…  4                                         0
  13  quaich        RGRBBBGRRGBB                              R                                         0
  14  Wordz         234514                                    to the that about a that                  0
  15  virel         3555/7                                    5553                                      0
  16  crandel       232/533/233/2                             232533233                                 0
  17  quaich        BGRBGGGBRGGRRRRBBB                        R                                         0
  18  crandel       331/331/6                                 6                                         0
  19  virel         645/2                                     456                                       0
  20  quaich        RGGRRBRGGBBGRG                            B                                         0
  21  crandel       241/621/2                                 112246                                    0
  22  kelmar        ____Y__*__Y___*___Y____*__*__Y____Y____…  Y__*__Y___*___Y                           0
  23  Wordz         1225                                      10                                        0
  24  crandel       444/441/3                                 2                                         0
  25  LegoZendo     L8                                        20                                        0
  26  crandel       222/344/221/2                             0                                         0
  27  virel         25653/8                                   35652                                     0
  28  crandel       331/321/6                                 331-321                                   0
  29  kelmar        __*__Y___*___*___Y____*___Y____*_____Y_…  31                                        0
  30  fennick       BB..N..HHF.BKK.BN.NKG.G.GF..F..NH.FGG/B…  FGG                                       0
  31  crandel       244/521/3                                 5                                         0
  32  kelmar        __*_________Y___*__*__*____*__Y___Y__Y_…  27-30                                     0
  33  quaich        GBGGBBBGGBRRBG                            BBBBBBGGGGGGRR                            0
  34  fennick       HV.B..H.R.WWG.RB.V.G.HB..GR.BR..WG.VH/B…  14                                        0
  35  crandel       222/220/433/2                             222                                       0
  36  crandel       321/332/5                                 332                                       0
