Centaur Zendo round 2 (training)
round_id : 088e523885e74af683569835e6e61b74
written  : 2026-09-04 23:10:32Z
presented=645  answered=378  correct=0  skipped=267
client answer latency: mean 0.089 ms  median 0.067 ms  max 6.049 ms  (n=646)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  quaich        GGBBRBBBGRRGBBGRRB                        G                                         0
   1  quaich        RGBBRGGBRRBGGGRGRG                        G                                         0
   2  crandel       243/332/5                                 None                                      0
   3  LegoZendo     J3                                        M                                         0
   4  kelmar        __Y__*_____*___Y__Y___*__*_______*_____…  None                                      0
   5  fennick       AU.UL.V.A.UA..RP.P.PLV.R.L..UV.ARR.RU/P…  None                                      0
   6  crandel       344/230/6                                 None                                      0
   7  virel         6464/7                                    20                                        0
   8  crandel       243/221/4                                 None                                      0
   9  fennick       ANP.A.P.N.NNN.GA.B..NFB.G..GG.FP.AB/P:0…  None                                      0
  10  Wordz         363                                       the people the                            0
  11  Wordz         2216                                      to of a people                            0
  12  crandel       620/422/2                                 None                                      0
  13  Wordz         433                                       that,the,the                              0
  14  virel         262653/2                                  2                                         0
  15  Wordz         222                                       tototo                                    0
  16  quaich        RRGGRBGGRBRR                              R6 G4 B2                                  0
  17  fennick       BGU..F.MG.U..MF..GF.LB.UM.UB.L.G.LM/U:2…  None                                      0
  18  Wordz         33225                                     the\nthe\nto\nto\nabout                   0
  19  fennick       FFW..S.FW.SS..VL.L.SK.F.LV.SWL.FW.VLV/S…  None                                      0
  20  fennick       UCU..FRC.RBB.F..DU.UF.U.DB.D.CUC.RBF/R:…  None                                      0
  21  virel         536/1                                     356                                       0
  22  quaich        GGRRBBRRRRGRBB                            BBBBGGGRRRRRRR                            0
  23  quaich        RBGGRBRBGBGGBR                            R1B1G2R1B1R1B1G1B1G2B1R1                  0
  24  LegoZendo     Q8                                        I                                         0
  25  Wordz         1534                                      ["a", "about", "the", "that"]             0
  26  crandel       443/521/2                                 None                                      0
  27  crandel       244/631/3                                 None                                      0
  28  kelmar        ___Y_____*__Y__Y___*_______Y__Y__Y__*__…  None                                      0
  29  LegoZendo     I5                                        IIIII                                     0
  30  LegoZendo     L3                                        14                                        0
  31  kelmar        ___*___Y____*__Y__*__Y___*_______Y___Y_…  None                                      0
  32  quaich        RGGGBRGBGGRRRG                            RGBRGBGRG                                 0
  33  quaich        BBGRRRBRBGBG                              GBGBRBRRRGBB                              0
  34  quaich        BGRRGRBRGGGBGBGGBG                        RRBGGRRGR                                 0
  35  quaich        RBBRGRGBGBRRBBRB                          B                                         0
  36  virel         23436/3                                   2343623436                                0
  37  Wordz         4227                                      THAT TO TO BECAUSE                        0
  38  LegoZendo     D1                                        5                                         0
  39  virel         43244/6                                   ####\n###\n##\n####\n####                 0
  40  Wordz         251335                                    to other r run not their                  0
  41  kelmar        __*_____Y__Y__*___*__Y_______*___Y___Y_…  None                                      0
  42  LegoZendo     V11                                       231                                       0
  43  quaich        BRGGRBRRGGGRRGRB                          11                                        0
  44  LegoZendo     U3                                        use                                       0
  45  LegoZendo     D7                                        3                                         0
  46  quaich        RBGRBBRRBGGRGBGGGG                        R                                         0
  47  kelmar        __Y__*_____*__*____Y__Y__Y____Y______Y_…  None                                      0
  48  fennick       PU.LH..LG.PGG.CCG.C.U.PGH.HP.UU.UL.PU/P…  None                                      0
  49  quaich        RBRBGGRBBRGG                              4                                         0
  50  fennick       NN.CL.N.NLN..RD.R.RD.DB.BR.C.D.B.NB/N:1…  None                                      0
  51  LegoZendo     J3                                        ###                                       0
  52  fennick       VF.GL.LLE.GVV..FUV.UG.E.L.FGU.U.EE.UUV/…  None                                      0
  53  fennick       KS..B..BU.SW..U.WKP.UB.WP..S.KSK.BSU/K:…  None                                      0
  54  Wordz         5434                                      about that the that.                      0
  55  Wordz         3533                                      three five three three                    0
