Centaur Zendo round 1 (training)
round_id : 660669f4053945e3b7bad4e0c6b8012a
written  : 2026-09-05 02:57:25Z
presented=660  answered=0  correct=0  skipped=661
client answer latency: mean 0.091 ms  median 0.082 ms  max 1.443 ms  (n=661)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  dornic        2C 6H 6D JD QD KC\n3S 8H 8D 10H 10C       None                                      0
   1  kelmar        ..........................\n...........…  None                                      0
   2  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n......…  None                                      0
   3  wisbek        1:50\n11:05                               None                                      0
   4  kelmar        ...............................\n......…  None                                      0
   5  tresk         GRBRBB\nBBGRBBBBRB\nGGGGRBB               None                                      0
   6  tresk         RBRGRBR\nBGBBGB                           None                                      0
   7  kelmar        .............................\n........…  None                                      0
   8  dornic        7S 8C 9S KC KS\nAC 5D 9C 10S\n5C 9D QH …  None                                      0
   9  kelmar        ..............................\n.......…  None                                      0
  10  dornic        AD 2H 3S 7H\n2D 4H 6D 6C KD\n3D 5H 7S 9…  None                                      0
  11  tavrik        expert\nzoom                              None                                      0
  12  borsel        4 6 6 6\n5 5 3 6                          None                                      0
  13  kelmar        .............................\n........…  None                                      0
  14  wisbek        1:18\n5:41                                None                                      0
  15  tresk         GBRGBRGRB\nGBGRRBB\nBGRBGR                None                                      0
  16  dornic        5D 7D 10D JD\n5S 7C 8C 10H JC QH          None                                      0
  17  wisbek        3:15\n6:30\n8:10                          None                                      0
  18  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.....…  None                                      0
  19  borsel        3 5 5 1 1\n1 2 4 5 1                      None                                      0
  20  kelmar        ...............................\n......…  None                                      0
  21  tresk         RRGGGGRR\nGRBBRG\nRGRGRRGRGR              None                                      0
  22  tavrik        panama\nmommy\nkeeper                     None                                      0
  23  kelmar        ..............................\n.......…  None                                      0
  24  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  None                                      0
  25  dornic        3C 5H 8D 10C\n3H 4C 5S 6C 8C\n3D 4S 6D …  None                                      0
  26  tavrik        amazing\npizza                            None                                      0
  27  wisbek        3:22\n7:00\n11:14                         None                                      0
  28  tresk         RRBGGB\nRGRRRRB\nGRRRGRRRB                None                                      0
  29  dornic        2S 3C 6H 7C JD\nAD 2D 6C 6S 10H 10S\nAC…  None                                      0
  30  wisbek        9:10\n10:15\n12:25                        None                                      0
  31  kelmar        ...............................\n......…  None                                      0
  32  kelmar        ............................\n.........…  None                                      0
  33  kelmar        ...............................\n......…  None                                      0
  34  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n......…  None                                      0
  35  dornic        6C 8D 10D JD KD\n3H 6H 7S KH\n2H 4H 5C …  None                                      0
  36  dornic        AH 2D 3S 4D 5D 6D\n6H 9H 9C JH JC         None                                      0
  37  wisbek        3:00\n7:36                                None                                      0
  38  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n........…  None                                      0
  39  tavrik        essence\nflooded\neffect                  None                                      0
  40  tresk         RGGBRGBBRR\nGGGBBBR\nRGRRBR               None                                      0
  41  tresk         BBBRRR\nGRBGBGBGBR                        None                                      0
  42  kelmar        ...........................\n..........…  None                                      0
  43  dornic        2S 3S 5D 9C\n4D 8D QD KC\n4H 5C 8H JD Q…  None                                      0
  44  borsel        6 3 6 2 6\n5 5 5 4 4                      None                                      0
  45  wisbek        3:50\n6:05\n9:20                          None                                      0
  46  kelmar        ...........................\n..........…  None                                      0
  47  borsel        2 4 2 4 1\n2 4 2 4 4\n1 4 1 1 1           None                                      0
  48  dornic        2D 2C 4H 7C JH JC\n2H 2S 8D 8C 9D\n5C 6…  None                                      0
  49  dornic        2S 4S 5S 6D 8D 10C\n2H 5D 9H 10D\nAH 5C…  None                                      0
  50  dornic        3C 6H 6D 8S 9D\n5H 5D 7C JH JD\n7S 8C Q…  None                                      0
  51  wisbek        7:24\n11:36                               None                                      0
  52  dornic        AH 2D 2C 8D\n2S 4S 7S 9H\n6S 8H 9D KH KD  None                                      0
  53  wisbek        4:31\n7:28                                None                                      0
  54  tresk         GBBBGGGB\nRRBRRB\nGRRGRGRGR               None                                      0
  55  tavrik        early\noutrage                            None                                      0
  56  tavrik        vivid\ncool                               None                                      0
  57  tresk         GGBRRRRGG\nBBBRRBG                        None                                      0
  58  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.........…  None                                      0
  59  wisbek        4:15\n10:15\n12:25                        None                                      0
  60  kelmar        ............................\n.........…  None                                      0
  61  tresk         GGGGRGBB\nGRGRBGBGGB\nBGGGGRRGB           None                                      0
  62  kelmar        .............................\n........…  None                                      0
  63  kelmar        ................................\n.....…  None                                      0
  64  borsel        4 3 5 3 5\n3 2 3 2 2                      None                                      0
  65  wisbek        6:48\n12:36                               None                                      0
  66  wisbek        10:20\n11:19                              None                                      0
  67  dornic        AC 2S 10C QS\n2H 3H 7S 9C QD KH\n7C 9S …  None                                      0
  68  wisbek        3:12\n4:16\n12:48                         None                                      0
  69  wisbek        9:20\n11:30\n12:35                        None                                      0
  70  dornic        AC 6C 10D QC KD\n2D 3D 6S 8H 9H\n2C 4C …  None                                      0
  71  kelmar        ...........................\n..........…  None                                      0
  72  wisbek        6:50\n8:00\n9:05                          None                                      0
  73  tavrik        moon\npump\njeep                          None                                      0
  74  dornic        4S 5C 7S 8S 10S\nAH 3H 6H 6D 9D KD        None                                      0
  75  borsel        3 4 2\n3 3 3                              None                                      0
  76  dornic        3S 5C 7S QC\nAD 6D 9H JH KH\nAH 3H 7H KS  None                                      0
  77  borsel        3 5 3 5\n1 3 1 1                          None                                      0
  78  tresk         RBBGBRBBR\nRBBBBB                         None                                      0
  79  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  None                                      0
  80  tavrik        keen\nrabbit                              None                                      0
  81  tavrik        boot\ncent\nbetty                         None                                      0
  82  tresk         RRRRRGRG\nRGGGGG\nRBRRGGGGG               None                                      0
  83  tresk         BGBBBBR\nGRRBBBBGB\nRBGGRRRR              None                                      0
  84  tavrik        relaxed\nworked                           None                                      0
  85  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n........…  None                                      0
  86  dornic        3D 8D 8S QD\n3S 5C 5S 6H 9H JD\n3H 4S 8…  None                                      0
  87  borsel        2 1 6 1 3\n2 1 2 2 6                      None                                      0
  88  kelmar        ...........................\n..........…  None                                      0
  89  tavrik        ally\nmost\naccept                        None                                      0
  90  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.........…  None                                      0
  91  borsel        4 5 6\n6 5 6                              None                                      0
  92  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.........…  None                                      0
  93  wisbek        3:06\n4:08\n12:24                         None                                      0
  94  wisbek        1:11\n11:21                               None                                      0
  95  wisbek        10:40\n12:38                              None                                      0
  96  kelmar        ................................\n.....…  None                                      0
  97  wisbek        3:00\n7:50\n8:55                          None                                      0
  98  tresk         GBBBBRGB\nBBRRRRGGG                       None                                      0
  99  tresk         GRBBRG\nBGRBGBRGB\nGGGGGGG                None                                      0
 100  borsel        4 5 4 4 5\n5 4 6 5 6\n5 5 5 4 4           None                                      0
 101  wisbek        9:57\n11:39                               None                                      0
 102  kelmar        ...............................\n......…  None                                      0
 103  tavrik        illegal\nmanning\nissuing                 None                                      0
 104  tresk         BBBBRRBRG\nRRBGGGR\nRRBRRRGR              None                                      0
 105  kelmar        ............................\n.........…  None                                      0
 106  borsel        3 2 3 2\n4 2 1 3\n5 1 2 2                 None                                      0
 107  kelmar        ............................\n.........…  None                                      0
 108  dornic        2H 6H 7H 7S QH\n2D 3D 4D QC KH\n5C 8D 1…  None                                      0
 109  tresk         BRGRGGGGBB\nBGGBGGGBB                     None                                      0
 110  tavrik        optic\nautumn                             None                                      0
 111  tavrik        plaque\nexcel                             None                                      0
 112  kelmar        ...........................\n..........…  None                                      0
 113  dornic        4D 6C 9H QH QC QS\n2H 4C 4S 5S KH\nAH 8…  None                                      0
 114  tresk         GGGRRBGRR\nGRBGGG\nGRRGGBG                None                                      0
 115  dornic        2H 6S 8S 9H\n4H 7D 10H KC\n3H 5S 6H 10C…  None                                      0
 116  tavrik        abbey\ncity\nboss                         None                                      0
 117  wisbek        10:20\n11:19                              None                                      0
 118  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  None                                      0
 119  dornic        6C 10C QS KH\n3S 6S 8H 9D 10S JD\n2C 8C…  None                                      0
 120  tresk         BGBBBBGGGB\nGBGBBB                        None                                      0
 121  tavrik        trait\ndecided                            None                                      0
 122  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  None                                      0
 123  kelmar        ................................\n.....…  None                                      0
 124  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n........…  None                                      0
 125  borsel        3 6 4 4 6\n2 2 1 1 1                      None                                      0
 126  borsel        2 3 4 3 4\n2 6 6 3 6                      None                                      0
 127  borsel        3 3 3\n4 4 4                              None                                      0
 128  borsel        4 4 5 5\n5 4 5 6\n4 4 4 6                 None                                      0
 129  wisbek        4:08\n7:14\n8:16                          None                                      0
 130  kelmar        ................................\n.....…  None                                      0
 131  tavrik        uranium\ncaution                          None                                      0
 132  tresk         RRBBBGRRRR\nBGGGGBBRG\nBRRRRGRG           None                                      0
 133  tavrik        offer\nhappier\nadviser                   None                                      0
 134  tavrik        follow\nmeet                              None                                      0
 135  tavrik        inning\namazing\ncooking                  None                                      0
 136  dornic        2S 9S 10H QC\n2C 3C 8H 10D\nAH 5D 8C 10…  None                                      0
 137  borsel        4 2 5 3 4\n3 1 6 1 1                      None                                      0
 138  tresk         GGRGRRGG\nGRRGGGR\nBBBRRRBRB              None                                      0
 139  tavrik        eternal\nexpert                           None                                      0
 140  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n......…  None                                      0
 141  kelmar        ..............................\n.......…  None                                      0
 142  kelmar        ...........................\n..........…  None                                      0
 143  tresk         RRRGGGRRR\nGBGGBG\nBGGGRRGGGB             None                                      0
 144  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.......…  None                                      0
 145  wisbek        3:06\n4:08\n12:24                         None                                      0
 146  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.......…  None                                      0
 147  tavrik        ability\nusually\nbarry                   None                                      0
 148  kelmar        ...............................\n......…  None                                      0
 149  tresk         BRRRRR\nRGRRBRRB                          None                                      0
 150  dornic        3S 9C 10S QS KS\nAS 2C 3C 5C 7H\n6S 7C …  None                                      0
 151  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.........…  None                                      0
 152  kelmar        ..........................\n...........…  None                                      0
 153  wisbek        2:40\n6:10                                None                                      0
 154  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  None                                      0
 155  dornic        2C 3S 7C 8C 9D\n2D 5S 10H 10D 10S JS\n2…  None                                      0
 156  dornic        5H 7H 10H 10C\n2H 3H 8S QD KH             None                                      0
 157  kelmar        ............................\n.........…  None                                      0
 158  tavrik        fully\nmercury                            None                                      0
 159  tavrik        billion\neleven\nallan                    None                                      0
 160  kelmar        ............................\n.........…  None                                      0
 161  wisbek        10:20\n11:19                              None                                      0
 162  tresk         BRGGGBGG\nBGRGRGGGB\nGGBGGRG              None                                      0
 163  borsel        3 3 1 3\n1 4 1 4\n3 3 2 3                 None                                      0
 164  borsel        1 5 1 5 1\n2 4 1 2 4                      None                                      0
 165  tavrik        jewel\njeff                               None                                      0
 166  tresk         RBGRBRGBR\nGRBGBR\nRBRBGRB                None                                      0
 167  tavrik        degree\ntweet                             None                                      0
 168  wisbek        2:07\n3:08\n11:16                         None                                      0
 169  kelmar        ..........................\n...........…  None                                      0
 170  tavrik        attach\nfossil                            None                                      0
 171  tresk         GRBGGGG\nRRBBGBGGGG\nRRRRRGBG             None                                      0
 172  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~\n..........…  None                                      0
 173  tavrik        excess\njimmy\namazing                    None                                      0
 174  dornic        4C 4S 7C 9C 10H\n3H 3D 6C 10D 10S JH\n5…  None                                      0
 175  dornic        3C 4H 5H 7D 9D\nAS 2D 3S 9H\n3D 4S 8H 9C  None                                      0
 176  tresk         RBBBGGRG\nBBBGRG\nRRRBGRRRR               None                                      0
 177  borsel        1 2 1 1\n5 5 6 3                          None                                      0
 178  tavrik        sadness\nexecute\nattempt                 None                                      0
 179  tresk         BGBGGGGRGR\nBBBBGRBRR                     None                                      0
 180  kelmar        ...............................\n......…  None                                      0
 181  tavrik        robust\nbeam                              None                                      0
 182  wisbek        9:13\n10:57                               None                                      0
 183  kelmar        ..............................\n.......…  None                                      0
 184  tavrik        extra\ntexture                            None                                      0
 185  wisbek        3:49\n7:45\n8:35                          None                                      0
 186  tavrik        town\nhaven                               None                                      0
 187  dornic        2H 2D 6D 6S\n5D 5C 7S JS KC\n4C 5S 9S KS  None                                      0
 188  tresk         RBBRRGGBBG\nRBBGGGG                       None                                      0
 189  dornic        5S 7H 8C KD\n3C 5D 8H 9H 10H\n2C 5H 9D …  None                                      0
 190  dornic        5C 6H 9S 10H JC QH\n2H 3H 8D 10D\n3C 4C…  None                                      0
 191  kelmar        ...............................\n......…  None                                      0
 192  tavrik        reverse\nlogging                          None                                      0
 193  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.........…  None                                      0
 194  tresk         GRRRRRB\nBRGGGGGR                         None                                      0
 195  borsel        5 3 6 6\n6 5 5 6\n5 5 5 4                 None                                      0
 196  wisbek        3:00\n11:12                               None                                      0
 197  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n......…  None                                      0
 198  kelmar        ..........................\n...........…  None                                      0
 199  dornic        AD 3D 6D 8C 9H\n5S 7H 9S KD\n3C 4C 7C 8…  None                                      0
 200  borsel        4 2 2 3 2\n1 4 4 3 1\n3 2 4 4 3           None                                      0
 201  tresk         GGRBGB\nGRGGRRRBGG                        None                                      0
 202  kelmar        ...........................\n..........…  None                                      0
 203  borsel        4 1 3 2\n2 2 5 1\n2 3 3 2                 None                                      0
 204  borsel        1 2 2\n3 5 6                              None                                      0
 205  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  None                                      0
 206  kelmar        ..........................\n...........…  None                                      0
 207  dornic        AC 4C JS KD KS\n2S 6D 8C 9C JD KH\nAS 2…  None                                      0
 208  tresk         BGRGGG\nRBGRGBGBR                         None                                      0
 209  tavrik        bell\nknot\naccept                        None                                      0
 210  tresk         RGRRBGGGB\nGRGGRB                         None                                      0
 211  tresk         GRBBBBB\nGGGGGRRRGR                       None                                      0
 212  tresk         GGGGRG\nGRGGGGG\nRGGGGGBB                 None                                      0
 213  wisbek        2:02\n11:11                               None                                      0
 214  tresk         GRRGRRB\nRGGGGRBB\nGBRRBR                 None                                      0
 215  borsel        2 6 5\n5 5 2                              None                                      0
 216  dornic        3S 6S 7S JS QC\nAC 5H 7C 10C\nAD 2C 6C …  None                                      0
 217  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  None                                      0
 218  borsel        4 1 1 3 1\n1 2 1 3 1                      None                                      0
 219  kelmar        ..........................\n...........…  None                                      0
 220  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.......…  None                                      0
 221  tavrik        oppose\nbarrier\npanama                   None                                      0
 222  dornic        AC 3C 4S 8H\nAH 6S 10D QD KD\n7H 8C QH …  None                                      0
 223  dornic        AC 3C 5H 8H 9S KH\n5D 7D QD KC\n3H 9C 1…  None                                      0
 224  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.....…  None                                      0
 225  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  None                                      0
 226  wisbek        2:55\n7:50\n9:00                          None                                      0
 227  borsel        4 4 6 4 6\n6 5 1 6 5\n6 3 3 6 6           None                                      0
 228  kelmar        .............................\n........…  None                                      0
 229  wisbek        3:35\n5:15\n9:35                          None                                      0
 230  kelmar        ................................\n.....…  None                                      0
 231  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n........…  None                                      0
 232  kelmar        .............................\n........…  None                                      0
 233  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.....…  None                                      0
 234  tresk         GGRGGGG\nBGBGGBBB                         None                                      0
 235  tresk         BGGRGRRRR\nBRRRRBBBRG\nGBBBBRR            None                                      0
 236  kelmar        .............................\n........…  None                                      0
 237  tavrik        initial\nreferee\nexceed                  None                                      0
 238  wisbek        10:50\n11:49                              None                                      0
 239  dornic        5C 6C 8C QS\n2C 2S 3S 4D 9C QC\n7C 9D 1…  None                                      0
 240  kelmar        ................................\n.....…  None                                      0
 241  kelmar        ...............................\n......…  None                                      0
 242  dornic        7D 7S JH JD JS\n3H 4S 5H QH KH KS\n6H J…  None                                      0
 243  tavrik        babe\npeer                                None                                      0
 244  tresk         GBGBGBG\nGBRBBRBG\nRBRRBR                 None                                      0
 245  kelmar        ............................\n.........…  None                                      0
 246  wisbek        1:00\n7:30\n8:35                          None                                      0
 247  wisbek        9:49\n10:50                               None                                      0
 248  tresk         GRGGGGRGBR\nBGBGBGR                       None                                      0
 249  dornic        AD 3D 8S 10C\n5H 8H 8C 9S 10D\nAC 2C 2S…  None                                      0
 250  kelmar        ............................\n.........…  None                                      0
 251  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  None                                      0
 252  tresk         GRRRBB\nBRRRRBB                           None                                      0
 253  dornic        6D 7H 9D 10H\nAD 7S 10S JS QH\n4S 5C 7D…  None                                      0
 254  tavrik        fishing\nspring                           None                                      0
 255  kelmar        ................................\n.....…  None                                      0
 256  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  None                                      0
 257  tavrik        floor\nfirst\nbell                        None                                      0
 258  wisbek        4:05\n7:50\n8:55                          None                                      0
 259  kelmar        ............................\n.........…  None                                      0
 260  tavrik        keeper\nbobby\nbanana                     None                                      0
 261  kelmar        ............................\n.........…  None                                      0
 262  borsel        5 4 6 4\n5 4 5 4\n5 5 5 4                 None                                      0
 263  borsel        6 3 3 3 6\n4 5 5 5 5\n5 4 3 5 6           None                                      0
 264  borsel        2 2 1 3\n1 2 1 2\n1 1 1 3                 None                                      0
 265  tavrik        alley\nreef                               None                                      0
 266  dornic        4D 5S 6H 7S\nAC 3S 7H QS\n3D 5H 8C 9S J…  None                                      0
 267  kelmar        .............................\n........…  None                                      0
 268  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.......…  None                                      0
 269  kelmar        ..............................\n.......…  None                                      0
 270  wisbek        2:35\n9:10\n11:17                         None                                      0
 271  tavrik        apply\nprep\nbass                         None                                      0
 272  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~\n..........…  None                                      0
 273  borsel        6 5 5 5 6\n2 6 2 6 6                      None                                      0
 274  wisbek        10:28\n12:46                              None                                      0
 275  tavrik        banana\nboot\nbedroom                     None                                      0
 276  kelmar        ..........................\n...........…  None                                      0
 277  tavrik        pulp\nerase                               None                                      0
 278  tresk         RRRGRGR\nGRBRRRRGGG\nRBRRRR               None                                      0
 279  kelmar        ...............................\n......…  None                                      0
 280  kelmar        ...........................\n..........…  None                                      0
 281  borsel        1 1 1 4\n4 2 1 2\n2 1 2 1                 None                                      0
 282  tavrik        lily\nlava                                None                                      0
 283  tresk         BGBRBBRBG\nBBBGBB                         None                                      0
 284  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.........…  None                                      0
 285  wisbek        7:30\n8:35\n10:45                         None                                      0
 286  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.........…  None                                      0
 287  borsel        3 4 4\n4 6 4                              None                                      0
 288  kelmar        ............................\n.........…  None                                      0
 289  dornic        8H 9H 10H QD\n3C 5D 7H 10D 10C            None                                      0
 290  kelmar        ...............................\n......…  None                                      0
 291  wisbek        3:48\n12:12                               None                                      0
 292  tresk         BRRBBRBBR\nGGBGBBBBBG                     None                                      0
 293  tavrik        radar\ndried                              None                                      0
 294  kelmar        .............................\n........…  None                                      0
 295  dornic        3S 5D 5C 7S\n3C 6S 8C JC KH\n6C 7C 9C 1…  None                                      0
 296  kelmar        ..........................\n...........…  None                                      0
 297  borsel        3 3 3\n4 4 4                              None                                      0
 298  kelmar        ............................\n.........…  None                                      0
 299  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  None                                      0
 300  tresk         GGGGGBBBBB\nBRBRBR\nRGRGGGRG              None                                      0
 301  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  None                                      0
 302  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n........…  None                                      0
 303  tresk         RGBGBBG\nRGGGBGBBBB\nRBBRBG               None                                      0
 304  borsel        6 4 6 6\n4 6 5 4\n5 4 5 4                 None                                      0
 305  kelmar        ..........................\n...........…  None                                      0
 306  wisbek        10:44\n11:11                              None                                      0
 307  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  None                                      0
 308  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  None                                      0
 309  dornic        4H 6D 7D 7C 9D\nAD 3H 9S 10D QD\n2H 2S …  None                                      0
 310  wisbek        2:35\n7:30\n9:10                          None                                      0
 311  dornic        2S 3D 5D KC\n2C 3C 4S 6S\n2D 3S 7H 8S QS  None                                      0
 312  wisbek        8:24\n11:33\n12:36                        None                                      0
 313  kelmar        ...............................\n......…  None                                      0
 314  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n......…  None                                      0
 315  wisbek        1:11\n3:13\n12:22                         None                                      0
 316  wisbek        4:30\n6:40\n7:30                          None                                      0
 317  wisbek        3:00\n11:22                               None                                      0
 318  wisbek        2:25\n9:00\n10:05                         None                                      0
 319  dornic        3H 4D 7S 9S\nAS 3C 4S 8C 10S KS           None                                      0
 320  tavrik        wing\nwindow                              None                                      0
 321  dornic        2D 5C 7D 8C\nAC 3C 9D JH\n4C 4S 6H 7S QC  None                                      0
 322  tavrik        banker\npink                              None                                      0
 323  wisbek        8:06\n10:15                               None                                      0
 324  kelmar        .............................\n........…  None                                      0
 325  dornic        AH 2D 8H 9S JC\nAC 7D 9H JS\n3H 5D 8D Q…  None                                      0
 326  kelmar        ............................\n.........…  None                                      0
 327  wisbek        3:15\n11:33                               None                                      0
 328  borsel        3 3 3 3 3\n5 5 5 5 5                      None                                      0
 329  kelmar        .............................\n........…  None                                      0
 330  borsel        5 5 5\n4 4 4                              None                                      0
 331  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.......…  None                                      0
 332  kelmar        ..........................\n...........…  None                                      0
