Centaur Zendo round 2 (training)
round_id : b08c950cf6a04c4f87235ba2a169cf35
written  : 2026-09-05 03:16:52Z
presented=379  answered=360  correct=75  skipped=20
client answer latency: mean 0.305 ms  median 0.267 ms  max 1.178 ms  (n=380)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  0
   1  borsel        5 6 5 6\n2 6 6 5\n1 6 6 6                 5 6 5 6                                   0
   2  dornic        AD 2H 4C 7S 9H\n3D 5H QD KS\nAS 9C 10S …  AD 2H 4C 7S 9H                            0
   3  kelmar        .............................\n........…  ...||||||...|||..||||||.|||..\n...|||||…  0
   4  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><><…  0
   5  dornic        3S 5H 7C 9S QH\n2D 8H 9D QS KH KS\nAC 3…  3S 5H 7C 9S QH                            0
   6  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><>…  0
   7  kelmar        ................................\n.....…  ||||||||||||||||||||||||||||||||\n|||||…  0
   8  dornic        3H 4S 5C 7S 9S KS\n2D 6S JC JS\nAH AC 8…  3H 4S 5C 7S 9S KS                         0
   9  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><>…  0
  10  dornic        AC 5H 6C 7D 8H\n2S 3C 10S QC KS\nAS 5D …  AC 5H 6C 7D 8H                            0
  11  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.....…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.....…  1
  12  borsel        3 5 1 3\n3 2 4 3\n3 4 1 4                 3 5 1 3                                   0
  13  borsel        3 3 3 3\n4 2 3 3                          3 3 3 3                                   0
  14  wisbek        1:34\n9:26                                1:34                                      0
  15  borsel        4 4 2\n1 2 2                              4 4 2                                     0
  16  dornic        3H 3D 3C 5D 7D 8H\nAC 2H 6C 10H\n4C 6D …  3H 3D 3C 5D 7D 8H                         0
  17  dornic        6D 6S QS KD\n7H 10S JS KH\n2H 2C 2S 3S …  6D 6S QS KD                               0
  18  borsel        3 6 3 3 3\n4 3 2 3 3                      3 6 3 3 3                                 0
  19  dornic        2H 3H 7C 8H 8S\nAH 6H 7H 9H\n4H 6C 9D KS  2H 3H 7C 8H 8S                            0
  20  tresk         RGBGRGRRR\nGGRRRRGR\nRRRBRRG              RGBGRGRRR                                 0
  21  tresk         BRGRBRBGBG\nBRGBRGB\nGBRBRBRGB            BRGRBRBGBG                                0
  22  dornic        AD 2H 7D 10H\n9D 9C 10S KD\n2C 4D 8D 9H…  AD 2H 7D 10H                              0
  23  wisbek        1:34\n7:28                                1:34                                      0
  24  tavrik        toward\ndefend                            toward                                    0
  25  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><>…  0
  26  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  0
  27  wisbek        5:41\n10:23                               5:41                                      0
  28  kelmar        ...........................\n..........…  ..|||..|||..|||||||||.|||..\n..|||..|||…  0
  29  borsel        3 3 3 3 3\n4 4 4 4 4                      3 3 3 3 3                                 0
  30  tavrik        jeans\nexecute                            jeans                                     0
  31  kelmar        ................................\n.....…  ...''.'''.''.''''.'''.''.''.....\n...''…  0
  32  wisbek        2:43\n5:34                                2:43                                      0
  33  dornic        9D 9C 10S KD\n2S 5D 7D JS QD\n3H 7H 8H …  5D 6H 8D 9H QH                            0
  34  tresk         BGGGBRRGRR\nBBRGRG\nRGRRBBGGB             BGGGBRRGRR                                0
  35  tavrik        equally\ncoffee\nfinally                  equally                                   0
  36  tresk         BGGBBBGGB\nBRRRRB\nRGBBBBGR               BGGBBBGGB                                 0
