Centaur Zendo round 3 (training)
round_id : 0320145ad81446ffbc225787ef9b5226
written  : 2026-09-05 03:24:50Z
presented=385  answered=354  correct=93  skipped=31
client answer latency: mean 0.406 ms  median 0.366 ms  max 1.474 ms  (n=385)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  tresk         RBGBGBGB\nRBGRGBRGBG                      GRGRBG                                    1
   1  borsel        4 6 4 6 6\n6 6 3 4 5                      3 3 3 3 6                                 0
   2  wisbek        10:30\n11:29                              1:00                                      0
   3  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.......…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.......…  0
   4  dornic        AS 3S 4D 5D QD\n2C 10H QH QS              AC 3C 4H 5H QH                            0
   5  borsel        4 6 6\n5 4 4                              6 6 4                                     0
   6  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.....…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.....…  0
   7  tavrik        output\noffice\nimpress                   expert                                    1
   8  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n........…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n........…  0
   9  kelmar        ...........................\n..........…  ..'''.........'''..........\n..'''.....…  0
  10  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  0
  11  dornic        3C 4H 5H 7D 9D\n3S 8H 8C 10S KH\n3H 3D …  3S 4D 5D 7H 9H                            0
  12  tavrik        knot\nbelly\nboot                         betty                                     1
  13  tresk         GBRBRGBBB\nRBBRRBRGBB\nBBRBBGGB           BBBGRBRBG                                 0
  14  wisbek        2:28\n4:19                                None                                      0
  15  tavrik        begin\nmoss                               cent                                      1
  16  wisbek        6:12\n8:16\n12:24                         2:04                                      1
  17  wisbek        2:07\n3:08\n11:16                         1:00                                      0
  18  tresk         GRGBGRG\nBRRGRBBBGB                       BGBBBRGRRB                                0
  19  kelmar        ................................\n.....…  ...."""........"""......."""....\n...."…  0
  20  dornic        4H 6S 9S 10C JH JC\n2S 5D 7C JD QD\n2H …  2C 6H 6D JD QD KC                         0
  21  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><><…  0
  22  tresk         BGGBBB\nGBGBGGBB\nBBGBRBG                 GBGBBB                                    0
  23  borsel        3 6 3 3 5\n2 4 4 4 4\n6 6 3 6 6           5 3 3 6 3                                 0
  24  tresk         RGRBGRRR\nGBRRRRR                         RRRRRB                                    1
  25  tavrik        cereal\njail                              eternal                                   1
  26  wisbek        9:17\n10:26                               1:00                                      0
  27  wisbek        2:30\n3:35\n6:50                          None                                      0
  28  kelmar        ...........................\n..........…  ...|||....|||||.|||.|||....\n...|||....…  0
  29  tavrik        await\nending                             amazing                                   1
  30  wisbek        2:38\n11:56\n12:28                        1:48                                      1
  31  kelmar        ...............................\n......…  .....|||...|||..|||.|||.|||....\n.....|…  0
  32  tresk         GGRBBR\nGGGBGGRG                          RBBRGG                                    0
  33  kelmar        ...............................\n......…  ..||||||.........|||...........\n..||||…  0
  34  tresk         BGBRGB\nGRGRGBRGR                         GRGBRG                                    0
  35  dornic        5H 7H 7C QD\n5D 6D 8S 9D\n5S 9C 10D 10C…  5D 7D QD KC                               0
  36  borsel        2 3 2 2\n1 4 2 2\n1 2 1 2                 1 1 2 2                                   0
  37  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.......…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.......…  0
  38  borsel        6 5 3 5 4\n4 5 3 5 3\n6 6 4 3 3           3 3 3 3 4                                 1
  39  wisbek        7:07\n11:11                               2:02                                      1
  40  tavrik        exceed\nzoom\namazed                      None                                      0
  41  tavrik        mass\nkeen\nkirk                          mommy                                     1
  42  wisbek        10:50\n12:48                              1:59                                      1
  43  tresk         BGBGBRRGRG\nGGGGGBGR\nGBGRRR              GGGBGR                                    0
  44  dornic        AH 3D 10C JD QH\n2H 3S 6S 8S JH KS\nAC …  AD 3H 10S JH QD                           0
  45  dornic        2D 2C 3D 10H\n4S 5C 6S 9C QS\nAD 4H 7D …  2H 2S 3H 10D                              0
  46  dornic        2C 7H 7S 8D JH QS\nAH 5S 9C JC KC         2C 6H 6D JD QD KC                         0
  47  wisbek        5:20\n6:25\n9:40                          2:05                                      1
  48  wisbek        3:06\n4:08\n12:24                         2:04                                      1
  49  tavrik        buzz\nfist\naccept                        boot                                      1
  50  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.....…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.....…  0
  51  wisbek        2:08\n10:40\n11:44                        1:04                                      1
  52  wisbek        2:07\n3:08\n11:16                         1:00                                      0
  53  dornic        4C 10C JH JC\nAH 2H 3H 9C JS KD\n4D 5C …  2D 3D 4D QC KH                            0
  54  tresk         GBRGRBGR\nBGRGBRBRGR\nGBGRBRB             GRBGRB                                    1
  55  tresk         RRRRGG\nGBRRBRRG\nRGRRGRG                 GGRRRR                                    0
  56  kelmar        ...........................\n..........…  .....|||...........|||.....\n.....|||..…  0
  57  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  0
  58  borsel        3 3 6 3\n5 6 1 6                          3 6 3 3                                   0
