Centaur Zendo round 4 (training)
round_id : a5dd0654f2c94d3cb0bc010adf43bbf3
written  : 2026-09-05 03:26:41Z
presented=364  answered=344  correct=113  skipped=20
client answer latency: mean 0.445 ms  median 0.364 ms  max 2.881 ms  (n=365)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  dornic        2C 5C 7D KS\n2D 3S 5D 6D\nAD AS 3H 3D 4…  2S 5S 7H KC                               1
   1  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n......…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n......…  0
   2  wisbek        8:55\n9:00\n12:15                         2:25                                      1
   3  dornic        2D 5D 6H 7D JS\nAH 3D 8C JH\n2H 10H QC …  2H 5H 6D 7H JC                            0
   4  dornic        2S 7D 7C QS KC KS\nAC 6C 9H JD JS KH\n4…  2C 7H 7S QC KC KS                         0
   5  borsel        2 5 3 6 5\n1 4 4 5 4                      1 2 5 5 5                                 0
   6  tavrik        somehow\nalways                           worked                                    1
   7  borsel        4 3 2 4 5\n5 2 3 3 4\n3 3 2 4 4           2 3 3 4 4                                 0
   8  wisbek        3:35\n5:25                                1:11                                      0
   9  dornic        2H 2C 2S 9D\nAC 5C 6C 6S 9S\n5S 7S 8D 9H  2D 2C 2S 9H                               0
  10  dornic        2S 3D 5C 8D 9S 10D\n3C 4C 7C 8H JH        2C 3H 5S 8H 9C 10H                        0
  11  wisbek        6:40\n12:13                               1:01                                      0
  12  dornic        8D 9D 10C JH\n3C 4C 9S 10S QC\n6H 9C JS…  8H 9H 10S JD                              0
  13  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  0
  14  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  1
  15  kelmar        ............................\n.........…  ......|||...........|||.....\n......|||…  0
  16  tresk         RGGGGG\nBBBBBGR                           RBBBBB                                    0
  17  borsel        3 5 5 6 5\n5 5 5 5 5                      3 3 3 5 5                                 0
  18  wisbek        3:35\n6:14\n12:08                         1:02                                      0
  19  dornic        2H 3S 4H 5H 8C JC\n3H 7H 7D 9H            2D 3C 4D 5D 8S JS                         0
  20  borsel        5 5 5 3 6\n6 5 6 6 6                      6 5 5 5 6                                 1
  21  tresk         RRBBBGR\nGGGGRBBBR\nRRBBBGGB              GGGRBB                                    0
  22  tresk         GGGGRRG\nGBRRGGGGRR\nBGBGGRGRG            GRGRBGBGGB                                0
  23  kelmar        ................................\n.....…  .......|||.............|||......\n.....…  0
  24  kelmar        ............................\n.........…  ......|||...........|||.....\n......|||…  1
  25  borsel        3 3 3\n5 5 5                              None                                      0
  26  wisbek        3:58\n4:48                                7:36                                      1
  27  wisbek        5:00\n6:05\n12:35                         9:20                                      1
  28  borsel        2 1 1\n1 1 1                              2 2 1                                     1
  29  tavrik        admit\nugly                               outrage                                   1
  30  wisbek        2:53\n9:17                                1:07                                      0
  31  tresk         RRBBRG\nBBRBRGRGRR\nRRBRRRG               GGRRRR                                    0
  32  tresk         GBGBGBG\nRGGGGR\nBGRBBRGB                 RBRGRBR                                   0
  33  kelmar        ............................\n.........…  None                                      0
  34  kelmar        ...............................\n......…  ......|||.............|||......\n......…  0
  35  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n........…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n........…  0
  36  borsel        2 2 2 6\n5 3 2 3                          2 2 2 5                                   0
  37  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  1
  38  tavrik        kitty\ngreen                              expert                                    0
  39  wisbek        2:44\n5:11                                1:44                                      1
  40  tresk         GGGRRGGG\nRBRRRRRBR\nBGRRGB               GGGGGG                                    0
  41  tresk         BRRRRBBRR\nRRGRRRRGRR\nBGBBBG             RRGGGGRR                                  1
  42  wisbek        4:30\n8:00                                1:18                                      0
  43  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  0
  44  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.........…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.........…  0
  45  tresk         BBBBRBBGBG\nBRRGBGG                       GGGGGG                                    0
  46  dornic        5H 7H 10H 10C\n3H 3C 5D 8S\n6H 9H 9C JH…  5D 7D 10D 10S                             0
  47  borsel        2 2 3\n2 1 2                              None                                      0
  48  borsel        3 4 6 3\n6 3 6 6\n3 3 3 5                 5 5 3 6                                   1
  49  wisbek        8:05\n11:47                               12:37                                     1
  50  tresk         GRBBGRBBRR\nRGGBRGRBB\nBRGBGRB            GGRBRRBRGG                                0
  51  tavrik        defense\ninitial                          sadness                                   1
  52  borsel        3 5 2 2 1\n4 3 2 4 3                      1 1 2 2 3                                 0
  53  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  0
  54  kelmar        ...........................\n..........…  ..."""......"""......"""...\n..."""....…  0
  55  wisbek        6:52\n9:34                                1:01                                      0
  56  tavrik        accent\nbent\nfill                        boot                                      1
  57  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.......…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.......…  0
  58  tavrik        poll\ntweet\nbulb                         mommy                                     1
  59  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n......…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n......…  0
  60  wisbek        3:28\n10:35\n12:37                        5:30                                      1
  61  tresk         GRGBBBB\nBBBBRGGGB\nRRRRGB                GGGGBB                                    0
  62  tavrik        kick\npepper                              zoom                                      1
  63  dornic        5H 9D 9S 10D JD JC\n5S 7C 8S 9C QD        5D 9H 9C 10H JH JS                        0
  64  dornic        AS 5D 6D 7D 8C 10H\n6C 8H JH QD\n5H 6H …  AC 5H 6H 7H 8S 10D                        0
  65  tresk         BGRGBRBGBR\nRBGRGBR\nGBRBGR               BGRBGBRGB                                 1
  66  dornic        2H 4S 5D 6D\n4D 5S 6C 7D 9H\n2D 3S 6H 6…  2D 4C 5H 6H                               0
  67  kelmar        .............................\n........…  ......|||...........|||......\n......||…  1
  68  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.....…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.....…  1
  69  tavrik        statute\nswiss                            mommy                                     1
  70  dornic        7C 8H 10H 10C\nAD 4H 5C JD\n3C 4D 6C JH…  7S 8D 10D 10S                             1
  71  borsel        2 3 6 3 1\n1 5 5 3 1                      3 1 5 5 1                                 0
  72  borsel        2 2 4 4 4\n3 2 4 2 2\n4 3 4 1 1           2 4 2 4 4                                 0
  73  borsel        2 4 3 4 3\n4 3 3 6 5\n4 6 3 4 6           3 6 4 4 6                                 0
  74  kelmar        ................................\n.....…  None                                      0
  75  borsel        4 2 3 4\n6 3 3 3                          4 2 4 3                                   0
  76  tresk         GRGGGRB\nRGRGGRRBBG\nRBGGBG               GGGGGG                                    0
  77  borsel        2 2 2 2\n4 4 4 4                          None                                      0
  78  tavrik        mixture\npizza                            plaque                                    1
  79  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  0
  80  tresk         RGBBGBRBRG\nBRBRGG\nRRBRGGG               GBRGBRGRB                                 1
  81  tresk         RGBRBGBGB\nGBRGRBGBRB\nRBGRBGB            GRBGBRB                                   0
  82  tresk         GGGRGB\nRBBRGGBGR                         BGRBGR                                    0
  83  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n........…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n........…  0
  84  wisbek        9:48\n11:12                               7:00                                      1
  85  wisbek        1:36\n12:47                               7:42                                      1
  86  dornic        4H 4S 6H 6S 9D QS\nAC JC QC KC            4D 4C 6D 6C 9H QC                         0
  87  wisbek        1:31\n2:32\n10:40                         1:01                                      0
  88  tresk         RRGGRR\nGBGGRRGGBG\nBGRBGBRGB             GGGGGG                                    0
  89  borsel        6 6 4 6 6\n1 1 2 1 1                      1 1 4 1 1                                 1
  90  borsel        3 5 3 3 2\n4 4 4 2 2                      2 2 5 5 2                                 0
  91  dornic        6S 7H 8D 10H JD JC\n5H 5C 7S 8H 10C\n8S…  6C 7D 8H 10D JH JS                        0
