Centaur Zendo round final (final)
round_id : 56c84b60f56d46b2b367682a333c4622
written  : 2026-09-05 03:30:32Z
presented=2275  answered=2225  correct=863  skipped=50
client answer latency: mean 0.451 ms  median 0.346 ms  max 24.069 ms  (n=2275)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  wisbek        1:36\n7:42                                None                                      0
   1  kelmar        ...........................\n..........…  ............'''............\n..........…  0
   2  dornic        4H 5H 6S 7H\n4C 9D 10C QC KH              4D 5D 6C 7D                               1
   3  borsel        3 1 4 1\n1 2 1 2\n1 2 4 2                 1 3 1 4                                   0
   4  dornic        2D 2S JH QS\nAD AS 2H 4D QC\n4C 5S 8D 1…  2H 2C JD QC                               0
   5  borsel        6 6 2 5\n6 4 6 4\n6 6 1 6                 6 1 4 6                                   0
   6  tresk         BGGGRRGGGB\nBRRBRRB\nGGBBGG               RBRGRBR                                   0
   7  tresk         RGGBGBGGGB\nGRBBBBB                       GGGGRBB                                   0
   8  wisbek        3:12\n8:07                                1:50                                      0
   9  kelmar        ..............................\n.......…  ....###.......###.......###...\n....###…  0
  10  wisbek        7:00\n11:33                               None                                      0
  11  wisbek        1:55\n5:33\n8:30                          1:50                                      0
  12  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  0
  13  tavrik        dull\nerror\nanal                         zoom                                      1
  14  dornic        4S 5C JS KS\n3H 4D 5H 9S JH\nAH 8C 9D KD  4C 5S JC KC                               1
  15  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n......…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n......…  0
  16  tresk         GBBBBGGRR\nGGBBRGGR\nBBGGRG               GRBRBB                                    0
  17  borsel        2 4 2 4\n4 4 1 3\n2 2 1 4                 1 1 4 3                                   1
  18  borsel        5 5 5 2\n4 3 5 5                          2 5 5 5                                   0
  19  tavrik        billy\nbark\nbooking                      expert                                    0
  20  tresk         GBGRRRRGBG\nBBRGRBB                       RBRGRBR                                   0
  21  wisbek        4:28\n11:55                               1:50                                      0
  22  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.....…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.....…  0
  23  wisbek        8:24\n11:33\n12:36                        5:15                                      1
  24  tresk         GGGRGBBBBB\nGRRRBG\nGGGRRRGR              GRBRBB                                    0
  25  wisbek        1:26\n3:28\n10:35                         11:36                                     1
  26  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n......…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n......…  0
  27  kelmar        ..........................\n...........…  .....|||..........|||.....\n.....|||...…  1
  28  tavrik        expand\nwrapped\nindeed                   flooded                                   1
  29  dornic        AS 6H 8H 10S QH KH\nAH 2C 5C JH\n2D 4C …  AC 6D 8D 10C QD KD                        0
  30  borsel        3 4 3 3 4\n6 3 6 6 6\n3 6 4 6 3           3 3 3 4 3                                 1
  31  dornic        2S 6S 9S 10D\n3H 7D 8D 9D 9C JD           2C 6C 9C 10H                              0
  32  wisbek        3:13\n11:21                               10:20                                     1
  33  kelmar        ..............................\n.......…  ....:::.......:::.......:::...\n....:::…  0
  34  dornic        AD AS 3H 3C 5D 6D\n5S 7D 10C JS KS\n7C …  AH AC 3D 3S 5H 6H                         1
  35  kelmar        ..............................\n.......…  ..............'''.............\n.......…  0
  36  tresk         RBGRRGBR\nBBBBBBBBBB                      RBRGRBR                                   1
  37  borsel        6 5 3 5\n3 3 6 3\n5 4 4 5                 3 3 3 4                                   0
  38  borsel        1 5 3 1 1\n1 3 3 2 2                      1 1 1 5 3                                 0
  39  borsel        2 1 1 1\n2 1 1 3                          2 1 3 3                                   1
  40  tavrik        noon\nglowing                             essence                                   1
  41  dornic        AD 5H 6D 7H\n3C 9H JD QS KS\n3S 4C 6H 9…  AH 5D 6H 7D                               0
  42  dornic        5D 9S JC KH\n3C 7S 8C JS\n5H 8H 10H JD …  5H 9C JS KD                               0
  43  tresk         BRRRBBRRRB\nGRGGRG\nBBRGRGRBB             BGBBGB                                    0
  44  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  0
  45  tavrik        earl\nasset                               amazing                                   1
  46  borsel        3 1 4 1 1\n3 2 3 2 2\n3 3 1 2 4           3 1 1 1 2                                 0
  47  tavrik        essence\nreferee\nbanana                  panama                                    1
  48  wisbek        4:37\n6:55                                1:50                                      0
  49  tresk         BRGGBR\nBGGRGBRBGR\nBRGRBGBR              GBRGBRGRB                                 1
  50  tavrik        herb\nboard                               early                                     0
  51  borsel        2 2 3 1\n3 2 2 2\n1 2 4 2                 1 1 1 2                                   1
  52  kelmar        ..............................\n.......…  ..............'''.............\n.......…  0
  53  dornic        AC 6H 7C 9H JH\n2D 3C 4S 5D 8D\n4D 7D 9…  AS 6D 7S 9D JD                            1
  54  borsel        4 4 6 6\n6 4 6 3\n6 6 6 1                 1 6 3 6                                   0
  55  tavrik        kick\nkeep\nloss                          zoom                                      1
  56  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  1
  57  tavrik        believe\nabusive\noutlook                 outrage                                   1
  58  dornic        6C 10D QS KH KS\nAC 3S 4C 7H\n5C 7S 8D …  6S 10H QC KD KC                           1
  59  tavrik        chips\nswept\nblow                        early                                     0
  60  borsel        2 1 3\n1 1 4                              None                                      0
  61  kelmar        ..........................\n...........…  .....|||..........|||.....\n.....|||...…  0
  62  wisbek        8:40\n9:45\n11:55                         1:50                                      0
  63  borsel        1 1 1\n3 3 3                              None                                      0
  64  tresk         RRBRBBB\nGGGBBGRR\nRRGRRRRGGG             GRBRBB                                    0
