Centaur Zendo round 1 (training)
round_id : 202999ebcaa645d9bc23d1246b02f331
written  : 2026-09-05 02:57:23Z
presented=630  answered=0  correct=0  skipped=630
client answer latency: mean 0.092 ms  median 0.086 ms  max 1.401 ms  (n=630)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  borsel        2 1 3\n3 2 3                              None                                      0
   1  tavrik        best\naccept\nchill                       None                                      0
   2  tavrik        helpful\nreply                            None                                      0
   3  kelmar        ............................\n.........…  None                                      0
   4  tavrik        know\nweek\nwatt                          None                                      0
   5  wisbek        1:11\n3:13\n12:22                         None                                      0
   6  tavrik        anal\nfail                                None                                      0
   7  tresk         GBGBBGBB\nRBBBRBB\nGRBBBBGRB              None                                      0
   8  kelmar        ............................\n.........…  None                                      0
   9  tresk         GGBBBBBRRG\nGRBBRBBB\nGBBBRGBBG           None                                      0
  10  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n........…  None                                      0
  11  dornic        8C 10H JH QC KH\n3H 4H 5S 6C 8S\n4D 5C …  None                                      0
  12  wisbek        5:52\n9:34                                None                                      0
  13  dornic        2S 8H 8S QH QD QS\nAD 2D 4C 5C 9H QC\nA…  None                                      0
  14  wisbek        4:12\n10:30\n12:36                        None                                      0
  15  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  None                                      0
  16  tavrik        relieve\nverbal                           None                                      0
  17  tavrik        video\ngiving                             None                                      0
  18  tresk         RRRGRRBB\nBBRGGR\nGGGGBBBRB               None                                      0
  19  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  None                                      0
  20  borsel        4 4 1 1\n1 2 2 1\n3 1 4 1                 None                                      0
  21  borsel        5 5 3\n5 4 4\n3 6 4                       None                                      0
  22  borsel        5 5 3 3\n6 4 5 5                          None                                      0
  23  dornic        6S 8H 8D 10C QD QC\n2C 5H 6D 6C JH QH\n…  None                                      0
  24  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.......…  None                                      0
  25  wisbek        1:45\n8:20\n12:40                         None                                      0
  26  wisbek        1:50\n2:55\n9:30                          None                                      0
  27  tavrik        allies\npress\nproceed                    None                                      0
  28  dornic        2H 5H JH JD KD\nAH AD 2C 3D 5S 9H\n2D 3…  None                                      0
  29  wisbek        2:55\n3:00\n9:30                          None                                      0
  30  wisbek        6:25\n10:45\n12:25                        None                                      0
  31  dornic        2H 3H 4D QS KC\nAC 8D 9S QD\n2D 6C 10S …  None                                      0
  32  tavrik        receive\nbaggage                          None                                      0
  33  dornic        AH 3H 4C 5H JD KC\n2S 4D 5D 8H 10C QD\n…  None                                      0
