Centaur Zendo round 2 (training)
round_id : 5e7479fc3cff418fbf8f90b5f6f43a54
written  : 2026-09-05 03:13:57Z
presented=290  answered=290  correct=26  skipped=0
client answer latency: mean 0.777 ms  median 0.170 ms  max 18.937 ms  (n=290)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  dornic        2H 4H 5S 6H\nAC 2S 3H 7D KH KS            AC 2S 3H QH KH KS                         0
   1  tavrik        divided\nbubble                           seeker                                    1
   2  tavrik        prop\npretty\ndaddy                       jimmy                                     1
   3  dornic        AH 2H 2D 3C 6S 8C\n2C 4C 6C 8D KC\n2S 3…  AS 2C 4C 6C 8D                            0
   4  wisbek        1:16\n9:24\n10:25                         11:26                                     1
   5  borsel        3 5 5\n6 4 3\n3 5 6                       5 4 3                                     1
   6  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.........…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.><>..><>…  0
   7  tresk         BGBGBB\nGRGGGRRRG\nGGRRGRGRRG             GRGGGRGRG                                 0
   8  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.........…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n......><>…  0
   9  kelmar        ................................\n.....…  ||||||||||||||||||||||||||||||||\n|||||…  0
  10  wisbek        10:40\n11:39                              1:49                                      1
  11  dornic        AD 2H 9H 10H 10S JC\n2C 3H 5C QD KD       AD 2H 9H 10H 10S JC                       0
  12  borsel        5 5 3 4\n3 5 4 4\n5 3 5 3                 3 5 5 4                                   0
  13  dornic        3D 8C 9D 9S QD\n7C 9H JC QH\n3H 4H 5H 8…  3D 8C 9D 9S QD\n7C 9H JC QH\n3H 4H 5H 8…  0
  14  dornic        AC 2C 3C 10C 10S\n4D 9H 10D JH            AC 2C 3C 10C 10S\n4D 9H 10D JH\n2H 9H 1…  0
  15  dornic        AH 6H 7C KD\n2S 4S 5S 6D 8D 10C\n2H 7H …  2H 9S QS KH                               0
  16  dornic        AD 4H 7C 8H 9D 10H\n8S 10C JC QH QS KD\…  2D 7S 9H QS                               0
  17  tavrik        extra\nadded                              extra                                     0
  18  tavrik        needles\ndivided\nstress                  needles\ndivided\nstress                  0
  19  kelmar        .............................\n........…  .............................\n........…  0
  20  tresk         RGGGGBG\nRRRGRGBGGB                       RRRGGGBGGB                                0
  21  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n......…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><>...…  0
  22  wisbek        4:08\n7:14\n8:16                          4:08                                      0
  23  borsel        3 2 3 2 3\n1 2 5 3 2\n1 4 4 1 3           3 2 3 2 3                                 0
  24  dornic        2D 6S 8S 10D JS KS\n4H 5S 7D JH           2D 6S 8S 10D JS KS                        0
  25  borsel        6 1 6 1\n2 4 2 2                          6 1 6 1\n2 4 2 2                          0
  26  wisbek        2:07\n9:14\n11:16                         2:07\n9:14\n11:16                         0
  27  tresk         BBBRRGBB\nRBBGGB\nRBBBBBGGG               BBBRRGBB                                  0
  28  tresk         BRBRBBRBB\nRRGRRGRGRG\nGRRRGGG            BRBRBBRBB\nRRGRRGRGRG\nGRRRGGG            0
  29  borsel        3 3 2 6\n6 1 1 6                          3 3 2 6\n6 1 1 6\n3 3 6 2                 0
  30  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.......…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n......>…  0
  31  tavrik        cocoa\ndeep                               cocoa\ndeep\npooh                         0
  32  wisbek        4:00\n5:05\n11:35                         4:00\n5:05\n11:35\n2:00                   0
  33  kelmar        ...............................\n......…  .....||||||||....|||||.||||||||\n.....|…  0
  34  dornic        2H 3H 5H JC\nAD 7D JS QD\nAC 2D 5S 6H 9D  2H 3H 5H JC\nAD 7D JS QD\nAC 2D 5S 6H 9D  0
  35  borsel        4 5 5 4 1\n6 5 6 4 1                      4 5 5 6 1                                 1
  36  borsel        2 2 3 2 3\n2 1 1 1 2\n2 3 3 2 1           2 2 3 2 1                                 1
  37  borsel        2 3 2 3\n3 1 4 3\n4 1 4 1                 2 3 2 3                                   0
  38  kelmar        .............................\n........…  |||...|||......||||||||||||||\n|||...||…  0
  39  tresk         GBGGGGBG\nRRBGBGBRR                       GBGGGGBG\nRRBGBGBRR\nRRBGGGBRR            0
  40  kelmar        ..............................\n.......…  .||||||....||||||....||||||...\n.||||||…  0
  41  wisbek        4:39\n6:41                                10:45                                     1
  42  tresk         GBRBRRBR\nBGRBRBG\nBGGBRRBRRB             GBRBRBG                                   0
  43  kelmar        ...........................\n..........…  ||.||.|||.|||||.||.||.||.||\n||.||.|||.…  0
