Centaur Zendo round 3 (training)
round_id : 82c2f2a9ab844a81ac8dd693e5a7aef1
written  : 2026-09-05 03:27:32Z
presented=290  answered=290  correct=132  skipped=0
client answer latency: mean 0.711 ms  median 0.206 ms  max 10.101 ms  (n=290)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  wisbek        10:10\n11:09                              12:08                                     1
   1  tavrik        pumpkin\nspeaker\nexplain                 picking                                   0
   2  tavrik        ensure\ndemand                            newman                                    0
   3  kelmar        ...............................\n......…  ..|||||||||..||||||............\n..||||…  0
   4  dornic        2H 4H 5D 9C\nAC 3C 5H 7C\n5S 8H 9D QC KS  5C 8S 9S QD KH                            0
   5  borsel        6 6 2 2\n3 4 4 5                          5 4 4 3                                   0
   6  kelmar        .............................\n........…  ......|||||||||.........|||||\n......||…  0
   7  borsel        3 6 5 3\n2 3 3 6                          2 3 6 3                                   0
   8  tresk         GRGRBRGRG\nBGRGRGB\nGGRBRRBRGG            GRGBGRG                                   0
   9  borsel        3 5 3 3 3\n6 6 6 3 6\n3 3 4 6 3           3 4 6 3 3                                 0
  10  kelmar        .............................\n........…  .||.||.||.||.||.||.||.||.||.|\n.||.||.|…  0
  11  kelmar        ............................\n.........…  ..|...|......|....|..|..|...\n..|...|..…  0
  12  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><>…  0
  13  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~\n..........…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~\n..><>.<><.…  0
  14  wisbek        3:00\n9:30\n10:35                         6:15                                      1
  15  kelmar        ...........................\n..........…  ||||||||||||||||..||||||...\n||||||||||…  0
  16  wisbek        1:56\n6:24\n10:29                         8:04                                      1
  17  dornic        AC 2H 3H 5C QH\n2S 6S 7C 8C\n2D 7H 8S 9…  2C 6H 7S 8H                               1
  18  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n......…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><>.<>…  0
  19  kelmar        ..........................\n...........…  .......||||||.||||||.|||||\n.......||||…  0
  20  tresk         BGBRGBRGR\nGBGBRBGBRG\nBRBRBG             GBGRGBRB                                  1
  21  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.....…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.....…  0
  22  kelmar        ............................\n.........…  .||.||.||.||.||.||.||.||.||.\n.||.||.||…  0
  23  dornic        3H 4S 8S 9H 10D 10S\n3S 7C 10H JD KD\n3…  3D 4H 5S 6S 7S QS                         1
  24  tresk         BBGRRBG\nGRRGRGBBBB                       BGBBGRR                                   0
  25  tresk         BGBRRG\nGBBGRGGG\nBBGBBBR                 BGGGBGGR                                  0
  26  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.......…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><>.<><…  0
  27  wisbek        2:55\n3:00\n9:30                          6:15                                      1
  28  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.......…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.....><…  0
  29  wisbek        9:24\n11:12                               5:00                                      1
  30  kelmar        .............................\n........…  ..|....|...|..|...|..|..|....\n..|....|…  0
  31  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  0
  32  dornic        AD 6S 7H 9S 10S QH\n3H 3S 5S 6C QC KS\n…  AC 6S 7S 9H 10S QH                        0
  33  dornic        2D 4H 5D 6C JD KD\nAC 2C 5C 10D QH\nAD …  2H 4C 5H 6D JC KC                         1
  34  tresk         BRBGGR\nRBGGRBRRR\nBGBRGGB                RBGGBRRR                                  1
  35  tresk         RGBGBRRB\nRBGBGR\nGBGGBGRGR               RBGRBGBR                                  0
  36  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n...…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.<>…  0
  37  wisbek        1:24\n9:16\n12:13                         7:18                                      1
  38  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.........…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><>.<><.>…  0
  39  kelmar        ..........................\n...........…  ...............|||||||||||\n...........…  0
  40  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.......…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.....<>…  0
  41  tavrik        bomb\nease\nalgebra                       alma                                      1
  42  kelmar        .............................\n........…  .||||||....|||||||||||||.....\n.||||||.…  0
  43  dornic        AD 2C 5C JD\n2D 3C 8S 10D KH\n3S 6H 9H …  3D 6D 9C 10S                              1
  44  wisbek        9:50\n10:55\n11:00                        12:05                                     1
  45  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><>.…  0
  46  dornic        3H 3C 3S 8H QH KD\n2S 7C JH JS\n4C 6H 1…  2C 7H JC JD                               1
  47  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.....…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.....…  0
  48  wisbek        1:40\n12:20                               10:40                                     1
  49  borsel        1 4 1\n1 6 1                              1 2 1                                     1
  50  tavrik        allies\nvirus                             indies                                    1
  51  tresk         RGRRRBBBB\nRBRRRG\nRRRGRGGBBG             RRRBRG                                    0
  52  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~\n...........…  ~~~~~~~~~~~~~~~~~~~~~~~~~~\n...........…  0
  53  borsel        2 3 3 3 3\n1 3 1 1 3\n1 1 4 1 4           2 3 3 2 3                                 1
  54  dornic        5S 7H 9H 10H\n7D 8S JH QD\n2D 2C 3S 5H …  7D 8S JD QH                               0
  55  tavrik        divided\nstress\nbarrier                  hostess                                   1
  56  tavrik        taught\ncomic                             pickup                                    1
  57  wisbek        1:48\n2:56\n11:47                         1:39                                      0
  58  kelmar        .............................\n........…  .||.||.||.||.||.||.||.||.||.|\n.||.||.|…  0
  59  tavrik        invest\nassumed                           advised                                   1
  60  tavrik        loss\nprop\nspill                         gloss                                     0
  61  dornic        5C 6S 9C JD\nAC 2D 2C 2S 4S 6H\nAS 5S 9…  3D 4C 10C QC QD                           1
  62  tavrik        brown\nmark                               kurt                                      1
  63  kelmar        ..........................\n...........…  .....|..|..|..|....|..|...\n.....|..|..…  0
  64  tresk         GGGGGGRB\nBRBBBB                          BBBBBRBB                                  0
  65  kelmar        .............................\n........…  .||||||.||||||||||||||||.....\n.||||||.…  0
  66  tavrik        banning\nexceed\nbooking                  tossed                                    0
  67  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....…  0
  68  tavrik        joey\nexam                                beak                                      0
  69  borsel        4 4 3 2\n1 1 5 3                          4 4 3 5                                   0
  70  kelmar        ...........................\n..........…  ...||||||.........|||||||||\n...||||||.…  0
  71  tresk         RGBRRBBB\nBGBGBB\nBBRGBRGGBR              BGBBGB                                    0
  72  dornic        AD 3C 6S 9C 10C QD\n2C 7C 9H JD\nAC 3D …  AH 3S 6H 9S 10D QC                        1
  73  borsel        1 2 2 5\n1 3 4 1                          1 2 4 1                                   0
  74  wisbek        3:48\n8:36                                9:48                                      1
  75  tresk         RRBBRR\nBBBBBBBBBB\nBRGBBGRB              GBRBBRBG                                  0
  76  tavrik        eyed\npipe                                pope                                      0
  77  borsel        4 4 4 3\n4 6 6 3\n6 6 6 1                 6 6 6 3                                   0
  78  wisbek        6:12\n8:16\n12:24                         10:20                                     1
  79  wisbek        6:12\n8:16\n12:24                         10:20                                     1
  80  wisbek        4:12\n8:24\n10:24                         4:00                                      0
  81  borsel        5 6 4 5 5\n5 5 4 5 4\n4 4 6 4 4           4 6 6 4 4                                 1
