Centaur Zendo round 4 (training)
round_id : d0f103185a704f7eae315664ec8d3b30
written  : 2026-09-05 03:34:01Z
presented=275  answered=234  correct=154  skipped=41
client answer latency: mean 0.868 ms  median 0.197 ms  max 6.145 ms  (n=276)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  dornic        AS 6S 9H 10D 10C\n2D 3D 10S KD            2S 3H 10H KC                              1
   1  kelmar        ..........................\n...........…  None                                      0
   2  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.........…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n....><>..…  0
   3  kelmar        ..............................\n.......…  None                                      0
   4  tavrik        mill\nthat\ntweet                         hall                                      1
   5  tavrik        inquiry\naround\nexpand                   onward                                    1
   6  tresk         RBGGBGBB\nBRBRBBRBG\nBBRRBRBBBG           BGGBBGB                                   0
   7  borsel        5 2 2 1\n3 3 2 2\n4 2 3 1                 4 1 4 1                                   1
   8  borsel        5 3 5 3 5\n3 6 3 4 3\n6 3 6 6 6           3 3 4 4 3                                 1
   9  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.......…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.......…  0
  10  tavrik        error\nkeeper\nexpense                    lessons                                   0
  11  dornic        3S 5D 6C 10H JC\n3H 4D 6S 10C KD KS\n3D…  3C 4H 4S 9S 10S QC                        1
  12  borsel        4 6 4 4 4\n5 5 5 5 5                      4 4 4 5 4                                 0
  13  tavrik        syrup\npacket                             picky                                     1
  14  dornic        AC 2H 6C 10H\nAD 5H 8H 9D\n2C 5C 7C 8S …  AH 2D 6H 10D                              1
  15  tavrik        jealous\nunusual                          leagues                                   0
  16  borsel        3 5 5 4\n6 5 2 6                          5 5 2 3                                   0
  17  borsel        4 1 1 1\n2 1 1 4\n1 1 3 3                 2 2 1 4                                   1
  18  borsel        3 1 1\n1 2 2                              1 1 1 2                                   0
  19  dornic        AH 3D 9D 10D\n2H 2C 5D 8H JS              2D 2S 5H 8D JH                            1
  20  dornic        AS 5C 6S 8D\nAH 3H 4S 6H 8H\n2H 3D 5S 6…  AC 3S 4D 6C 8C                            1
  21  dornic        AS 4H 9H 10H\nAD 2D 3C 4C 10C\n2S 4S 8C…  2C 4D 8D 9D                               1
  22  tavrik        bent\nbetty\naccept                       adept                                     1
  23  wisbek        4:57\n8:17                                12:58                                     1
  24  wisbek        2:07\n9:14\n11:16                         10:15                                     1
  25  kelmar        ..........................\n...........…  None                                      0
  26  dornic        5D 7D 7C 9C JD JC\n5H 5C 6S KD            5S 7H 7S 9D JH JS                         1
  27  dornic        4S 8D 8S JD\nAD 2D 6C 6S 10H 10S\nAC 4C…  4D 8C 8H JC                               0
  28  dornic        AH 4S QH QD\n2D 3D 4D 6S 8H 8C\n7D 7C 9…  2H 3H 4C 6H 8D 8S                         1
  29  tavrik        tattoo\noutdoor\neleven                   momma                                     0
  30  tresk         BRGBGBRR\nBBGGGRR                         GGRBRBBRBR                                1
  31  tavrik        banana\nesteem\npuppy                     geese                                     1
  32  borsel        6 5 5 6 3\n5 3 3 3 6\n5 3 3 3 5           5 5 5 3 6                                 1
  33  borsel        1 3 1 5 3\n4 2 1 4 2\n3 1 2 4 3           1 3 2 5 2                                 1
  34  borsel        5 4 6\n6 5 5                              1 1 1                                     0
  35  borsel        2 1 1 4\n2 2 3 2\n1 3 1 3                 1 2 1 3                                   1
  36  tavrik        growing\nroller                           roster                                    1
  37  dornic        5C 6D 8C 10D\n5H 9H JC QH KS              5S 9C JH QD KH                            1
  38  tavrik        insult\naccuse                            upside                                    1
  39  borsel        5 1 1 1 5\n3 3 1 5 1                      3 1 1 1 1                                 0
  40  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n......…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n......…  1
  41  dornic        3D 4H 5S 9H QD\nAH 2C 4S 6S 7C 9D         3H 4D 5H 9C QS                            0
  42  tavrik        ideally\njuicy                            briefly                                   1
  43  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~\n..........…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~\n><>.......…  0
  44  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n......…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n......…  0
  45  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.....…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n..><>…  0
  46  dornic        3H 3D 5D 7D JD QH\n4S 7C 8S JH            4H 7H 8D JS                               1
  47  dornic        2D 3D 4D 6S 8D\n2S 3C 5H 7C\nAS 7H 10S …  2H 3H 5S 7D                               1
  48  kelmar        ...............................\n......…  None                                      0
  49  tavrik        execute\nexile\ndecided                   refer                                     1
  50  tresk         BGRGRB\nRBRGRBGRGB\nRBGRBGB               BRGBGRBGB                                 1
  51  tresk         BGBBBBG\nBGRRBBBGRB\nBBGBBB               BGBBBGBG                                  1
  52  dornic        AD 7H 10H JH KH\n3H 8C 9D JS\nAS 5H 7C …  AH 5C 7D QD                               1
  53  dornic        4H 8C 10C QH\n3D 4D 5H 6S 7C 9D           4C 8H 10D QS                              1
  54  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.....…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.....…  0
  55  tavrik        refugee\nsleeve\nrevenue                  believe                                   1
  56  tavrik        effort\nfilm\nknot                        best                                      1
  57  borsel        3 4 4 6\n3 3 4 4\n4 4 5 5                 4 4 6 6                                   1
  58  tresk         BRGBRBRGBG\nRGBRBGBRB\nGBRGRB             BRBRBGB                                   1
  59  basten        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.....…  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~\n.....…  0
