Centaur Zendo round 3 (training)
round_id : 1cf611f74c9e4b3cad8e23f8297d099e
written  : 2026-09-05 11:40:18Z
presented=133  answered=133  correct=63  skipped=0
client answer latency: mean 0.868 ms  median 0.815 ms  max 1.879 ms  (n=134)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  tresk         GRBGGRRRRR\nGRRGGRBGG\n\nBGBGRBG\nBGBRG…  BRBGBGG                                   0
   1  dornic        5S 8C 9D JD QS\n6D 7H 10D QD AH\n\n5D 6…  5D 8H 9C QD QC                            1
   2  dornic        3H 4H 8C JS QH\n3S 9D KH KC AD\n\n2D 2S…  2C 3H 3S 4S 7S                            0
   3  tavrik        banking\nforward\n\ncliff\nbrett\ngrill…  props                                     1
   4  tresk         BRBGGGGGRB\nBBGGGGGRG\n\nGBGGBB\nGBBBBB…  GBBBBB                                    1
   5  tresk         GGGRGRBGRB\nRBRGRBBG\n\nBGRBBB\nRBBGBB\…  BGRBBB                                    0
   6  kaldrin       [E]=[wool^]=[logs]=[coal^]=[logs^]=[log…  [E]=[milk]=[logs]=[coal]=[coal]=[coal]=…  1
   7  mestrel       [1|0][4|1][4|3][6|3]\n[5|3][1|4][0|5][0…  [0|2][6|3][0|2][2|3][6|2]                 0
   8  mestrel       [0|0][1|1][2|2][4|4][4|4][4|6][6|6]\n[5…  [3|6][6|3][2|6][2|6]                      0
   9  dornic        2D 6C 7S 9H AD\n2H 3C 5S 6D AC\n\n2H 6H…  7D 10H JH KC AH                           1
  10  dornic        2H 3C 7H 7C AD\n2C 3D 8D 9C JC\n\n5S 10…  3H 4D 6H 8D 10H                           1
  11  dornic        3D 4D 7C AH AS\n2D 8S 9S JS KS\n\n2D 3H…  2D 3H 8H 9S AD                            0
  12  kaldrin       [E]=[sand]=[pigs]=[pigs^]=[wool^]\n[E]=…  [E]=[sand]=[sand]=[pigs^]=[sand]=[milk^…  0
  13  wisbek        4:15\n6:59\n\n5:48\n9:48\n11:26\n12:16\…  2:35                                      0
  14  tavrik        metal\nquest\n\nnoble\nmaple\nrange\nca…  noble                                     1
  15  ospren        ##..#\n##...\n.....\n....#\n##..#\n\n#.…  ##.##\n.....\n.....\n.....\n##.##         1
  16  tavrik        fifth\npara\n\nroller\ncannon\nborrow\n…  cannon                                    1
  17  tresk         BRGGRRBGRB\nRGGRBRR\n\nGGRBRRRBG\nRGBGR…  GGRBRRRBG                                 1
  18  mestrel       [6|0][0|0][0|3][0|0][0|2][0|0][5|0]\n[0…  [1|3][4|0][4|1][5|5][5|2][5|5][6|2]       1
  19  tresk         BRGRGR\nGBBRBBB\n\nRRRBRGRBR\nBRRRBGRBR…  BRRRBGRBR                                 0
  20  ospren        .....\n.....\n###..\n.....\n###..\n\n.#…  ###..\n....#\n....#\n.....\n##...         0
  21  wisbek        5:57\n12:24\n\n8:27\n3:02\n11:08\n9:29\…  9:29                                      1
  22  wisbek        2:12\n4:10\n\n3:27\n9:55\n5:41\n12:43\n…  12:43                                     1
  23  mestrel       [6|3][1|6][1|2][4|4][5|2][6|0]\n[3|1][4…  [6|4][5|5][6|6][4|2]                      0
  24  tavrik        selling\ndong\n\nflat\nstem\nthan\nspit…  plug                                      1
  25  ospren        ##...\n#....\n##...\n#....\n###..\n\n..…  #....\n.##..\n###..\n.###.\n...#.         1
  26  dornic        3H 5H 7D QC KH\n2H 4H 4C 5C 9C\n\n2H 4C…  2H 4C 8C 9S AS                            0
  27  mestrel       [5|1][1|5][1|5][1|5][1|5]\n[0|4][0|5][4…  [1|4][5|5][1|3][3|5][4|2][0|1][3|3]       0
  28  ospren        .....\n.##.#\n#####\n.##.#\n.....\n\n##…  .....\n.....\n#.##.\n#.###\n#####         1
  29  kaldrin       [E]=[coal]=[logs]=[coal]=[logs]=[coal]\…  [E]=[sand^]=[logs]=[sand^]=[coal]=[coal…  0
  30  dornic        5C JH JS QC QS\n2H 3S 8C JD AD\n\n2D 8S…  2S 6D 8D 8C JC                            1
  31  kaldrin       [E]=[coal]=[wool]=[logs^]=[wool]=[coal]…  [E]=[pigs^]=[pigs]=[pigs]=[pigs]=[pigs]   1
  32  kaldrin       [E]=[logs^]=[coal^]=[sand^]=[milk^]=[sa…  [E]=[sand]=[pigs]=[sand^]=[milk]=[logs]   0
  33  wisbek        3:45\n12:30\n\n10:20\n2:10\n1:20\n11:10…  10:20                                     1
  34  tavrik        chew\nbounce\n\nbeta\nwalk\nbone\nking\…  bone                                      1
  35  ospren        #.###\n#...#\n.....\n#...#\n#.###\n\n..…  ..##.\n##...\n.....\n#.#.#\n.....         0
  36  wisbek        4:41\n9:50\n\n2:43\n7:55\n11:51\n12:23\…  12:23                                     0
  37  kaldrin       [E]=[wool^]=[logs^]=[milk]=[pigs]=[coal…  [E]=[coal]=[logs]=[pigs]=[pigs]=[coal^]…  1
  38  ospren        .#...\n#....\n.....\n.....\n##...\n\n..…  .##..\n....#\n##.##\n.#...\n.#...         0
  39  dornic        3H 4H 7H 8S 9D\n6S 8C 9C JH JD\n\n3H 6S…  3C 8D 8S 10D AH                           1
  40  tresk         RGRRGGR\nRGGGRRRR\n\nBGBGGBBBB\nBGRBBGR…  BBGRRGGBB                                 0
  41  mestrel       [3|0][2|0][0|0][0|6][0|0]\n[1|1][2|0][3…  [5|6][0|6][2|2][2|2][4|3][1|1][6|3]       0
  42  tresk         RRRRRGGGBR\nRBRBBBBBGG\n\nRBRBGRB\nRRBR…  RRRRRBG                                   1
