Centaur Zendo round 4 (training)
round_id : 14bd6502cc57422aad5c2238eb14ae8f
written  : 2026-09-05 11:48:56Z
presented=130  answered=130  correct=60  skipped=0
client answer latency: mean 0.950 ms  median 0.923 ms  max 1.838 ms  (n=130)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  wisbek        2:50\n3:45\n\n9:37\n10:58\n1:15\n12:04\…  1:15                                      0
   1  ospren        .#.#.\n...#.\n...#.\n...#.\n.#.#.\n\n..…  ###..\n.###.\n..#..\n.###.\n###..         1
   2  tresk         RBRGRG\nRRGBRRBRG\n\nBGRGRGRGGB\nBGGRGG…  GGRBRGGRBR                                1
   3  kaldrin       [E]=[sand^]=[milk]=[coal^]=[pigs]=[milk…  [E]=[logs^]=[milk^]=[coal^]=[wool]=[san…  0
   4  wisbek        3:45\n12:30\n\n4:25\n1:00\n11:20\n8:00\…  6:00                                      1
   5  ospren        .#.#.\n.....\n##.##\n.....\n.#.#.\n\n..…  .....\n.....\n.##.#\n.....\n.....         1
   6  ospren        #####\n.##..\n#####\n.##..\n.....\n\n..…  .##.#\n.##.#\n.##.#\n.##.#\n.....         0
   7  dornic        2S 3C 8H QD KD\n2C 5S 6C 10D AH\n\n2C 3…  2C 3S 10D JD KH                           1
   8  wisbek        1:00\n12:33\n\n6:25\n11:07\n2:22\n7:27\…  2:22                                      1
   9  kaldrin       [E]=[milk]=[logs]=[logs]=[milk^]\n[E]=[…  [E]=[wool^]=[sand]=[wool]=[wool]          1
  10  mestrel       [1|4][0|3][0|6][1|3][5|1][0|1]\n[5|6][6…  [1|6][4|3][1|3][3|1][4|6][5|0]            0
  11  tavrik        notch\nnarrow\n\nhousing\ncoating\ncoun…  counter                                   0
  12  kaldrin       [E]=[pigs^]=[coal]=[pigs]=[sand]=[pigs]…  [E]=[wool]=[wool]=[coal]=[pigs]=[coal]=…  1
  13  kaldrin       [E]=[milk]=[coal]=[pigs]=[wool]\n[E]=[m…  [E]=[coal^]=[milk]=[wool]=[coal]=[pigs^]  1
  14  wisbek        8:22\n10:55\n\n11:38\n1:33\n2:47\n3:06\…  1:33                                      1
  15  mestrel       [5|1][4|3][3|6][5|3][4|2]\n[5|5][3|1][5…  [3|6][0|0][4|4][5|2][2|0][1|2][0|3]       0
  16  tavrik        anger\nherself\n\ngreet\nruler\norder\n…  greet                                     1
  17  kaldrin       [E]=[coal^]=[coal^]=[milk^]=[pigs]=[coa…  [E]=[pigs]=[milk]=[wool^]=[milk^]=[pigs…  1
  18  dornic        4H 4C 5C 9H AD\n3C 4D 5D 9D KS\n\n4H 7C…  5S 8H 9C 10C QC                           0
  19  tavrik        worm\nearnest\n\nevent\nattic\ntheft\nb…  event                                     1
  20  mestrel       [6|0][5|1][2|3][3|4][4|5][0|5]\n[0|4][3…  [0|5][0|5][6|2][1|1][6|2][5|0][4|3]       0
  21  mestrel       [6|4][6|3][2|0][3|3][2|0]\n[4|6][1|0][6…  [6|6][6|6][1|0][3|0][6|0][0|4][2|2]       0
  22  mestrel       [3|2][2|3][3|3][3|3][6|2]\n[1|1][6|1][1…  [4|4][5|6][4|3][3|1][1|6][3|4][3|3]       0
  23  mestrel       [6|5][6|4][2|2][4|6]\n[3|2][4|3][3|2][2…  [6|3][5|4][6|2][1|1][3|1]                 1
  24  wisbek        3:45\n11:43\n\n10:10\n1:42\n2:46\n7:46\…  10:10                                     1
