Centaur Zendo round 4 (training)
round_id : 6d125d3ebe4c40178a460583c8d626d6
written  : 2026-09-05 11:54:40Z
presented=115  answered=115  correct=35  skipped=0
client answer latency: mean 0.404 ms  median 0.374 ms  max 0.944 ms  (n=115)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  tavrik        enzyme\nholding\n\nmenu\ncane\nsane\nno…  menu                                      0
   1  wisbek        5:35\n6:30\n\n7:46\n4:40\n1:05\n11:44\n…  4:40                                      1
   2  tavrik        cherry\nstarred\n\ngang\nwall\nlily\npu…  lily                                      0
   3  dornic        2H 3D 5S 6D 8S\n2D 2C 5H 6H 6S\n\n8D 9C…  9D JS QS KD KS                            0
   4  mestrel       [3|0][0|2][5|5][4|3][6|0]\n[4|5][1|4][1…  [5|5][2|2][4|0][3|3]                      0
   5  kaldrin       [E]=[sand^]=[sand^]=[coal^]=[sand]=[san…  [E]=[sand^]=[coal]=[coal]=[sand^]         0
   6  tavrik        grown\nwizard\n\nweak\ngoal\nyuan\nbeat…  goal                                      0
   7  tavrik        rescue\nradical\n\ncalcium\nfeeling\nlo…  donated                                   0
   8  dornic        4C 5C 6S JH AD\n3C 3S 4D 5H 8D\n\n3S 6S…  4C 5S 9D KS AH                            0
   9  tresk         GRGGGRGG\nRGBGBRBB\n\nGBBGGGB\nGGGBBGG\…  GGGBBGG                                   1
  10  kaldrin       [E]=[logs]=[coal^]=[sand]=[sand]\n[E]=[…  [E]=[milk]=[logs^]=[sand]=[pigs^]=[pigs…  0
  11  kaldrin       [E]=[logs]=[wool^]=[milk]=[pigs]=[logs]…  [E]=[logs]=[milk]=[wool^]=[wool]          0
  12  tavrik        willow\ninter\n\nsaving\ninsult\ndesign…  forbid                                    0
  13  wisbek        5:25\n7:35\n\n12:05\n6:05\n1:55\n3:00\n…  4:20                                      1
  14  tavrik        sustain\nlibrary\n\nbaby\npulp\nkick\nf…  tent                                      0
  15  wisbek        3:53\n11:12\n\n12:39\n1:11\n7:55\n10:57…  12:39                                     0
  16  wisbek        3:04\n6:25\n\n12:09\n4:06\n5:06\n2:05\n…  5:06                                      1
  17  dornic        5D 9C 10C JH AD\n2C 4H 4C 5S 8S\n\n4C 5…  4C 5S 10C KD KC                           0
  18  ospren        #.#.#\n#...#\n#.#.#\n##.##\n.....\n\n..…  .....\n#....\n..#..\n..#..\n.....         0
  19  kaldrin       [E]=[pigs]=[pigs]=[sand^]=[logs^]=[logs…  [E]=[coal]=[pigs^]=[milk]=[pigs^]         0
  20  kaldrin       [E]=[wool^]=[coal]=[wool^]=[milk^]\n[E]…  [E]=[sand^]=[coal^]=[wool^]=[sand]=[san…  0
  21  wisbek        5:51\n12:23\n\n1:32\n3:55\n2:27\n6:48\n…  3:55                                      0
  22  ospren        ..#.#\n....#\n#####\n...##\n.#.#.\n\n##…  #####\n##.##\n...##\n.....\n.....         1
  23  mestrel       [2|4][4|3][3|4][4|5][5|6][6|0][0|4]\n[0…  [0|3][0|0][3|5][5|6][0|2]                 0
