Centaur Zendo round 1 (training)
round_id : 2528d61f1ea54e878816740f280f1bbf
written  : 2026-09-04 13:26:30Z
presented=360  answered=360  correct=0  skipped=0
client answer latency: mean 0.187 ms  median 0.151 ms  max 8.203 ms  (n=360)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  fennick       UG.KJU..KU.SLS.KL.J.US.GGJ.G.JS.JG.ULG.…  U....U...U.S.S......US........S....U...…  0
   1  fennick       NS..CN.V.S..HS.CV.AC.AHN.N.A..H.SV..S.C…  NS..CN.V.S..HS.CV.AC.AHN.N.A..H.SV..S.C…  0
   2  fennick       VNM.JV.VNJ.M.DD..D.BJ.NND.MV..V..MV.B.N…  VNM.JV.VNJ.M.DD..D.BJ.NND.MV..V..MV.B.N…  0
   3  fennick       HH.V.TN.JS..JV.S.VSJ.STV..H.VH.HJ.N..N.…  HH.V.TN.JS..JV.S.VSJ.STV..H.VH.HJ.N..N.…  0
   4  fennick       CC.RPW.KB.KC.WR.RW.R.PBP.R..P.PC..RB.K.…  ...R......K..W..............P.....R....…  0
   5  fennick       MMH.E.EH.SEM.SH.JE.WJ..H.M.EH..SE..S.SW…  MMH.E.EH.SEM.SH.JE.WJ..H.M.EH..SE..S.SW…  0
   6  fennick       LML.MU.M.LVJ.UL.L..JR.MVU.VV..V.JRJ.MJ.…  LML.MU.M.LVJ.UL.L..JR.MVU.VV..V.JRJ.MJ.…  0
   7  fennick       UCD.PCV.D.VPD..PS.UD.CCD.PV..C.S..UC.UV…  UCD.PCV.D.VPD..PS.UD.CCD.PV..C.S..UC.UV…  0
   8  fennick       LH..EHC.BE.B.L.SHE.B.BL..BBS..H.BE.S.SH…  .....H.....B.....E.................S...…  0
   9  fennick       RJ.K.G.FK..R..D.KF..J.RDR.DD..RFJ.DFJ.F…  RJ...G.F...R..D..F..J.RDR.DD..RFJ.DFJ.F…  0
  10  fennick       HH.EJH.E.FM..FW.JWJ..WHF.H.M.EE.MHW.W..…  HH...H................H..H.......H.....…  0
  11  fennick       KW.KD.WAD..A.U..TKA.AAU.UK.W..AAT.D.T.K…  K..K.............K.......K............K…  0
  12  fennick       USH..VHU.M.N.H..UHN..SU.VS.SU.NS.NM..U.…  ..H...H....N.H...HN...........N..N.....…  0
  13  fennick       HBD..UH.EU.DD.P.DE..BH..U.PP.EH.HB.D.UE…  HBD..UH.EU.DD.P.DE..BH..U.PP.EH.HB.D.UE…  0
  14  fennick       RVR.CV.KRV..KCP.PVR..C.P.BK.V.BVV.RP.R.…  RVR.CV.KRV..KCP.PVR..C.P.BK.V.BVV.RP.R.…  0
  15  fennick       KKT..WG.WC.CW.FKK..FF.WKG..CC.W.FGC.TW.…  KKT..WG.WC.CW.FKK..FF.WKG..CC.W.FGC.TW.…  0
  16  fennick       JC.JJ.BCJ.J.C.RCR.S.R.F.BS.FJR.CF.SF.B.…  ....J.B................................…  0
  17  fennick       RW..WV.WF.W..NA.V.FAV.FNN.RFR.A.WR..ANW…  RW..WV.WF.W..NA.V.FAV.FNN.RFR.A.WR..ANW…  0
  18  fennick       DN.CNF.DC.DF.CCF..HD.SSN.S.D..N.HCS.C.S…  DN.CNF.DC.DF.CCF..HD.SSN.S.D..N.HCS.C.S…  0
  19  fennick       SS..B.E.BL..MB.S..M..F.L.SL.SF.LF.MS.LB…  SS..B.E.BL..MB.S..M..F.L.SL.SF.LF.MS.LB…  0
  20  fennick       SPS..MCB.MBP.BM.NP..CB.NC.PP.PN..BPC.P.…  .....M.....P.....P.....N.....P.....C...…  0
  21  fennick       KFL.F.JFK..DM.D.L.KJ.DDJ.J.LK.KK.LF.M.L…  KFL.F.JFK..DM.D.L.KJ.DDJ.J.LK.KK.LF.M.L…  0
  22  fennick       UB.U.J.GG.JGB.EUH.JH..GEU.GB..E.G.B.H..…  UB.U...GG..GB..U......G.U.GB....G.B....…  0
  23  fennick       TUK..D.TJ..ED.T.J.EDJ.KD.E..DE.U.E.KU.U…  ..K...................K............K...…  0
  24  fennick       WWC..WC.WC.VW.C..NC.LE.WWL..E..W..N.L.V…  WW...W..W...W.......L..WWL.....W....L..…  0
  25  fennick       LPP..S..N..P.MM.PG.GSG.LNP.L.N.G.LS.NPN…  LPP..S..N..P.MM.PG.GSG.LNP.L.N.G.LS.NPN…  0
  26  fennick       TRE.J.KN.ER.E.R.NK..EJ.T..RR.N.K.JE.KR.…  TRE.J.KN.ER.E.R.NK..EJ.T..RR.N.K.JE.KR.…  0
  27  fennick       CFT.JF.BC..FF.JT.T..TPB..P..C..PB.JP.F.…  CFT.JF.BC..FF.JT.T..TPB..P..C..PB.JP.F.…  0
  28  fennick       PH.T..TTT.WW.N.HW..D..HDD.HW.P.D.DNT.DH…  ...................D....D............DH…  0
  29  fennick       MD.CE.F.MCM..DE.FJ.CFF..C.DC.EJ.JM..E.M…  MD.CE.F.MCM..DE.FJ.CFF..C.DC.EJ.JM..E.M…  0
  30  fennick       FFF.F.FEE.KK.E..K.JJ..J.V..L.JK.L.JE.LE…  FFF.F.FEE.KK.E..K.JJ..J.V..L.JK.L.JE.LE…  0
  31  fennick       PLL.LK.TK.D.LK..EP.PTP.E.KLP.K..T.TE.DT…  PLL.LK.TK.D.LK..EP.PTP.E.KLP.K..T.TE.DT…  0
  32  fennick       MP..WH.MU.W..AMW.PU.WAP.UA.M..A..U.H..M…  .....H...........P.................H...…  0
  33  fennick       MP.C.MP.PUA..PU..GP.GA.A.CA.GM.UC..MGU.…  .P.C..P.PUA..PU..GP.GA.A.CA.G..UC...GU.…  0
  34  fennick       JUS.GM.SUG.U..GUS.BUU..SGB.B..M..BJM.JS…  .U......U..U...U...UU..................…  0
  35  fennick       WFF.NF.VW..VNW.WF..G..NNG.J.NG..V.F..NW…  .FF..F..........F.................F....…  0
  36  fennick       SPD.URR.DR..UP..R.C.US.RPS.S.CP.SC..SPS…  S....................S...S.S....S...S.S…  0
  37  fennick       DF.F.TM.MWU..TD.TDW.FF..T..MU.UF..U..DD…  DF.F.TM.MWU..TD.TDW.FF..T..MU.UF..U..DD…  0
  38  fennick       LV.JW..SL.W..FF.SFL..V.LWL.JL.VV.SJ..F.…  LV.JW..SL.W..FF.SFL..V.LWL.JL.VV.SJ..F.…  0
  39  fennick       WE..DV.E.DE.DAS.A.W.S.V.AV.EVV.WE.DS..A…  WE..DV.E.DE.DAS.A.W.S.V.AV.EVV.WE.DS..A…  0
  40  fennick       PW.M.C.W.MPL.WW.U..WL.PCL.MM.PWC..L.P.L…  ...................W...C............P.L…  0
  41  fennick       VS.FJ.S..J..AR.VVV.FAR.RRR.SRV.R.SF.F.A…  VS.FJ.S..J..AR.VVV.FAR.RRR.SRV.R.SF.F.A…  0
  42  fennick       RS.UR.RD.SD.DDN.U.G..DU..R.RUN.NDS.D.N.…  RS.UR.RD.SD.DDN.U.G..DU..R.RUN.NDS.D.N.…  0
  43  fennick       DTL.TG.TT.DKD.D.GK.KW..DG.DW.DKG.L.K.KD…  DTL.TG.TT.DKD.D.GK.KW..DG.DW.DKG.L.K.KD…  0
  44  fennick       PU.PP..CCB..VF..UC.PF.VC.PC.UF.VB.BCC.U…  .................C.....C.....F.....C...…  0
  45  fennick       UJ.J.UB.BL..JL.LU.UJ.B.TE.J.BE.JT..UEL.…  UJ.J.UB.BL..JL.LU.UJ.B.TE.J.BE.JT..UEL.…  0
  46  fennick       ELA.L.ED.NF.FD.A.AN.DE..F.DDF.LA..LA.NL…  .......D.....D......D.....DD...........…  0
  47  fennick       EEN.P.JJP.UJ.NJ..NUP..G..EJ.E..UU.GUP.J…  ....P...P..........P................P..…  0
  48  fennick       HUW.WU.PP..WKK..M.HUK.HPP.U..P.HP.KU.MH…  .......PP..............PP....P..P......…  0
  49  fennick       PD.B.D..R.JR.BD.RB..RK..JJ.K.P.KP..KPJ.…  PD.B.D..R.JR.BD.RB..RK..JJ.K.P.KP..KPJ.…  0
  50  fennick       PU.L.GG.UM..G.MLP.K.P..M.KM.KKL..PL.GU.…  PU.L.GG.UM..G.MLP.K.P..M.KM.KKL..PL.GU.…  0
  51  fennick       BG.BTB.GGT.J.JD.B.D..T..G.BG.KGK.KK.K.B…  BG.BTB.GGT.J.JD.B.D..T..G.BG.KGK.KK.K.B…  0
  52  fennick       TPG..JP..CT..KKG.KCT.PT.P.T.CP.CJ.TTJ.G…  .....JP................................…  0
  53  fennick       GT.LDG..TN.DS.G.GN.NT.T..DD.N..SG.NL.LD…  GT.LDG..TN.DS.G.GN.NT.T..DD.N..SG.NL.LD…  0
  54  fennick       DH..W.GR.H.G..BGR.WDB.BD.HD.DD.HR.GR.GR…  DH..W.GR.H.G..BGR.WDB.BD.HD.DD.HR.GR.GR…  0
  55  fennick       KW.E.BK.EKW..K.MK..K.B.S..BW.WBM.MM.M..…  KW.E.BK.EKW..K.MK..K.B.S..BW.WBM.MM.M..…  0
  56  fennick       NPK.R.GG..K.KR.NRD.PN..KP..DD.DNN.KP.NP…  .................D.....K...........P...…  0
  57  fennick       JPA.S.SJP.LPL.DL..ASS.J..SJ.AJ.L..S..P.…  JPA....JP.LPL.DL..A...J...J.AJ.L.....P.…  0
  58  fennick       BS.TP.SPJ.T..P.S.TP.NJ.BSB.SN..PTT..JBT…  .S.T..S...T....S.T......S..S....TT....T…  0
  59  fennick       FM..U.FM.J.J.UJ.RF.R.EE.E.FE.JF..R.ER..…  .....................EE.E..E.......E...…  0
  60  fennick       LLD..CD.LC.M.G..L..LB..CL.LG.DDC.B..MB.…  LLD...D.L.......L..L....L.L..DD........…  0
  61  fennick       FG.T..HM.MGF..GP.M.GTF.FH.G.PG.PM..H.TT…  FG.T..HM.MGF..GP.M.GTF.FH.G.PG.PM..H.TT…  0
  62  fennick       FF.SK.HF..S..B.SK.C.HS.K.CSB.B..H.KK..F…  FF.SK.HF..S..B.SK.C.HS.K.CSB.B..H.KK..F…  0
  63  fennick       AFA.A.HA.K.FNK.FV..F.KH.VN.NV.HK.H..N..…  AFA.A.HA.K.FNK.FV..F.KH.VN.NV.HK.H..N..…  0
  64  fennick       WT..DU..MU.TH.W.M.HH.WUW.MW..D.U.UW.H.T…  .....U........W..........M.............…  0
  65  fennick       MH.L.D.HG.DE.M.MD.G.DDD.GHM.EE.MEL.LML.…  MH.L.D.HG.DE.M.MD.G.DDD.GHM.EE.MEL.LML.…  0
  66  fennick       TA.FTF.M.AH.HA..U.F..H.UF.TMU.MUM.HU.TU…  TA.FTF.M.AH.HA..U.F..H.UF.TMU.MUM.HU.TU…  0
  67  fennick       SVV.S.NNN.TNG..EEV..SG.T.EVG.V.ES.G.EG.…  SVV.S.NNN.TNG..EEV..SG.T.EVG.V.ES.G.EG.…  0
  68  fennick       TTM..M.T..DTV.W.WT.WM.MW.UV..WT.MT.MU..…  .....M.....T.....T.....W.....W.....M...…  0
  69  fennick       DDU.UM.M.D.T..BB.BT..DBD.C.CU.TUC..U..U…  DDU.UM.M.D....BB.B...DBD.C.CU..UC..U..U…  0
  70  fennick       EEF.PE.P.F.KEF..KJJ.AJA.AE.FAE..J.PP.A.…  .................JJ.AJA.A...A...J....A.…  0
  71  fennick       TDR.VB.AR.D..AVB.V.VB.A..T.VVV.AAT.B.TB…  ....V.........V..V.V.......VVV.........…  0
  72  fennick       HL..WL.JTH.HHJ.N.T.JT..HJ..NL.J.LT.H.JW…  .L...L......................L...L......…  0
  73  fennick       UEE.NU.KN..FDK..F..N.E.UN.UEE.D.NKD..K.…  UEE.NU.KN..FDK..F..N.E.UN.UEE.D.NKD..K.…  0
  74  fennick       JW.KWH.J.H.KH..WCW.JL.LWL.WLC.LH.HH.CC.…  JW.KWH.J.H.KH..WCW.JL.LWL.WLC.LH.HH.CC.…  0
  75  fennick       EBR..EJ.RR.EEJ.BJ.R.EA..A..B.J.ARE.E..C…  EBR..EJ.RR.EEJ.BJ.R.EA..A..B.J.ARE.E..C…  0
  76  fennick       SJV.V..K.KJ.SF.SP.P.SKF.JF..JVV.F.J.PV.…  ..V.........S..S.............V....J....…  0
  77  fennick       RLR..LH..WH.LW.G.H.GRR.RWE.HL.RRG.GE.HE…  RLR..LH..WH.LW.G.H.GRR.RWE.HL.RRG.GE.HE…  0
  78  fennick       FP.P..LJF..GP..CCP.FF.LJ.G..JC.PC.GCJ.C…  FP.P..LJF..GP..CCP.FF.LJ.G..JC.PC.GCJ.C…  0
