Centaur Zendo round 3 (training)
round_id : f6539d57834347a998df1ccafce12cb2
written  : 2026-09-04 13:45:21Z
presented=454  answered=454  correct=0  skipped=0
client answer latency: mean 0.155 ms  median 0.150 ms  max 1.148 ms  (n=455)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  fennick       HW..UP.W.BH.U..P..HHP.BB..PP.UPU.S.H.PB…  .W..U...............P..B...............…  0
   1  fennick       SVS.M.V.VP..SS.G..GG.EP.GS.EE.G.S.VP.P.…  SVS............G..G..E.................…  0
   2  fennick       VJ.J.V.UD..CC.EV.VU.EU.JUE.C.EJ.U.CC.DU…  V....V..D......V.VU..U.JU..C..J.U.CC.DU…  0
   3  fennick       GEH..EUG..JG.LE.UH.HLH.GE..LG.U.HUL.JU.…  G.H...U......L..UH.....................…  0
   4  fennick       FEF..AA.EE.RHN..HE..RHF.AH.EHE.AN.F.FN.…  .....AA.................A......A.......…  0
   5  fennick       CLG.AL..GU.L.BU.CGA.GU.B.GA.CBA.G..BA..…  ....A....U...BU...A..U.B..A..BA....BA..…  0
   6  fennick       RW.EJ.WRW.JV.JJ.R.JR.V.J.RV.W..WR..T..J…  RW..J.WRW.J............................…  0
   7  fennick       PGR.PP.R..EG..LR.L.EP.E.G.GP.P.E.K.KK.K…  .............................P.........…  0
   8  fennick       TCE.J..B.BJ.TW..EJJ.EC.J.BW.EJC..E.CE.C…  T.E.......J..W...J...C........C.....E.C…  0
   9  fennick       GM.HB..GG.A.HH.WW.B.BH.GM.M..WHM..HM.MA…  GM.H...G..A.H.........................A…  0
  10  fennick       BC.RC.CA.GB..CR.B.V..C.AV.R..GVA..A.AR.…  ....C.CA.G...CR...V..C.AV.R..GVA..A.AR.…  0
  11  fennick       AJD..BG..BG.DJ.J..B..AA.DGG.G.D.JB.DM..…  A.D...G.....D...........D..............…  0
  12  fennick       JG..CA.JA.GH.FAG.FF..J..AFJ.G.FFA.JJ..A…  .....A..A.....A.........A.......A.....A…  0
  13  fennick       EB..GN.AN..HNE.E..G..EH.N..H.A.BA.GE.BN…  ....G.............G...............G....…  0
  14  fennick       JP.RR.M.MMJ.VAM.JMR.PV..JP.R..AM..PA.RM…  J..RR.....J.V..........................…  0
  15  fennick       BWV.MLF.BFM.V..WFF.B.WW.WL.BM.F.BF.WM..…  .................................F.W...…  0
  16  fennick       TRT..NT.R..AW.H.RAR.AR..WH.HH.WT.AW.A.N…  ..T.....R...W.H..A.........H..W........…  0
  17  fennick       UK..JB.TK.UU.JTB.U.UUJ.T.J.DU.D.JT.BK.K…  U...JB.T..UU.JT..U.....T.........T.....…  0
  18  fennick       EPE.CG..ERG.RC.WWW.CG.G.WR.E.R.C.RWE.RW…  .P...G..E.G.R...WW.CG.G.WR.E.R.C.RWE.RW…  0
  19  fennick       NVV.SV.V.SP..T.VS.S.NP.S.N..VTP.FT.NN..…  NV..S....SP.........N....N.............…  0
  20  fennick       BB.HH.BPN..PP.NNJ..BPH..H.JJ.N.BG.B.J.H…  ...HH...........J....H..H.JJ........J.H…  0
  21  fennick       MHU.UU.CM.HC.A..U.M..HC.C..H..AH.AWC..U…  ..U.UU..........U.....................U…  0
  22  fennick       NRN.N.KN.AK.KR.LR.R..F.KL..K.RL.NKR..N.…  NRN.N.K...K....L.......................…  0
  23  fennick       EE.RL..EKL.LW.VEK.RWW.KEV..L.LW.K.E.KW.…  .............................L..K...K..…  0
  24  fennick       EH..CM.CM.UE.CP..EH.E..UCC.EH.CE.PPM.MH…  .....M..M..............U...EH......M..H…  0
  25  fennick       TN.R.TR..HNN.R.B.BT.NR.BT..NW..W.T.HB.T…  TN.R..R......R.B.......................…  0
  26  fennick       AKE.CT.E.C.P.KPC.EC.AP.PA.EAT..EPA..PK.…  .K...T.E.....KPC.EC..P.PA.EAT..EPA..PK.…  0
  27  fennick       TTE.W.ET.KK..TKK..E.WE..T.JK.ES.JT.TE.J…  TTE....T.K................J............…  0
  28  fennick       RRH.A..P.CH..PP..U.CAA.PRC.UU..CH.RC.AA…  RR......................R.........R....…  0
  29  fennick       VW.WN.FV.VPP..P.NF.PNV..FW..N.V..W.F..T…  ....N...........N...N.......N..........…  0
  30  fennick       GR.RS.SR.JS.GJ.AT.T..A.JAR..G..J..JS.AS…  .R..S.S..J...J.A.......................…  0
  31  fennick       FPT.CP..MT.CF.M.UP.PP.F..T..C.MU.TC.FT.…  .................................T...T.…  0
  32  fennick       BD.G.KP.P.N..BN..KN.GB.DN.NP.DPP.K.ND.G…  ..........N...N.....G.................G…  0
  33  fennick       DNH.E.DVD.V..MEN..VNE.M.N.DE.DM.D.VH.MN…  DNH...D......M.N...................H...…  0
  34  fennick       FB..HAH.RBF.K.K.HF.KH.A..F.AA.AH.R.F.BA…  .B......RB....K.HF.KH.A..F.AA.AH.R.F.BA…  0
  35  fennick       PP.GR.J.PS.JSB.BGR.B.P.JPR.BG.PP.BP.R.R…  P...R.J......B.B.R.....................…  0
  36  fennick       WU.K.WJ..WU.U.R.JKU.JR..KLW.JKW.LU.K.L.…  W....W...W................W...W........…  0
  37  fennick       FE.FV.P..EA.CV..E..F..AAP.AP.VFE.EV.FPC…  .E.......E......E..............E.E.....…  0
  38  fennick       BBN.EBE.HW.WB.N.W.H.L..HL.NHL.E.NE.B..W…  ..N.E.E..W..........L..................…  0
  39  fennick       PPJ..D.UB.HU.J.DP.PB.B.H.U..DP.JH.P.DDH…  .......................................…  0
