Centaur Zendo round 4 (training)
round_id : 523e9eea6f144cfe809102331e909712
written  : 2026-09-04 13:57:00Z
presented=400  answered=400  correct=5  skipped=0
client answer latency: mean 0.178 ms  median 0.171 ms  max 1.296 ms  (n=400)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  fennick       EM.V.M.V.B.GM..BB.BE..VG.E.BG..G.EC.GB.…  EM.V...V.B.GM...B..........BG....EC.G..…  0
   1  fennick       NNF..NJB.HNU.H..B.J.N.HBH.FB..UB.UJN.UF…  .N...........H..B...N..BH.FB..UB.....U.…  1
   2  fennick       BJH.J..JH.J.U.UU..G.PG.UJG.JB..GGP.HP.J…  .......J...........................HP..…  0
   3  fennick       VRH.BR.RS.HRW.B.W.V.B.WW..H.S.VV..BV.WB…  .......................................…  0
   4  fennick       CCD..V.EC.T.N.TE.C..CVV.TTT..E.DC.D..NE…  ......................V................…  0
   5  fennick       LD.LL.D.VP..PD.W.WG..LG.GL..P..L..DW.PV…  LD....D..........WG......L..P..L..D...V…  0
   6  fennick       VA.LA.J.V.L.R.A.LAV..M.VVL.RL..MAJ.VA..…  VA.L..J.......A.L.V........R...MA......…  0
   7  fennick       FK..RR.DFM.DF..DK.R.NR.FN.D..NND.N.M.RM…  FK...R.....DF........R..N.D...ND...M...…  0
   8  fennick       FG.FKK.EH..DHE..E.HDE.G.KE.D..F.K.FK.DF…  ..................H....................…  0
   9  fennick       GTS..GW.DG.GW..T.GSW.S.W.DWG.WWS.G..HD.…  .......................................…  0
  10  fennick       TJS.AJ..MA..S.M.TT.T..SST.AR.RA.MJ.R..J…  ........M..............................…  0
  11  fennick       JPP.LLJ.V.LE.L..J.E.VJ..N..LJ.PE..VPP.E…  .P..LL.....E.L..........N.........VP...…  0
  12  fennick       WN.N..NE.HWW.SNN.DEH.WE.S.HHD.HS.EN.DE.…  .N....NE.H.W.S.N.....WE...H...HS....D..…  0
  13  fennick       JJ.C.MD.EH.D.M.HJ.E..CHM.HJ.ED.DC.J..ED…  .J...M.....D...H..E..C...HJ....D..J..ED…  0
  14  fennick       SJ..LJ.JJ.FVS.F.FJF.JB.B.BJ..J..SV.S..B…  ......................................B…  0
  15  fennick       APA.NB.A..C.AM.PC.BCP..P.CNN..MCA.CPC.P…  .......................................…  0
  16  fennick       HR.H..C.HR..R.RC.WV..V..WV.RVW.HE.CWH.W…  ..................V......V.R...........…  0
  17  fennick       GG.V..DK.GW..D.R..VK.DD.RWR.K..RDV.VV.G…  .G...................D..RW......DV.V...…  0
  18  fennick       FAU.FF.C.CUU..AFV..F.A.VAC..G.AF.UC.UU.…  FAU..F.C...U..A.V....A...C..G.......U..…  0
  19  fennick       RA..JA.H.JH..A.J.AHJ.L.HL..CLA.CR.RJL.C…  ....JA....H......AH.....L...L..CR...L..…  0
  20  fennick       KEE..KHH.HKW.E.EH.KWW.KL.W.H.LL.EKH..HW…  ..........K...................L........…  0
  21  fennick       KB.KBK.DDP.DS.BKB..D.PP..DW.K.SKD.P.BBK…  .......................................…  0
  22  fennick       AA.A.V..VD..NV.MU.NAD..UA.DU.DNU.VA.M.U…  .......................................…  0
  23  fennick       NNP.RR..N.KST.NN..S.KSS.R.T.NNK.TR.KP.R…  ............T.NN..S.....R.T........KP..…  0
  24  fennick       MRJ.FF.F.F.MP..R.RH.H..M.P.J.RJ.HH.FM.H…  MRJ.F.............H....M.P...RJ.H.....H…  0
  25  fennick       VT.WS.HS.WD.SH.VH.HD.VW.V..H.D.T.WH..WT…  .......S.WD..H.V..HD....V..H.D.T.WH...T…  0
  26  fennick       DCT.B.AC.CVV.V.DV..BVV.BB.ACT..A.T.BAV.…  ...........................C...........…  0
  27  fennick       EE..MUM.UEP.EPK.EG.PM.P.MU.M.GU.U.ME.G.…  .......................................…  0
  28  fennick       GC.C..FF.C.S.VJC.CC.G.FVJ.J..SJG..JG.V.…  G......................................…  0
  29  fennick       GLN.NN.RE..DG.L.N.LL.NG.REL.E.G.R..NR..…  ...........D......L.......L.E.G.....R..…  0
  30  fennick       PH.KP..K.HKT.CE.TE..HC.HE.E.PT.CCT..KC.…  PH.........T.C...E..H.....E.PT.C....KC.…  0
  31  fennick       SU.AC.C..ACS..CU.CA.CUU.SE.AA.A.S.E.R..…  ......C..A.S..CU.C..C.U.SE.A..A.S......…  0
  32  fennick       ML.M.LKD.KM.K..J..D.KF.F.FDK.L..MF.DKJ.…  ...........................K...........…  0
  33  fennick       HLV..D.L..DD.D.LL.HV.VGS.V.S.GVH.DGG.LL…  .......................................…  0
  34  fennick       UV..FAV.TV.F.UU.N..A.UU..AF.TU..T..U..T…  .........................A.............…  0
  35  fennick       ARA.GC.MM.GN.MG.GG..N..A..G..NR.CN.C.MM…  .......M............N.........R.......M…  0
  36  fennick       NA.E.NN..CD.NR..A.R.D..EA.N..AR.R.NRE.D…  NA.E..N..CD..R......D...A.....R....RE.D…  0
  37  fennick       EGE..LFE.G..GF.L.A.FA.F.VE.EVV.V.LE.VV.…  ..E......G...F......A.F..E..V..V..E..V.…  0
  38  fennick       LBE.NUB..NL.B..L.US.U..LS.NLU.N.E..EEB.…  ...............L.......................…  0
  39  fennick       PPP.KJ.DF..K.DJ.KP.E..PE.JKD..JK.FJ.J..…  .......................................…  0
  40  fennick       EPE.T..VDE..P.KE.DT.D.PED.TP.D.V..E.TD.…  .P...........................D.........…  0
  41  fennick       VK..PV.PU.A..P.AL..K.V.AAK.PA..UV..KK.U…  .......P..A..P.............PA...V......…  0
  42  fennick       EE.WEW.WM.VME.M..V.MW..VK.E..ET.K..KMK.…  .E.WE..WM.V.E.M........VK....ET....KM..…  0
  43  fennick       BT.H.FTF.HU.FUT..AH.TF.AU.B..T..F..HH.U…  B.....TF.H..FU......TF....B.....F..HH.U…  0
  44  fennick       EEK.K.C.LE.CE..KU.LE.UE.L.KV.E.V..U..CV…  ...............K........L..............…  0
  45  fennick       KP.KKC.EW.K.WC.WP..P.PW..E.PP.EWC..W..K…  .......................................…  0
  46  fennick       CEJ.D.EEE.CBC..BB.E.CB.BE..JB.J.JDD..EA…  ....D.............................D....…  0
  47  fennick       SR.RJ.MS.S.TJP.MP.JT.RS.T.PP..S..JM..TJ…  ...R......................P..........T.…  0
  48  fennick       FK.FK.PJG.H.GHH.FK.FHG.J..JF.PG.PP.PK.F…  FK....P.G.H..H..FK..HG.J..JF....P......…  0
  49  fennick       GGG.GNG.L.LLG.D.LL.SL..DN.A.G.N.S.DDS.N…  .G..G.....L.G.D.LL.SL..DN.........D.S.N…  0
  50  fennick       NH.RN.P.PH.DGD.GHG.HR..H..PD.NGH.N.RRR.…  .......................................…  0
  51  fennick       ME.JM..AA.E.EV.MMR.JR.M.V.A.J.JE.AJM.ER…  .......................................…  0
  52  fennick       UK.JK.UW.CC.JU..FWF.FCW.FFC..JK..W..K.C…  ......U..............C.................…  0
  53  fennick       VFD.V.VRV..FBF.KBB.K.F.BB.FK..R..BBB.VR…  ..D.V...................B..............…  0
  54  fennick       FGG.T.GCC.VCA.AA.VC.V..GF.G.TF..CF..VF.…  FG..T.GC..VCA..A....V.......TF..C......…  0
  55  fennick       GG.GH.JF..JGJ.H.CGC..F.G.HS.HG.JGJ.HS.J…  .G.....F..JG..H...C..F.G..S.H..JGJ..S.J…  0
  56  fennick       RHR.HV..MV.RHW.W.V.M.KRH.WV.VM.KR.H.R.K…  .................V.......W.............…  0
  57  fennick       TH.LU..HMM.UC..C..CT.LTL..MU.MU.L.H.CTM…  .......................................…  0
  58  fennick       AR.R.H.RWW.AR.RR..WRH.JJ.W..G..J.GW.JG.…  A.................................W....…  0
  59  fennick       VM..LL.LV..N..V.VM..CL.M..NLV.LVH.CN.HV…  ....L...V.......V.............L.H....H.…  0
  60  fennick       EU.U.N..NVF.UN.F.ENS.FU..SF.VF.NE.VV..S…  EU........F.U......S.F......VF.NE.VV..S…  0
  61  fennick       AF.BN.MFA..NM.AA.AB.F.MEB.A.EM..FB..EA.…  ....N...A..NM..A.AB.F.....A.EM...B...A.…  0
  62  fennick       KW.WSS.SWK.KKE.BW..SK..EPE.KPP..W.S..P.…  ...................S...................…  0
  63  fennick       MLH.M..CL..S.MCS..MS.SC..C.AL.MH..H.MMC…  .......................................…  0
  64  fennick       ER.BAR..P.ERP.B.BM..RA.RR.EMA..M..EP..M…  .......................................…  0
  65  fennick       KF..MP.FS.SMC.CC..SC.S.MFS.SF.MPF.K.M.C…  .F.........MC..C..SC.S.MF..SF.MP.......…  0
  66  fennick       PJ.B..PR.P.S.PS.JRK..BB.K.P.KS.RS.KRS..…  .J.B...R.P.S......K.......P.KS......S..…  0
  67  fennick       UME..SS.ESM.SK.NE..MU.U.ES.K..NU..NK.M.…  ......S.E.M.S...........ES.K..NU..N..M.…  0
  68  fennick       DRC.D.AA.T.CN.DN.TT.RAD.RNA.N.RT..C..C.…  ..................T....................…  0
  69  fennick       UWP..W.A.PU.PAA.HUA..WH.U.LPU..ALW.LL.A…  .......................................…  0
  70  fennick       MW.KV.SMW.W.VF.F.WF.KMM.MSW.MK..K..FW..…  .........................S.............…  0
  71  fennick       DJ.V.WDU.UT.W.TTT.DU.VV..DU..JW.J.UW.JW…  ...V.................VV...........U...W…  0
  72  fennick       EH.FB.PBE.G..GFH.EH.F..BH.H.E.B.PGG.EB.…  EH..B.P.......F..EH....B..H.......G..B.…  0
  73  fennick       FNN.FLU.L.LV..LLK.KKU.FU.VV.FNL.N..NF..…  ....F...L..V..L...K.U..U.VV.FNL....N...…  0
  74  fennick       HPU..PPE..KK.EK.CH.KKE.K..C.H.HUE.CC.PK…  ....................K..................…  0
  75  fennick       VJH..FJF.F.JVT.VF.MJ.H.T.FM.J.FJ.HMJ..M…  .......................................…  0
  76  fennick       UT.DA.KD.TDT.D.AUB.UK.U..DT..KDT.B.DB.U…  ...............A.......................…  0
  77  fennick       PS.P.HB.SG.PS..HPH.HPS.PG..PG..CP.G.GB.…  ............S..HP...PS.........C.....B.…  0
  78  fennick       HHD.J..MR.D..M.RR.R.JDJ..RR.VJ.VH.MV..V…  H.D.J..MR....M..R....DJ..R..V......V...…  0
  79  fennick       JFE.EV.JV.K.JFF..M.JF.KF.FME..E..KFE.V.…  ....E..JV....F...M.JF..F.FM...E..KF....…  0
  80  fennick       DS..D.E.LS.J.L.DD.E..JDS.F.FE..DL.DDF.E…  .......................................…  0
  81  fennick       GG.GD.DR.DSH.GH..GS.H.D.DD..PP.G.RRR.PP…  .......................................…  0
  82  fennick       CCG.GPR.GH.E.H.PPC.PCR.G.C.EH.PR..EP.GP…  .C...............C...R........PR.......…  0
  83  fennick       GE.EAJ..J.E.EJN.N.RJG.A.GN..G.RRA.R.NE.…  ........J..........J.................E.…  0
  84  fennick       ES.SST.SJ..NN.EN.ST..N..ST.TR.E.RTE.R.T…  ES..ST..J......N.S.......T..R.E........…  0
  85  fennick       ATP..TD.AJJ.DT.P.LJ.D.J.TJ.LL.A.PDA..JT…  ..P..T..A.J.D.........J.T..L....PDA..J.…  0
  86  fennick       PP.CP.GG..J.JLJ.P.GGL..HLL.HPL.HC.G.LJ.…  .........................L.............…  0
  87  fennick       UUS.N.EP..SU..P..EEN..E.S.HP.EUS.UH.NNS…  .......................................…  0
  88  fennick       JEG.JG..EJ.V.VJ.ED.ES.S..JS.GJS.G..S.J.…  .......................................…  0
  89  fennick       RN.G.GG.TTR.R.SNS..TN..GRG.N.GNL..GL.NN…  .....GG.......................N........…  0
  90  fennick       NU.P.BM.ULU.B.MLU..M..L.BL.ML.PBL.LNM.P…  NU.P.BM..LU........M..L.B...L.PB......P…  0
  91  fennick       GE..NNG.SE.CH..GG.SES.H.G.NS.HC.HCH.EC.…  .....N...E.C....G.SE..H....S..C.H...E..…  0
  92  fennick       CDD.TT.C.PD.G.CDP.GJD.TJ.JG.J..CJ..PTG.…  .......................................…  0
  93  fennick       RST.R.TR.RS.TRG.T..S.GMR.R.GUU.MR..MU.R…  .......................................…  0
  94  fennick       WG.DWG.W..GD.G..CCV.U..VV.GC.WU.VGW.C.D…  .............................WU........…  0
  95  fennick       UB.AD.U..H..DA..BUA.HD.AU..D.D..HJ.B.HU…  ...A........DA....A..D.................…  0
  96  fennick       EP.SSG..ES.SGE.PG.E.P..LPW.WL.SW..W.WS.…  .P.S.....S...E..G.E....L.W....SW.......…  0
  97  fennick       VP.GK.P.K.KV.V..JM.JV.GGK.M.MPM.VK..PV.…  .P......K..V.V..J..JV.G.K.M..PM.V....V.…  0
  98  fennick       UD.TRU..U..WUD.UN..UT.WR.R..NRR..DT.DW.…  ............U..........................…  0
  99  fennick       NHT.H.P.SSN..TT.N.TH.T.F..PN.PH..FS.FF.…  .......................................…  0
 100  fennick       CP..CK..F.NPN.CNN.CPP.K.PP.CK.HKH..P.KP…  ..............................H.H......…  0
 101  fennick       GSG.GG.N..C.CN.G..SP.NC.SN.T.PS.S..T.TC…  .....G.N.....N.......N..SN....S....T..C…  0
 102  fennick       MB.B..MB.TE.MR..E.RR.RB..EB.T.TBH.R..HB…  .B....MB.T..MR..E..R......B...T.H.R....…  0
