Centaur Zendo round 5 (training)
round_id : dc2c241df8a543eb80a35f6308ffc780
written  : 2026-09-04 14:02:20Z
presented=447  answered=447  correct=2  skipped=0
client answer latency: mean 0.163 ms  median 0.156 ms  max 1.153 ms  (n=448)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  fennick       UAR..WRU.WWK.P.KW.UKW.AUA.UUR.PU.RP.PP.…  ..................UKW.AUA.UUR.PU.RP.PP.…  0
   1  fennick       JN..CBC.N..J.JB.UB..B.BN.UJN.NC.ENB.C..…  J......................................…  0
   2  fennick       VUG.WU.S..WV.SU.GMM.GV.W.WV..G..U..SW.G…  VUG.WU.S..WV.SU.GMM.GV.W.WV..G..U..SW..…  0
   3  fennick       WM.M.FMW.S.SS.SM.HH.R..MS..W.RW.HH.FR.F…  ...................................F...…  0
   4  fennick       HA.HC.LA.PC..PH.P.DL..C.DH..DLH..PP.L.A…  .......................................…  0
   5  fennick       NN.TM.V.NV.E..EM.C.M.VM..T.C.EC.N.CV.V.…  ....M....V.....M.......................…  0
   6  fennick       SF.CJ.JJ..HB.HBJ.FC.HHC..BF.BB.B..C..J.…  .......J............H.....F............…  0
   7  fennick       PP.P.L.GP.TG..U..RL..PG.R.GTT..UP.T.G..…  ...........G..............G.....P...G..…  0
   8  fennick       HHH.A..GR.F.RH.AA.G..RHG.R.CH..H..CRA.C…  ...............AA.G..RHG.R.CH..H..CRA.C…  0
   9  fennick       UUV.GV.UF.V.LV.LG.G..GU.L.U.F.GSV..SSV.…  UU.....................................…  0
  10  fennick       RW.H..W.RRA..WA.RH.WW.PT.HP..HPP.T.R.PH…  RW.H..W.RRA..WA.RH.WW.PT.HP..HPP.......…  0
  11  fennick       RMN.NM.D.JV.M..MDR.MJM.V.J..JJ.JN.DDD.R…  ................................N......…  0
  12  fennick       GV.A.GK.G.GP..AV.KL.PV.KGL..PK.LL.LA.L.…  .......................................…  0
  13  fennick       WBU.T.WP.M.PBT..UWW.UT.TUB.U.WU.MM..WT.…  ..U....................................…  0
  14  fennick       TF..T.UF.JVP..F.P.U.JT.FU.J..TU.PP..JUV…  .......................F...............…  0
  15  fennick       FFM.F.W.WF..AW.UMU.V..U.A..VWM.AU.FF.AF…  .F....W.W...A........................A.…  0
  16  fennick       UWK.U.WP.UK.N..W.NPN..KB.UKP.K..B.NU.PU…  ............N..W.NPN..KB.UKP.K..B.NU.PU…  0
  17  fennick       PBP.R.GP..LF..BL.GB.FR.PP.PB.GB.LR.L.LG…  P......................................…  0
