Centaur Zendo round 1 (training)
round_id : 44655e44fb164ebfa679923ea4af6821
written  : 2026-09-04 13:22:18Z
presented=571  answered=0  correct=0  skipped=572
client answer latency: mean 0.096 ms  median 0.091 ms  max 1.206 ms  (n=572)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  fennick       VWH.VWP.V.HHL.HW.PVL.WHV.HVW..H.PWV.R.W…  None                                      0
   1  fennick       TR..HF.T.FR.HR.TH.STT..RS..FJ.H.S.TR.TJ…  None                                      0
   2  fennick       GRF..G.FAR.NM.FA.FA.NA.GN..A.GAG..RFN.M…  None                                      0
   3  fennick       ALC.ACR.CC.C.LLR..ARS.L.UR.RLA.LC..A.SL…  None                                      0
   4  fennick       BV.V.RV.HV.DBR..DB.H.DH.P.DP..R..HH.HP.…  None                                      0
   5  fennick       BBL..UJ..L.G..GG.BG.J.SSJ.B.U.GL.BL.S..…  None                                      0
   6  fennick       JK.HKT.H..T.A..KTH..J..P.JH.KA.JJ..PP.K…  None                                      0
   7  fennick       EV..G.E.VGC.B.V.VE.CB.VG.BJ.E.CJ..GV.J.…  None                                      0
   8  fennick       WK.RJ.JF.KF.JMK..RF.RM.W..J..RM.F.RM.FM…  None                                      0
   9  fennick       UHR.HU.V.RV.R..HV.UU.HWP.WW.HP.RPW.RVV.…  None                                      0
  10  fennick       NK.WS.N.KW..K.R.SD.W.D.WWN.DW.RNN.WR..S…  None                                      0
  11  fennick       TFF.T..V.VR.VJ.RR.J.FFF..F..VJ.FR..JT.V…  None                                      0
  12  fennick       RMR..SE..PPS.MBR.BP.B.PME.EB.EMB.MP.S.P…  None                                      0
  13  fennick       EEW.NTU.RR..TNE..W.WR.U..NW.N.R..WUN.E.…  None                                      0
  14  fennick       WWW.B..SP..CA.A.P.SWC.SA.W.SSS.PA..C.BP…  None                                      0
  15  fennick       GPP.B..GP..SP.S..L.BSS.SS.BG.BL.PNN.N.P…  None                                      0
  16  fennick       SGM.M.S..DWG.MG.MMW.GW..GSW.SW.STT.W..T…  None                                      0
  17  fennick       GRG.DW..W.R.SM.MM.D.S..RDM..M..G.DMW.WW…  None                                      0
  18  fennick       WGD.DN.WW.S.SG.SD..G.N.D.A.AN..WN.GG..S…  None                                      0
  19  fennick       DPP.PMM.JM.KJ.D.K.DK.M.D.J..DDP..JU.KK.…  None                                      0
  20  fennick       HH.W.SWU..U..W..GG.U..G.GW.GW.DS..DGU.H…  None                                      0
  21  fennick       BH.H.UBK.U.R.BV.UKR.VR..B..V..BU..HU.HR…  None                                      0
  22  fennick       LT.LH.M.TT.HM.HC.MAM.L.L..HA..A.CT..H.C…  None                                      0
  23  fennick       PP..KFH.HGG.PE..GK.HEF.EKP.K..H.HG.F.G.…  None                                      0
  24  fennick       GV..A.AG.AA.TV.ATD..AGG.V.T.D.FD.G..F..…  None                                      0
  25  fennick       UU..J.DD.UK.D..KM.KMK.K.P.DP..DP.D.UP.U…  None                                      0
  26  fennick       RMS.UUS.RS.MC.S.SU.M.FMU.F.CC..SCR.CR..…  None                                      0
  27  fennick       DA..J.JC.AA.KJ.DK..DB.B.CCB.C.JB..CJJ.K…  None                                      0
  28  fennick       TBT.EB..ET.FF.F.BL.FEF..MT.M..L.LF.LB.E…  None                                      0
  29  fennick       DL.FH.DP.P.DD..P..HF.HP.HP.H.FUP..UF.L.…  None                                      0
  30  fennick       FCW.GC..L..W.CC.U..F..WG.UW.GU.CF.CFU.W…  None                                      0
  31  fennick       MMF.CF.K.VC.CK.HVK.C.KF.KV.V..F..H.VH..…  None                                      0
  32  fennick       PG.EP.GUU..JU.HE.EU.H.P.EJ.E.UG.JGP.EH.…  None                                      0
  33  fennick       PN.VP.RU..P.NP.H.HNV.NP.HH.HUH.V.VU.PU.…  None                                      0
  34  fennick       DS.DVD.KSS.JRS..J.K.S.D.JDK.R..KRV.JJR.…  None                                      0
  35  fennick       JV.SD.D.V..JC.C.J.DG.S.DV.GS.GC.JDS..G.…  None                                      0
  36  fennick       DR.HA.HA.B.U.UR.BH.D.BDD..R.BU.HRB.A.H.…  None                                      0
  37  fennick       NK.EAJ.K.E.A.N.NN.EAJ.J.N..AN.TJ..NE.TA…  None                                      0
  38  fennick       FH.DT.FJT.KJ..F.HHD..HHT..J..KJ.H.JJ.K.…  None                                      0
  39  fennick       EG.SS.EP.MMG.KM.EG.M..KKP.PM..ES..G.SKG…  None                                      0
  40  fennick       GK.TRR.GG.R.GT.T..N..GN.KR..K..SNR.SK..…  None                                      0
  41  fennick       VE.D.NEW.WN..EWE.EH..DD.H..V..N.NV..WVH…  None                                      0
  42  fennick       EK..EDE.D.DH.B.KK.NK.K.ENH.BD.NE.HD.N..…  None                                      0
  43  fennick       HHW.S.W.WWW..SH.WB.UB.UHW.FH.B.SU.U.UHB…  None                                      0
  44  fennick       LRG..LGR..G.U.AR.UG.LU.AU.LP.A..GGU.RU.…  None                                      0
  45  fennick       EE.ENP.P.RSR.F.NR.FSS.NPP.FRR..N.NFE.ES…  None                                      0
  46  fennick       BU.BDT.BH..UD..B.UVU.VBH.V..D.HB.HD.H.U…  None                                      0
  47  fennick       CW.TM.WT.MW..TVC.WV.DCD.MW.DT.V.T.V..CV…  None                                      0
  48  fennick       EHR.BSD..SRS.RB.ESS.H.HH.E.HB..D..B.DHB…  None                                      0
  49  fennick       RR..T.PK..K.KP..WRK.TKT.W.WK.CKC.R.RWT.…  None                                      0
  50  fennick       AK.AK..J..CAC.JA.H.AJ..HJJ.A..C.CCH.UU.…  None                                      0
  51  fennick       ABA.GG.AU..GG.W.B..PP.G.AWG.A.BGW.U.BP.…  None                                      0
  52  fennick       HN.NPH.NBE..U..NB.N.H..HP..P..B.PP.EE.B…  None                                      0
  53  fennick       KCF.K.F.C.PK..A.AC.PCT.FKK.KA.KC.AF.P.T…  None                                      0
  54  fennick       VUN.NN.U.EV.KU.K.AV..UEA.EK..A.UN..AV.A…  None                                      0
  55  fennick       DP.GEE.G.DP.E.AG.DP.P.AG..DA..WW.WG.A.D…  None                                      0
