Centaur Zendo round 2 (training)
round_id : 80cb5385915b4b0baae6a05e05395799
written  : 2026-09-04 13:29:22Z
presented=432  answered=432  correct=0  skipped=0
client answer latency: mean 0.148 ms  median 0.137 ms  max 1.214 ms  (n=432)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  fennick       BWW..JB..GJB.K..G.RK..R..W.KJ.RJW.J.GB.…  BWW..JB..GJB.K..G.RK..R..W.KJ.RJW.J.GB.…  0
   1  fennick       PWJ.PS..FW..PSJ..KKP.WSK.SPP.K.JK.PS.FW…  =======================================…  0
   2  fennick       EK.K.EB.M..HT.TMM.KH.E.BE.MK..BK.KM.HE.…  EK.K.EB.M..HT.TMM.KH.E.BE.MK..BK.KM.HE.…  0
   3  fennick       CAF.G.FKK.LL.K..AF.A.C.GC.GAC.CA.AG..CK…  CAF.G.FKK.LL.K..AF.A.C.GC.GAC.CA.AG..CK…  0
   4  fennick       UMM.V.UUF.F..VS.FUK..M.SM.VUK.U.KKS.KU.…  UMM.V.UUF.F..VS.FUK..M.SM.VUK.U.KKS.KU.…  0
   5  fennick       EE.V..DN.VLL.LL..NS.DVE.L.DV..SN.NL.VDN…  EE.V..DN.VLL.LL..NS.DVE.L.DV..SN.NL.VDN…  0
   6  fennick       JJE..KL..KJ.LJ..L.DJL.E.JD.JK.MKE.J.DJ.…  JJE..KL..KJ.LJ..L.DJL.E.JD.JK.MKE.J.DJ.…  0
   7  fennick       PJA.M.P.SP..J.A.GJ..GS.PA.P.S.MA.JG.PJ.…  PJA.M.P.SP..J.A.GJ..GS.PA.P.S.MA.JG.PJ.…  0
   8  fennick       SBB.BF.JH.SSF.HF..B..WS.W.HS..JWF.FB.HW…  SBB.BF.JH.SSF.HF..B..WS.W.HS..JWF.FB.HW…  0
   9  fennick       CV.B..VN..BH.BH.CMC..H..C.MM.VN.V.BH..M…  CV.B..VN..BH.BH.CMC..H..C.MM.VN.V.BH..M…  0
  10  fennick       MT..WT.MT.TW.LLA.WL..AM.AMU.W.T.WU.L.M.…  MT..WT.MT.TW.LLA.WL..AM.AMU.W.T.WU.L.M.…  0
  11  fennick       DTS.FS.T..TDM.FTD..ST.PF.DDM.D.PP..F.P.…  DTS.FS.T..T............................…  0
  12  fennick       FR.TK.KR..F.TTW.FT.T.MMM.M.KR.WWW.TKM.M…  .......................................…  0
  13  fennick       HEN.ER.R.D.DHC.C..DH.N.HN.CR.DH.ER..NE.…  .........D.D.C.C..........C............…  0
  14  fennick       LKD..J.EL.JE.EE.DF..EF.E.JK.K.KK.L..F..…  .......E...E.EE.....E..E...............…  0
  15  fennick       FB.G..TFG.B..J.BD.FJ..DFJ.FD.FTB..T.GF.…  F......F..B....B.............FT........…  0
