Centaur Zendo round 3 (training)
round_id : de60ba4ba021459d9119e46cb1e00da7
written  : 2026-09-04 13:39:43Z
presented=762  answered=0  correct=0  skipped=763
client answer latency: mean 0.074 ms  median 0.067 ms  max 1.137 ms  (n=763)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  fennick       DW.D.MW..RM.WR.U.R.DUM.DMH.MW.M.UU.RH.H…  None                                      0
   1  fennick       VCP..P.CV.PD.G.V..CC.CV.GD.F.DF.DF.C.FG…  None                                      0
   2  fennick       WE.FF.SE.S.BES.SE..FS.FF.EEW..E.F.BWA.W…  None                                      0
   3  fennick       DDH.ALA.D..AD.E.CL..L..EC.HCE.C.ED.CHA.…  None                                      0
   4  fennick       VV.V.JPJ.G.JCG..J.VC.PG..CC.P..PG.VU..V…  None                                      0
   5  fennick       WKS.SK.SN..J.W..S.JK.KKN.L..WN.LLS.K..S…  None                                      0
   6  fennick       PVV..J..C.JT..D.T..JP.V.VCJ.PP.JD.VT.TP…  None                                      0
   7  fennick       GWF.W.FG.KWV.F.GBF..VK.V.WW.FW.GVF.BV.G…  None                                      0
   8  fennick       GKG.KR..T.M..GR.G.TG.WG.KKM..WTM.RW.WRK…  None                                      0
   9  fennick       JJ.WM.TT..W..SN.WS.SSW..J.NM..S.W.M.WS.…  None                                      0
  10  fennick       GWV.GS..V.SV.TMW..S.TM.WM.SVM.WWM..TMS.…  None                                      0
  11  fennick       FJD.L.MFM.FDL.FL.LDT.M..TJ.D..LF.JL.MFM…  None                                      0
  12  fennick       ET..HLH.LLE.PHL.PTE.ME..LEH.PM.E..MM.L.…  None                                      0
  13  fennick       AE.N.EA..H.MAN.NM.A.M.E..T..TT.TNA.EEA.…  None                                      0
  14  fennick       MD..TMT.CTL.LM.R.DDT.T.D.L.RC..M..MD.CR…  None                                      0
  15  fennick       KTT.DK.S.JTA.DA.A.JD.SDK.AT.AD..TTD.KJ.…  None                                      0
  16  fennick       FR.U.FR..FU.R.TG.UN.URN.T.RG.F.GN.G..TT…  None                                      0
  17  fennick       LS.NL.MS..MU.D..US.NUD.M.MS.DS.S.L.MMU.…  None                                      0
  18  fennick       GS..S.TL.LG.SR.SS.RG..G..TMT.MM.LG.R..R…  None                                      0
  19  fennick       VV.LV.DK.D.L..S.KG.DGS.GG..K.G.LVL.SG.S…  None                                      0
  20  fennick       LV..LV.AE..ALK.V..KA..DVD.E.AE.A.VV.KL.…  None                                      0
  21  fennick       HN..NJ.HJL.LTH.TH.TJ..KN.J..HH.TN.T..TK…  None                                      0
  22  fennick       WW.N.HN.FD.WN..H..D.HD.WD.AA.F.NAA.A..F…  None                                      0
  23  fennick       PLH.BH.CP.LP.BU.U..PB..P.BBC.BBB.HL.L.H…  None                                      0
  24  fennick       DE.DN.F..EAE.L.A..NAL.LA.FA.DEA..DEF.LF…  None                                      0
  25  fennick       VNV..MD.MS..DF.M..FS..NM..FS.DN.N.V.MF.…  None                                      0
  26  fennick       BU.JJ.JU.HHV..BHB.H..JSS.S.B.UH.HBB.V.H…  None                                      0
  27  fennick       WK.KKW.TU.TUJ..TW..NK.WT.JKN.NK..K.N..W…  None                                      0
  28  fennick       LBB.LAL..A.ALA.JV.AB.WJ..B..AV..V.JLL.V…  None                                      0
  29  fennick       EFE.FD.CCF.D.F.EJ.R..EDR.C..E..JEC..DD.…  None                                      0
  30  fennick       TEM.CC.TE.KK..T.KM.CFF.C.FK.CEF.FCF..K.…  None                                      0
  31  fennick       MR.RU.SP..SSW.PM.PR..W.PSM.MM.PU.SS.R..…  None                                      0
  32  fennick       NVE..VJ.JV.E.JV.EE.V.DT.T.EDV.EVT.J.JD.…  None                                      0
  33  fennick       SE.MMS.BM..ER.CB.C.MS.CBE.M..BE.R.CS.E.…  None                                      0
  34  fennick       CVS..S.SC.K..FC.F.FK..PC.FV.PS.P.C.SK.V…  None                                      0
  35  fennick       PP.W.UD..U.WF.D.WF..M..MW.DW..PM.F.PFP.…  None                                      0
  36  fennick       NH.N.B..MN.BHD..M.D..AN..BHH.BB.AD.NM.A…  None                                      0
  37  fennick       BE.W.B.HH.FWB.J.H.E.JH.WE..F..B..F.EW.F…  None                                      0
  38  fennick       HC.PCN.PF.NF..HF.FP..C.P..NEE..NH.PFN.H…  None                                      0
  39  fennick       TH.H..W..HJ..J.TW..A..AH.T.W..TJ.R.WT.W…  None                                      0
  40  fennick       MWS.AWS.CW.PP.AP..S.W..C..MPC..M.AC.SC.…  None                                      0
  41  fennick       NVV..NM.PP..AN.PM.P.MA.A.ADD..MN.DA.N.N…  None                                      0
