Centaur Zendo round 6 (training)
round_id : 5ecc32a55cc8460fb61759cdfe6bf13b
written  : 2026-09-04 13:53:07Z
presented=557  answered=244  correct=5  skipped=314
client answer latency: mean 0.133 ms  median 0.115 ms  max 1.248 ms  (n=558)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  fennick       ECE.CA.ME..MC..A.C.EC.G.GS..AAS.MG.SCG.…  E.......E..........E..........S........…  0
   1  fennick       SMS..S.RJ.MMM..SMS.MN.N..JJ.NJ..C.SR..J…  None                                      0
   2  fennick       EMN..RLR.A.LL.AN.MA.RL.LL.MN.NE.AA.N.R.…  None                                      0
   3  fennick       MA.SGT.T.S.TSS.J..TS.A.GM.JG.JMM..AMG..…  M..........T.......S.......G..M........…  0
   4  fennick       JH.RJ.HC.H.NJ.NJV.C.N.RN..VC.CH.V.VVJ..…  None                                      0
   5  fennick       MDC.JMD.DJT.JDM..J..TA.M.A.D..CA.MTA.T.…  M.......D..................D..C........…  0
   6  fennick       UA.TT.UK.AAA.BK..H.BK.T..HKA..UH.HT.UTK…  U..................B.......A..U.......K…  0
   7  fennick       TM.WP.PW.HH.P.PP.W..LHH.L.WW..HT..LMP..…  None                                      0
   8  fennick       LW..GWJ.K.LL.W.JK.L.GTT..J..KJ.LJ.WT.GL…  None                                      0
   9  fennick       TH.RHU.U.VU.UT..FH..R.T.FV.H.V.TF.F.URH…  T..........................H..........H…  0
  10  fennick       PN.GH.SG.BB.G..SH.B..BGP..HG.SG..N.PHP.…  P..........................G..G........…  0
  11  fennick       RD.JJJ.B..NN.P.RJ.D.PJP.DJB..JR.N.R.JD.…  None                                      0
  12  fennick       UNE..B.BU.EMN..MB..UE.MB.MM.U.M..JNB.BE…  ........U..........U..........M.......E…  0
  13  fennick       DC.F.FC.DC..FPC.HPH..PPD.CF.AA..DP.H..P…  D.......D.............P...............P…  0
  14  fennick       LK.KUK..UKU.PK.U.HP.P.V.UL..HP.L.KHV.HU…  None                                      0
  15  fennick       NWN.PW.NBN.HH..LH.WWB..W.WW..L.H.LH.LWP…  N.......B..........W..................P…  0
  16  fennick       CA.M.EM.E..WA.WT.EM.W.C.EWT.AEM.CWE.TM.…  None                                      0
  17  fennick       HVA..B.AHP.HP.V.T.BH.P.BBP..VB.VT..BV.T…  H........P.....................V.......…  0
  18  fennick       CL.JN.B.L..GG.CB.G.BC.JN..CCL.JJJ..LB..…  None                                      0
  19  fennick       PN.FVF..CP.P..NFP.CF.V.VF.F.DC.CD.CFN.C…  None                                      0
  20  fennick       VF.N.UGU..VF..GU.V.U.F..W.GUU.UF.FN..WW…  None                                      0
  21  fennick       BCJ.B.JS.WCB.J.BJW..N.NC..C.BJ..W.NJW.W…  None                                      0
  22  fennick       KS.G.KS.VR.K..GR..VG.BV.R.RGS..B.KR.GB.…  K.......V..........G.......G...........…  0
  23  fennick       AU.N.NAA.PN..R.MN.U..UUR.PMA.PN.AP..MNU…  None                                      0
  24  fennick       LD..BB.LB.J.BLL..MLM.B.BDM.L.D.ED.LD.LM…  None                                      0
  25  fennick       RT..E.R.ET..GR.T.GGL..LT.TL.GEL.RE..VE.…  R.......E..........L..........L........…  0
  26  fennick       HKF.LH.K.F.FH..K.HH.H.FG.E.LK.G.EF.LG..…  None                                      0
  27  fennick       TDT.D.DD.TTB.B.T.MG.BM..CB..TMG..CT.MCG…  T........T.B........B..................…  0
  28  fennick       VJ.G.V.VU.VE.NUE.J..UJE..U.GV..JV.N..E.…  V.......U..E..........E....G...........…  0
  29  fennick       AG.SA.DLA.GCC.LS..L.AL..CG.D.A.CD.GL.C.…  None                                      0
  30  fennick       HH.PT..LLL.RTR.T.H.E.LTR.TE.LP..R.EH..E…  None                                      0
  31  fennick       SSS.L.HM..FH.SLF.HR.FH.F.LR.RL.RR..R.M.…  None                                      0
  32  fennick       PP..LS.LWS.P.FLR..SP.L.LP.RRP.RP..R.W.S…  None                                      0
  33  fennick       PP.CU.AUE.EUC..KE.PAU.E.A.KK.CEE..AAE..…  None                                      0
  34  fennick       JJ.GG.NA.NJ.A.GR.J..RG..N.RJJ.NN.G.VNV.…  None                                      0
  35  fennick       LG.T.MTS.SLL.LS.SS..D.M.G..TD..GT.S..LG…  None                                      0
  36  fennick       GB.GSG.HGG..J.SJS..UG.SBJ..HH.B..S.BH.U…  ........G..........U.......H..B.......U…  0
  37  fennick       WC.WC..J.SJ.JP.WJS.W.WW..JJ.N.P..SS.JCN…  None                                      0
  38  fennick       KT..T.KT.BTN.A..D..NA.AD.K.NN.DKK.TDD.B…  K..................N.......N..D.......B…  0
  39  fennick       PJJ.LE.EJ..EE.EU.WP.J.P.UL..U.PU.L..PJ.…  P.......J..E..................P........…  0
  40  fennick       JMC.JM.MW.CC..W.MW.SW..C.S.SM.CCL.L.SL.…  None                                      0
  41  fennick       FDD.R.LFL.GG.GDF.RR.AD.FD.G..FF.RFA.F..…  None                                      0
  42  fennick       JA.GR.H.J.ER..HJA..ER.RHR.AG..E.JH.EEJ.…  None                                      0
  43  fennick       MKC.GC.F.GC..MK.MF..GK.EG..EF.KKF.EM.EM…  None                                      0
  44  fennick       VPT.JP.J.TP.PTJ..PJ.JV.V.P..TS.T.TL.L.J…  V................................T....J…  0
  45  fennick       RKC.PKC.TP.RK..PPR.DPD.KK.KR.R.CC.C..K.…  None                                      0
  46  fennick       RFV.FBJ.BV.VEB.RR.F.BJ.VB..JJ.RB.EJJ.J.…  None                                      0
  47  fennick       DRF..H.JFD.R.HDJ.THF.DJD.FR.F..J..DT.D.…  None                                      0
  48  fennick       HH.WW..HEP.EP.EH.WDE.JP.D.EED.JWP.H..P.…  H.......E..E.......E.......E..J........…  0
  49  fennick       NW.NA..W.NL..FL.WF.J.AL.NL.A..F.JJA.L.F…  ...................J.......A..F.......F…  0
  50  fennick       CKH.H..MK.CH.CC.MW.W.C.KKW..GH.GW.MH.WH…  None                                      0
  51  fennick       KVN.KB.R..NV.BS.RNS..K.N.NN.V..KVK.BS.B…  None                                      0
  52  fennick       DP.DA.AK.KA..CP.PKD.DK.PD.G.KG.K.D..PAC…  D..D.............................D....C…  0
  53  fennick       KM.E.E..W.V.KMM.K.VE.KH.K.H.WM..WEV.EWV…  K.......W..........E..................V…  0
  54  fennick       BB.T.V.VVS.EUV.UET.VTB..UV..SS.VE..B.US…  None                                      0
  55  fennick       DDB.SDB.U.KKK..S.UU.BS.DD.A.SKA.D.SK.DA…  None                                      0
  56  fennick       EEU.PEJ.SU.S.PP.EC.UJS.PS.CJ..P.J.ES..E…  None                                      0
  57  fennick       BH.VV.WH.V.VH..VM.E.M.EWE..BB.B.H.W.BVB…  B........V.V........M.E................…  0
  58  fennick       TJV..TT..NN.CVF.FC.VF..VN.VT.CN..CN.C.J…  T..................V.......T..N.......J…  0
  59  fennick       BDD.H..VD..SB.L.V.BB..H.S.LVH.VV.SB.BD.…  None                                      0
  60  fennick       LPF.WF.S..SW.KP.PFL..PSK..FW.PW.KK.W.F.…  None                                      0
  61  fennick       SM.MS.S.E.REV.SSV.M.AE.MR..A.R.V..M.A..…  S.......E..E...............A...........…  0
  62  fennick       JJG.T.FG.G.JUJ.F.JT.UDJ.DT.U.J.FG..D.GG…  J..........J..........J....U..........G…  0
  63  fennick       AJ..NVA..LV..A.CJ.VN.L.AA.VL.J..CNJ.V.J…  A..................N.......L..........J…  0
  64  fennick       EL..E..EL.LJV..JR.JL.VH.VLR..H.EJ.HH..R…  None                                      0
  65  fennick       RVR.VAR.AT.GGG..A..TPP.T.TPP..P.RP.G.PV…  ........A..........T.......P..P.......V…  0
  66  fennick       MM.ME.U.G.W.NEE..UW.M..WMN.UE..GU.GG.WN…  None                                      0
  67  fennick       BNR.ER.BNP.B..TB.R.BTR.TN.N.P..PR..BPT.…  None                                      0
  68  fennick       VVF.CE.GC..FEE..P.CG..E.CV..V..PP.C.GF.…  None                                      0
  69  fennick       GG.PHG.SGS..PHH.G.SS.CH.CP.PW.WC.C..W.P…  None                                      0
  70  fennick       KW..D.WDE.HEL.L.K..H..E.KH..EE.DD..KWH.…  K.......E..........H...................…  0
  71  fennick       GN.N.LGS.NK.VL.L.L..LG.K.KG..VK.V.NGS.K…  None                                      0
  72  fennick       CNU.U.DFU.GU.ND..CC..UG..D.NG..NNN.C..G…  None                                      0
  73  fennick       GGP.G.L..WG.R..W.W.RP..LR..GG.WW.D.LR.D…  None                                      0
  74  fennick       WW.DSP.WS.PDT..T.S.TD.TP.LP.TT.L.W.P..S…  W.......S..D.......T..................S…  0
  75  fennick       EPF.AP.E.GFL.L.GG.PF.LP..G.PF..LF.A.LE.…  E..........L.......F..P....P...........…  0
  76  fennick       AM.N.SM..NNG.W..WS.WG.M.NA.NSS.MM..GS.A…  None                                      0
  77  fennick       NPN.N.PB.TPB..T.P.TB.B.U.M.NTM.MP.UMB.B…  N........T.B...................M.......…  0
