Centaur Zendo round final (final)
round_id : 407e2fcf89be4ae1987f9f05d4c28623
written  : 2026-09-04 13:54:16Z
presented=3207  answered=1406  correct=22  skipped=1801
client answer latency: mean 0.135 ms  median 0.118 ms  max 1.408 ms  (n=3208)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  fennick       JM.VVM..T.TSS.AJJ..AJ.S.M.AS.MV.TS.JJM.…  None                                      0
   1  fennick       CHF.FH.TC.FH..T.AT.H.HCS..S.SH.SA.AF..T…  None                                      0
   2  fennick       DT..D.T.P..SD.SF.S.F..PA.F.SD.TTF.A.PTA…  None                                      0
   3  fennick       WW.V.AV.AE.HE.WW.W..WE..VAU.EU..H..AU.A…  None                                      0
   4  fennick       JHG.DR.J.C..C.GH.DJ..CR.DG..D..H..G.CG.…  J.....................R................…  0
   5  fennick       PN..P.SNG..U..G.GRP.NN.UU.R.N.S.N.G.RS.…  P.......G..U..................S........…  0
   6  fennick       MVA.GMA..JV.C..MV..V..M.GJA.VCC.MA.AJ.G…  None                                      0
   7  fennick       KKE.T.W..VTK.WE.TW.V..KV.VT.K.TTE.ER..E…  None                                      0
   8  fennick       UUL..BJT..B.DU.ULJ.BJ.L.DU..DL.JT.BJ.T.…  None                                      0
   9  fennick       UT..UF.RFR..T.U.FLU.FLF.UL.UV.V.LR.L.LT…  None                                      0
  10  fennick       TSD.MMG.SS..M.SG.BS.D.B..DD.S.TSS.MB..G…  None                                      0
  11  fennick       SF.WW..LBS..FB.F.SSB.D..S.LD.L.FS.LD.LB…  None                                      0
  12  fennick       KD.UDP.UP..UKP.W.D.DKU.PP.U.WT.T.P.TWW.…  None                                      0
  13  fennick       UR.BU.TT.T.UGT..GT.U..K.BT.KUR..KG.GK.B…  None                                      0
  14  fennick       AW.AGA.GU.VV.AAE.UA..A.G.W..WA..UG.UW.E…  A..A....U..V.....................G....E…  0
  15  fennick       WV..W.PW.VUW.UD.H.HU.DH..PHP.V.DD.V.VHV…  None                                      0
  16  fennick       MGG.GN.MN.NNG.DV..DC..NV.CD.C.MG..N.G.G…  M.......N..........C..........M.......G…  0
  17  fennick       PL.MDM.NF.FD..NNF.FL.ND.PP.PL.P.NMD.ML.…  None                                      0
