Centaur Zendo round 1 (training)
round_id : ed30fff3bf494129a775a356ddfa2b17
written  : 2026-09-04 14:38:36Z
presented=430  answered=430  correct=0  skipped=0
client answer latency: mean 0.132 ms  median 0.122 ms  max 1.178 ms  (n=430)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  fennick       GL.V..EED.LE.GEB.GL..DD.VB.B.D.E..GBV/D…  GL.V..EED.LE.GEB.GL..DD.VB.B.D.E..GBV/D…  0
   1  fennick       PF.EA.FR..E.RGP.EG.AA..GRE..A.RF..PA/E:…  PF.EA.FR..E.RGP.EG.AA..GRE..A.RF..PA/E:…  0
   2  fennick       SP.S..PB.BS.SB.CP.C..V.VN.P..SN.SV..BPB…  48                                        0
   3  fennick       LR.R..LS.KJ.G.L.LJK.RJG.S..GG.KG.SGK/G:…  one                                       0
   4  fennick       FRW.S.WF.R.L.SS.W..FR.RL.LAS.AA..WW.AL/…  cto                                       0
   5  fennick       TEK.F.TTA..TF.JFF.AA.A.T..FKJ.JT.EJ/T:1…  1:F 1:J 2:A 1:T/JE.TJ.JKF..T.A.AA.FFJ.F…  0
   6  fennick       MMA.P.FRF.MFH.HR.M..AR..R..MP.MM.RHH/M:…  14                                        0
   7  fennick       NW.N.PAJ.J.SAA.S.P.WJA..SN.W.A.SN.PAS/P…  0                                         0
   8  fennick       EN.EVN.AN.EEL.MV.MEA.LM..VL..M.E.VL/V:1…  10                                        0
   9  fennick       GWN..R.CG.W.N.C.WS.GS.WR.S.CN.G.NC..SCR…  1                                         0
  10  fennick       GKK.G.KS.JC.CCC..R.GR.GJ.K.J.C.S..RS/J:…  zendo                                     0
  11  fennick       EG.WE.UG.PGE..PU.JG..P.E.J.G.W..WJW.EE/…  98                                        0
  12  fennick       DPH..M.DNN.U..P.UUM.HH.D..DD.PU.PP..UPP…  DPH..M.DNN.U..P.UUM.HH.D..DD.PU.PP..UPP…  0
  13  fennick       LBS.FLB.G.J.F.SL.JG.SSF.B.BJ.L..LF..BL/…  cat                                       0
  14  fennick       ASR.A.R.REA.JS..S.NE.EA.SEA.EE..AS.RE/A…  m                                         0
  15  fennick       GGD.HBG.D.DGB..DG.B.BK.NB.KN..H..N..GDH…  1                                         0
  16  fennick       GUS.UG..SUL.D.S.WW.SLG.DS.LL.W.U.DGG/D:…  1                                         0
  17  fennick       KKR.RT.RVU..HK.VK..H.VU.VH.T.TK.U..TT/K…  se                                        0
  18  fennick       RJ.JDD.JC..D..DA.A.RWD.J.CAA.RD.WC.DJR/…  sum                                       0
  19  fennick       RGL.R.LLU..RM.RRG.G.RJ.JL..JRG..MU.MR/L…  28                                        0
  20  fennick       ALL.VJ..LV..EA..V.EAA.JL.VB.J..BB.AJV/V…  1                                         0
  21  fennick       BU.B.J.FF.V..FJ.RUR.BVJ..VV.R.U.VB.RF/B…  zendo                                     0
  22  fennick       RF.RGR.BJ.HJ..B..R.GF..GB..RB.HH.GB/G:1…  buhhr                                     0
  23  fennick       LWW.LFP.FL.PF..L..WK.NK.LN.F.NWK..PK/L:…  0                                         0
  24  fennick       WJJ.K.RWH..VW.KKV.WV.RW.W.HRR.V.HK.HV/W…  64                                        0
  25  fennick       TLL..RT.L..K.EK.RE..R.RT.LE.N.T..TK.NE/…  tqewr                                     0
  26  fennick       KR.PR.PV.B..N.BK.K.R.NB..RKB.KP..P.PN/B…  t                                         0
  27  fennick       BH..WJ.KH.W.WW.D.WB..KB.HJ.DJ..DJK.HHB/…  0                                         0
  28  fennick       FS.NF.F..DL.L.SDN.LT..NT.FTD.LS..T..FDT…  0                                         0
  29  fennick       NNW.K.WWK.KN.D..W..NNG..WN.GG.DE.ND/G:1…  NNW.K.WWK.KN.D..W..NNG..WN.GG.DE.ND/G:1…  0
  30  fennick       NA.E.SN.V.UE.N.SV.NU..NA..U..SE..VVA.UN…  0:U 2:N 1:S 1:A/NU.AVV..ES..U..AN..UN.V…  0
  31  fennick       HJ.HJH.JHW.H.UBW..UHW.BUB.SB..B.WJB.HWJ…  HJ.HJH.JHW.H.UBW..UHW.BUB.SB..B.WJB.HWJ…  0
  32  fennick       HMM.SH.UH.VU..E.V.H.US.MMH..VV.M.ES/V:1…  0                                         0
  33  fennick       LJ.JT.TFB.BB.J.LJT..LG.FF..JJ.L.TL.FTG/…  75                                        0
  34  fennick       AJ.LEA.E..LS.EE..L.AE.LJS.S.SJ..AP.SAJ/…  1:E 1:L 3:S 0:A/JAS.PA..JS.S.SJL.EA.L..…  0
  35  fennick       VE.E.A.VV.UG.AU.LG.L.G.LU..ALL..GE..VV/…  77                                        0
  36  fennick       RS..A.AAA..RAB.ADD.S.RD.SE.D..DB.ER/B:1…  1                                         0
  37  fennick       AUS.FSM.M.AF.UFF..AS..B.MU.FUA.MAB.SAM/…  1                                         0
  38  fennick       VHE.SSK..D.VS.DKE.HEE.HD..K.KS.DVK.DVS/…  ya                                        0
  39  fennick       NM.SMK.PSM.KH.P.H..PS..KH.N..NS.M.NSN/H…  NM.SMK.PSM.KH.P.H..PS..KH.N..NS.M.NSN/H…  0
  40  fennick       LB..WB.L.AR.R.WL.A.RA.UWA.AAL.WW.LWW/A:…  LB..WB.L.AR.R.WL.A.RA.UWA.AAL.WW.LWW/A:…  0
  41  fennick       JC.W.S.J..C.WD..WC..GD.SC.WDJ.GG.DCD/G:…  28                                        0
  42  fennick       KBT..BKV.TKT.KV.KK.K.VKD.B.TK.BL.LBV/V:…  0                                         0
  43  fennick       JJ..S.MR.RS.JF.HMH.JH.FM.H..J.R..FJ.RMR…  JJ..S.MR.RS.JF.HMH.JH.FM.H..J.R..FJ.RMR…  0
  44  fennick       CJ.R.JA.RGC.A.CAG.RA.GR..JCA.NAR.GRN/C:…  0:A 2:R 1:G 1:C/NRG.RAN.ACJ..RG.AR.GAC.…  0
  45  fennick       BA.AC..A.LP.CB.AC.C..L.CC.UP.BU..P.BUA/…  sum                                       0
  46  fennick       FS..NH.FNA..H.F.R.RA.N.NR.SN.AH..FH.SRR…  ufbr                                      0
  47  fennick       PMB.L.BL..BP.MG.MM..GBL.P.MMG.JP.JMM/J:…  1:P 2:B 1:M 1:J/MMJ.PJ.GMM.P.LBG..MM.GM…  0
  48  fennick       UA.MU.BV..UA.U.UAB..M.V..MA..FV.MB.FMV/…  0                                         0
