Centaur Zendo round 5 (training)
round_id : e98dfbb41a424409ba93ed6dd11d4cdd
written  : 2026-09-04 15:05:56Z
presented=797  answered=0  correct=0  skipped=798
client answer latency: mean 0.072 ms  median 0.066 ms  max 1.137 ms  (n=798)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  fennick       WW.WR.M.A.ARM.CRJ.JR..C.AJ.WM..J.MW/M:2…  None                                      0
   1  fennick       MCM.M.MU.C.UB.HC.B..HU..H.BL.L.HUB.CM/U…  None                                      0
   2  fennick       DS.D.KEE.KKS.K..S..DB.KEC.EB.CS..KD.KEK…  None                                      0
   3  fennick       PDL.PP.LK.L.C.P.CLP..DK.CP.DB..KB.LKL/L…  None                                      0
   4  fennick       NNJ..NA.DN.E.EE..DA.EEA.J..AAJ.JB.NA/A:…  None                                      0
   5  fennick       BMN.USM..JBS..N.BMM.NS.S..BB.B.JSU.JBJ/…  None                                      0
   6  fennick       EU.BB..TW..EMM.T.U.TT.WE.BW.EM..E.MB/M:…  None                                      0
   7  fennick       WDA..W.RDD.D.NWR.L.LW.A..RD.AL..WAN.LNW…  None                                      0
   8  fennick       MP.MM.FK.P..M.CM.PTK.TF.TMK.FTF..C..KPT…  None                                      0
   9  fennick       HHD.J.A.DDA.VS..VS.VD..JS.JH..AH.AHD/V:…  None                                      0
  10  fennick       NFE.JFF.NN.J.F.FJ..E..EE.JNN.BNG.GG/N:1…  None                                      0
  11  fennick       NH.N.SN..HU.SS.TA..UH.HS.NN.U.AT.AN/N:2…  None                                      0
  12  fennick       JJ.GJE.JW..CC.CGJ.GW.CG..W..G.KK.GCE/G:…  None                                      0
  13  fennick       CJM.C.K.FC.CCF.UJ.JU.KC.MU.KM..CMU..JJ/…  None                                      0
  14  fennick       MK.MM.ALA.HL.KL.K..WW.H.A.HA.KM..HWL..A…  None                                      0
  15  fennick       HVH.VE..V.MMD.HH.BM..D.DD.BV.EMH..BE/D:…  None                                      0
  16  fennick       VV.VH..H..SH.ML.S.M..V.MSV.W.SL.LLW.WL/…  None                                      0
  17  fennick       GD.BG.ML..L.M.P..G.B.LMP.DG.LD..D.PG/P:…  None                                      0
  18  fennick       DDM..FPD.FJ.PP.JMM.NDD.MJ.J..P..DM.NJ/D…  None                                      0
  19  fennick       JC.FNC.M..JC..MMF.HM.N.JF.F.NFM.H.JN/J:…  None                                      0
  20  fennick       GW.G.UH.UV..WV.W..GGW.VH.FU..FW.GHW..HU…  None                                      0
  21  fennick       MD.EM.JA.DMA.MJ.E..J.D.A.LD.MLD..JJ.JM/…  None                                      0
  22  fennick       FU.JMF.UJM.HM..CM.M.JC.CJU.U..HJ..FUU/U…  None                                      0
  23  fennick       GCJ.WFC.GFF.SJ.WCW..J.W.GJ..CCF.GGF..GG…  None                                      0
  24  fennick       MP.MA..R.AJA.JBR.JR.M.BP..MP.B.J.RJ/P:2…  None                                      0
  25  fennick       UUG..U..NG.LU.L.HN.KK.HN.NK..H..G.UU/H:…  None                                      0
  26  fennick       TNU.G.UUG.U..LU..TN.TG.TL.N.LG..F.FF/T:…  None                                      0
  27  fennick       FDN.L.DNP.N.ND.BDP.DP.BF.LD..NF.F..BBB/…  None                                      0
  28  fennick       JE.GG..JJ.T.TB.B.ERE.ET.E..TG.RRB.BGJ/T…  None                                      0
  29  fennick       TKK.KH.A..AH.PA.T..HHT.AHE.K.AH.E.TT/H:…  None                                      0
  30  fennick       VG.G.W.VVW..VAA.LA.LHH.V.HG.H.L..AG.WL/…  None                                      0
  31  fennick       PK..LF.JJ.PP.KR..P.R.RLP.F.LP..FK.RR/P:…  None                                      0
  32  fennick       BBB.MS.BVD..S..L..MV.DV.B.DL.SVS..BV/D:…  None                                      0
  33  fennick       PP.F.MMF.LMU..FP.L..R.MRR..U.RU.PFR.LR/…  None                                      0
  34  fennick       BNP..P.V.RN.CR.VP.BRV..BC.BVV.NB.RR/C:0…  None                                      0
  35  fennick       GNN..GL.D.M..P.GL.GP.NLP.NM.PG.DL.NGG/N…  None                                      0
