Centaur Zendo round 6 (training)
round_id : bd0ff50a9aa54f6783009aee861c095d
written  : 2026-09-04 15:06:01Z
presented=731  answered=0  correct=0  skipped=732
client answer latency: mean 0.072 ms  median 0.065 ms  max 1.193 ms  (n=732)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  fennick       MKD.MU..S..D.MUU.M..CDU.SK.CDC.SM..KU/U…  None                                      0
   1  fennick       FVF.VU.NSP..VU..FS.PN..SS.U.S.VU.PS/P:1…  None                                      0
   2  fennick       MG..CN.M..MCG.J.CJ.ME.EG.G.E.NNM.CC/C:1…  None                                      0
   3  fennick       MM.W.M.TU.U.JUW..MUM.EU.TJ.UET..E.WMJ/M…  None                                      0
   4  fennick       UU.LB.B..LL.DUP.UM.UP.P..BD.U..UD..MB/U…  None                                      0
   5  fennick       NDN.RN.C.DCV.VNP..VR..N.R.CND.RD.PR/V:1…  None                                      0
   6  fennick       JSH.DV..HV.JVP.DH.H..JPD.J.SSJ.HDS.PJV/…  None                                      0
   7  fennick       DT.M.BB.T.DDM.B..ML.VV.MTT.V.L..BT.DTV/…  None                                      0
   8  fennick       HG..B.LL.D.DH..BD.GG.G.AD.LB.L.GH.HH/D:…  None                                      0
   9  fennick       DKK.SWH.KK..H..DW.W.FD.HK.S.DS.WW..SSS/…  None                                      0
  10  fennick       VPM.GPM..M.VTG.VD..T.TD.GGV..GP.MD.GPV/…  None                                      0
  11  fennick       UPR.AR.R.AP.VUV.HUR.V..PA.P..HUU.PHA/R:…  None                                      0
  12  fennick       WUS.RUE.F..EU.S.SE.WU.ER..WS..FF.WU/E:2…  None                                      0
  13  fennick       KLU.ML.VKK.MUG.GGM.UL..MK.M..K.VG.MV/M:…  None                                      0
  14  fennick       KB..K.BU.TK.TU..DT.HUD.D.HU.KB.H..TUU/K…  None                                      0
  15  fennick       NB.FWK.F.FFE.WFK.NNN..W.BNK.NE.KK..FFB/…  None                                      0
  16  fennick       EGE.GWE..GKA..KK.JGJ.G.KJE.WWA.W.WJG/E:…  None                                      0
  17  fennick       GG.E.D.DJ.G.NV.EJ.N.NEJ.NE..JE.J.DJJ/N:…  None                                      0
  18  fennick       SB..SHW.HFB.S.WS.F.RF.SW..H.HF..HF.SWR/…  None                                      0
  19  fennick       EKE.C.CC.PP.CF.EEE.F.KWF.FW.EEK.KE..KF/…  None                                      0
  20  fennick       PFE.E.AF.AB.EBP..FF.B.A.WF.EP.PPB..AEW/…  None                                      0
  21  fennick       JBK.RRJ.JB..K..E.KD.JRE.RB.DR..J.ERJ/D:…  None                                      0
  22  fennick       VB.N.VV.D..NB..VA.DN.V.M.BBN.AM..B.MAA/…  None                                      0
  23  fennick       TN.UW..T.TU.LNP.W..NU..LW.WP..TUP.LNU/W…  None                                      0
  24  fennick       JN.S.SNJ.J.N.NS.JM.HN..CM.JS..JHC.CJH/J…  None                                      0
  25  fennick       KTA..GA.F.VF.GVA.FV..TK.GGV.K..V.TVT/V:…  None                                      0
  26  fennick       GW.T.G.WM.TE.M..K.MTW..GW.W.EK.TMW.GG/E…  None                                      0
  27  fennick       RAJ.LT.J.A.D.R.T.LR..L.JD.AR.TD..T.RD/L…  None                                      0
  28  fennick       DDD.GHF.WG..WG.HD.D.F.MW.W.GF.H..DH.HMH…  None                                      0
  29  fennick       PK.HP.PM.P.WW..H.W.E.EK.M.K.KMM.EKE..PM…  None                                      0
  30  fennick       DHH.L..LB.BL.F.HL.VD..H.VBF.DB.B.HHL/V:…  None                                      0
  31  fennick       CFM.N.CG.FMS..F..MC.NN..CF..GM.SCN.FGM/…  None                                      0
  32  fennick       UV.VU.BVV.B.DU.VD.DR.UB.N.DND..UDB.NUU/…  None                                      0
  33  fennick       HT.CB.FMM.CMF..M..HT.HF.B..CB.TMB..TCB/…  None                                      0
  34  fennick       UK..K.F..FK.E.EU..EU.C.PK.FFF.P.CU.CKU/…  None                                      0
  35  fennick       CP.CCV.CCH..SH.HV.U.P..V.SV..CSU.SV/C:1…  None                                      0
  36  fennick       PBB.PPW.VF.M.MB.MP.V.B.F.FWV..FP.VW/M:0…  None                                      0
  37  fennick       SS..AJ.JL..C.AC.CCG.G.LC.SSJ..GS.LG/J:1…  None                                      0
  38  fennick       FUU.VFF.F.FV.C..CV..D.UF.CV.K.U.KKD.DK/…  None                                      0
  39  fennick       DK.W.SW.AK.JK..J.D.KKJ..SW.JWK.JD.SKK/S…  None                                      0
  40  fennick       GG.FFA.DF.DAF..A.E.MD.F..EFG.EMA.ADM/A:…  None                                      0
  41  fennick       NF.MJF.M.LLN.JM.JF.LL.SSF.F..N.JN..JN/J…  None                                      0
  42  fennick       HH.LD.DT.GH.D..T.TH..LD..BHG..G.TB.BL/B…  None                                      0
